a	x
a@l	e
aah	a
abc	ebisi
abc@l	ebisi
abcd@l	ebisidi
abcdefg@k	ebisidiiEfJi
abcs	ebisiz
abigail	@bxgel
able	ebxl
about	xbWt
above	xb^v
absolute	@bsxlut
absolutely	@bsxlutli
absorbent	xbscrbxnt
abu	xbu
abuse	xbyuz
abuses	xbyusIz
accept	@ksEpt
acceptable	@ksEptxbxl
accepted	@ksEptxd
accident	@ksxdEnt
accidentally	@ksxdEntxli
accidently	@ksxdEntli
accidents	@ksxdEnts
accordion	xkcrdixn
account	xkWnt
accused	xkyuzd
accustomed	xk^stxmd
achieve	xCiv
achieved	xCivd
achieves	xCivz
achieving	xCivIG
achoo	xCu
acknowledge	EknalxJ
acknowledged	EknalxJd
acquiesced	@kwIEst
acre	ekR
across	xkras
act	@kt
acting	@ktIG
action	@kCxn
activator	@ktxvetR
active	@ktIv
activities	@ktIvItiz
activity	@ktIvIti
actor	@ktR
actorfactormactor	@ktRf@ktRm@ktR
acts	@kts
actual	@kCuxl
actually	@kCuxli
ad	@d
adam	@dxm
adam's	@dxmz
add	@d
added	@dxd
addicted	xdIktxd
adding	@dIG
adds	@dz
adjustable	xJ^stxbxl
adjustment	xJ^stmxnt
adjustments	xJ^stmxnts
adorable	xdcrxbxl
adore	xdcr
adult	xd^lt
adults	xd^lts
advanced	@dv@nst
adventure	crdvEnCR
advice	crdvYs
advises	crdvYzxz
afford	xfcrd
afraid	xfred
africa	@frIkx
african	@frIkxn
after	@ftR
afternoon	@ftRnun
afterwards	@ftRwRdz
again	xgEn
against	xgEnst
age	eJ
aggie	@gi
aggravated	@grxvetxd
aggravating	@grxvetIG
aggressive	xgrEsIv
agnes	@gnxs
ago	xgo
agree	xgri
agreed	xgrid
ah	a
ahab	eh@b
ahead	xhEd
ahhah	aha
ahoy	xhO
aid	ed
aids	edz
aim	em
aimed	emd
ain't	ent
air	Er
airing	ErIG
airline	ErlYn
airplane	Erplen
airplane's	Erplenz
aisle	Yl
aisles	Ylz
al	@l
aladin	xl@dIn
aladin's	xl@dinz
alarm	xlarm
alcohol	@lkxhal
alex	@leks
alex's	@leksxz
alexander	@leks@ndR
alexander's	@leks@ndRz
alfredo	alfredo
algae	@lJi
ali	@li
alibi	@lIbY
alice	@lIs
alice's	@lIsIz
alicia's	xliSxz
alike	xlYk
alive	xlYv
all	cl
alldone	cld^n
allen	@lxn
alligator	@lIgetR
alligator's	@lIgetRz
allow	xlW
allowed	xlWd
ally	@li
almost	clmost
alone	xlon
along	xlcG
aloud	xlWd
alpha	@lfx
alphabet	@lfxbEt
alphabets	@lfxbEts
already	clrEdi
alright	clrYt
alrightie	clrYti
also	clso
although	clDo
altogether	cltugEDR
always	clwez
am	@m
amazed	xmezd
amazement	xmezmxnt
amazing	xmezIG
amazingly	xmezIGli
ambitious	@mbISxs
ambivalence	@mbIvxlxns
amelia	xmilyx
amen	amEn
america	xmErIkx
among	xm^G
amount	xmWnt
amused	xmyuzd
amusing	xmyuzIG
an	xn
ancient	enCxnt
and	@nd
andrea's	@ndri^z
andrew's	@ndruz
andy	@ndi
andy's	@ndiz
angel	@nJxl
angelica	@nJElIkx
angels	@nJxlz
angle	@ngxl
angry	@ngri
animal	@nxmxl
animals	@nxmxlz
animosity	@nxmasIti
ankle	@nkxl
ankles	@Gkxlz
ann	@n
anne	@n
annie	@ni
annie's	@niz
anniversary	@nxvRsRi
annoying	xnOIG
anorexic	@nxrEksIk
another	xn^DR
anotherthe	xn^DRDx
answer	@nsR
answered	@nsRd
answering	@nsRIG
answers	@nsRz
ant	@nt
anteater	@ntitR
antenna	@ntEnx
antennaes	@ntEnxz
antibiotic	@ntibYatIk
antibiotics	@ntibYatIks
antisocial	@ntisoSxl
ants	@nts
any	Eni
anybody	Enibadi
anyhow	EnihW
anymore	Enimcr
anyone	Eniw^n
anything	EniTIG
anytime	EnitYm
anyway	Eniwe
anyways	Eniwez
anywhere	EniWEr
apart	xpart
apartment	xpartmxnt
aplenty	xplEnti
apology	xpclxJi
apparent	xpErxnt
apparently	xpErxntli
appeals	xpilz
appearance	xpIrxnz
appeared	xpIrd
appetite	@pxtYt
appiesauce	@piscs
apple	@pxl
apples	@pxlz
applesauce	@pxlscs
appleses	@pxlzxz
applied	xplYd
applies	xplYz
apply	xplY
applying	xplYyIG
appointment	xpOntmxnt
appreciate	xpriSiet
appreciates	xpriSiets
