a              .6 -w
a@l            .e -w
aah            .a -w
abc            .e -w .bi -w .si -w
abc@l          .e -w .bi -w .si -w
abcd@l         .e -w .bi -w .si -w .di -w
abcdefg@k   .e -w .bi -w .si -w .di -w .i -w .Ef -w .Gi -w
abcs           .e -w .bi -w .siz -w
abigail        .&b6gel -w
able           .ebL -w
about          .6bQt -w
above          .6bAv -w
absolute       .&bs6lut -w
absolutely    .&bs6lutli -w
absorbent    .6bs%b~t -w
abu              .6bu -w
abuse           .6byuz -w
abuses         .6byusIz -w
accept          .&ksEpt -w
acceptable     .&ksEpt6bL -w
accepted         .&ksEpt6d -w
accident       .&ks6dEnt -w
accidentally      .&ks6dEntLi -w
accidently     .&ks6dEntli -w
accidents       .&ks6dEnts -w
accordion       .6k%di6n -w
account           .6kQnt -w
accused           .6kyuzd -w
accustomed     .6kAstMd -w
achieve          .6civ -w
achieved       .6civd -w
achieves         .6civz -w
achieving       .6civIN -w
achoo             .6Cu -w
acknowledge      .Eknal6G -w
acknowledged   .Eknal6Gd -w
acquiesced     .&kwIEst -w
acre               .ekR -w
across          .6kras -w
act            .&kt -w
acting          .&ktIN -w
action          .&kC~ -w
activator        .&kt6vetR -w
active            .&ktIv -w
activities     .&ktIvItiz -w
activity       .&ktIvIti -w
actor            .&ktR -w
actorfactormactor    .&ktR -w .f&ktR -w .m&ktR -w
acts           .&kts -w 
actual         .&kcuL -w
actually       .&kcu6li -w
ad             .&d -w
adam        .&dM -w
adam's      .&dMz -w
add            .&d -w
added         .&d6d -w
addicted      .6dIkt6d -w
adding        .&dIN -w
adds            .&dz -w
adjustable     .6GAst6bL -w
adjustment     .6GAstm~t -w
adjustments   .6GAstm~ts -w
adorable        .6d%6bL -w
adore            .6d% -w
adult             .6dAlt -w
adults         .6dAlts -w
advanced       .&dv&nst -w
adventure        .%dvEnCR -w
advice           .%dv9s -w
advises          .%dv9z6z -w
afford          .6f%d -w
afraid         .6fred -w
africa        .&frIk6 -w
african       .&frIk~ -w
after          .&ftR -w
afternoon      .&ftRnun -w
afterwards     .&ftRwRdz -w
again          .6gEn -w
against       .6gEnst -w
age            .eG -w
aggie         .&gi -w
aggravated   .&gr6vet6d -w
aggravating    .&gr6vetIN -w
aggressive       .6grEsIv -w
agnes             .&gn6s -w
ago            .6go -w
agree          .6gri -w
agreed         .6grid -w
ah                .a -w
ahab             .eh&b -w
ahead          .6hEd -w
ahhah          .aha -w
ahoy            .6h7 -w
aid             .ed -w
aids            .edz -w
aim            .em -w
aimed         .emd -w
ain't            .ent -w
air            .* -w
airing          .*IN -w
airline          .*l9n -w
airplane       .*plen -w
airplane's     .*plenz -w
aisle            .9l -w
aisles         .9lz -w
al               .&l -w
aladin        .6l&dIn -w
aladin's       .6l&dinz -w
alarm          .6l#m -w
alcohol         .&lk6hal -w
alex             .&leks -w
alex's          .&leks6z -w
alexander     .&leks&ndR -w
alexander's     .&leks&ndRz -w
alfredo            .alfredo -w
algae            .&lGi -w
ali               .&li -w
alibi            .&lIb9 -w
alice          .&lIs -w
alice's        .&lIsIz -w
alicia's       .6liS6z -w
alike           .6l9k -w
