aa ஹ
aan ஺
aanz ஻
aar ஼
aarmz ஽
ae ா
aebk ி
aef ீ
aek ு
ael ூ
aend ௃
aesk ௄
aeskt ௅
aet ெ
aez ே
ah ை
ahn ௉
ahp ொ
ahs ோ
ahv ௌ
ao ்
aol ௎
aor ௏
aw ௐ
awnd ௑
awt ௒
ax ௓
axg ௔
axk ௕
axl ௖
axm ௗ
axn ௘
axng ௙
axns ௚
axr ௛
axs ௜
axt ௝
axv ௞
axz ௟
ay ௠
ayl ௡
aym ௢
ays ௣
baa ௤
baegz ௥
baek ௦
baend ௧
baht ௨
baolz ௩
bawt ௪
bax ௫
baxl ௬
bay ௭
beh ௮
beht ௯
ber ௰
berd ௱
berdz ௲
bey ௳
bih ௴
bihb ௵
bihg ௶
bihn ௷
biy ௸
biyz ௹
blaaks ௺
blaek ௻
bliy ௼
bluw ௽
bowth ௾
boy ௿
boyz ఀ
brahsh ఁ
brayt ం
buhk ః
buhks ఄ
buhsh అ
buw ఆ
chaa ఇ
chax ఈ
chehr ఉ
chihl ఊ
daa ఋ
daagz ఌ
daak ఍
daal ఎ
dae ఏ
dah ఐ
dahk ఑
dahks ఒ
dahn ఓ
dahz ఔ
dahznt క
daog ఖ
dawn గ
dax ఘ
daxd ఙ
daxn చ
daxng ఛ
daxngz జ
daxst ఝ
dayl ఞ
dehn ట
der ఠ
dey డ
dhaet ఢ
dhaets ణ
dhax త
dhaxs థ
dhaxt ద
dhehm ధ
dhehr న
dher ఩
dherz ప
dhey ఫ
dhiyz బ
dhow భ
dhowz మ
dih య
dihd ర
dihdnt ఱ
dihlz ల
dihz ళ
diy ఴ
diyz వ
downt శ
drae ష
drah స
drao హ
draxn ఺
dreh ఻
drehs ఼
drihng ఽ
drihngk ా
duw ి
eh ీ
ehnd ు
er ూ
eyjh ృ
eyt ౄ
fae ౅
fah ె
faor ే
faorth ై
fax ౉
faxkt ొ
faxnts ో
faynd ౌ
fer ్
ferst ౎
fey ౏
feys ౐
fihsh ౑
fiy ౒
fiyd ౓
fiydz ౔
flehr ౕ
flehrz ౖ
fowl ౗
fown ౘ
frahm ౙ
gaa ౚ
gaar ౛
gaat ౜
gahs ౝ
gaxn ౞
geh ౟
gerl ౠ
gerlz ౡ
geyv ౢ
gih ౣ
gihnz ౤
gihv ౥
gihvz ౦
gow ౧
grae ౨
greyps ౩
greyt ౪
griyn ౫
grow ౬
guhd ౭
gwaxjh ౮
hhaar ౯
hhaard ౰
hhae ౱
hhaed ౲
hhaednt ౳
hhaend ౴
hhaendz ౵
hhaet ౶
hhaev ౷
hhaevnt ౸
hhaez ౹
hhaw ౺
hhaxd ౻
hhay ౼
hhayd ౽
hhehd ౾
hhehdz ౿
hhehlp ಀ
hhehlps ಁ
hhehlpt ಂ
hhehr ಃ
hher ಄
hhert ಅ
hhihm ಆ
hhihr ಇ
hhihz ಈ
hhiy ಉ
hhiyz ಊ
hhow ಋ
hhowlz ಌ
hhowm ಍
hhuw ಎ
ihf ಏ
ihk ಐ
ihn ಑
ihng ಒ
ihngk ಓ
ihrz ಔ
iht ಕ
ihts ಖ
ihz ಗ
iy ಘ
iyts ಙ
jhaarz ಚ
jhaem ಛ
jhahst ಜ
jhaxk ಝ
jheh ಞ
jhoy ಟ
jhoyd ಠ
jhuws ಡ
kaa ಢ
kaaz ಣ
kae ತ
kaen ಥ
kaent ದ
kaet ಧ
kaets ನ
kah ಩
kahm ಪ
kahp ಫ
kao ಬ
kaol ಭ
kaold ಮ
kaolz ಯ
kaor ರ
kaors ಱ
kaoz ಲ
kaw ಳ
kawz ಴
kax ವ
kaxl ಶ
kaxlz ಷ
kaxng ಸ
kaynd ಹ
kehrz ಺
key ಻
keyjh ಼
keym ಽ
keys ಾ
kihd ಿ
kihdz ೀ
kihn ು
kiy ೂ
kiyz ೃ
kliy ೄ
klowdhz ೅
kow ೆ
kraa ೇ
kraek ೈ
kraekt ೉
krey ೊ
krihb ೋ
kriym ೌ
kuhd ್
kweh ೎
kyuwt ೏
laa ೐
laat ೑
laats ೒
laeng ೓
laest ೔
lah ೕ
lahvz ೖ
laong ೗
lax ೘
laxng ೙
laxp ೚
laxps ೛
laxs ೜
lay ೝ
layk ೞ
layks ೟
lehft ೠ
lehg ೡ
lehk ೢ
leht ೣ
lernd ೤
lerz ೥
ley ೦
leyt ೧
lih ೨
lihv ೩
liy ೪
liyv ೫
low ೬
luhk ೭
luhkt ೮
lyer ೯
maa ೰
maaz ೱ
mae ೲ
maen ೳ
mahch ೴
mahnths ೵
maor ೶
maws ೷
max ೸
maxlz ೹
maxnd ೺
maxng ೻
may ೼
mays ೽
mehm ೾
mey ೿
meyd ഀ
meyk ഁ
meyks ം
mih ഃ
mihlk ഄ
miy അ
miyl ആ
miylz ഇ
miyn ഈ
miyz ഉ
mow ഊ
muw ഋ
naak ഌ
naat ഍
nah എ
nahn ഏ
naw ഐ
nax ഑
naxld ഒ
nays ഓ
nehk ഔ
ney ക
nih ഖ
niy ഗ
niyt ഘ
niyz ങ
now ച
nowz ഛ
nuw ജ
ow ഝ
own ഞ
paa ട
pah ഠ
paxl ഡ
paxn ഢ
paxnd ണ
pehn ത
pehnz ഥ
per ദ
pey ധ
pihgz ന
