	(u'aa',)	(u'ae',)	(u'ah',)	(u'ao',)	(u'aw',)	(u'ax',)	(u'ay',)	(u'b',)	(u'ch',)	(u'd',)	(u'dh',)	(u'eh',)	(u'er',)	(u'ey',)	(u'f',)	(u'g',)	(u'hh',)	(u'ih',)	(u'iy',)	(u'jh',)	(u'k',)	(u'l',)	(u'm',)	(u'n',)	(u'ng',)	(u'ow',)	(u'oy',)	(u'p',)	(u'r',)	(u's',)	(u'sh',)	(u't',)	(u'th',)	(u'uh',)	(u'uw',)	(u'v',)	(u'w',)	(u'y',)	(u'z',)	(u'zh',)
(u'aa',)	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0.0	0.0	0	0	0.0	0	0	0	0	0.0	0	0.0	0
(u'ae',)	0	0	0	0	0	0	0	1	0	0.5634	0.939	0	0	0	0	0.0313	0	0	0	0	0.117375	0	0	0.0184721311475	0	0	0	0.3756	0	0.17215	0.61974	0.0015393442623	0	0	0	0.0	1	0	0.0	0
(u'ah',)	0	0	0	0	0	0	0	0	0.0	0	0.134142857143	0	0	0	0.0939	0.0939	0	0	0	0	0.4695	0	0.00722307692308	0.070425	0.0	0	0	0.0626	0	0.10329	1	0.00426818181818	0	0	0	0.0	0	0	0.0	0
(u'ao',)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0.0	0.0	0	0	0.0	0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0.0	0
(u'aw',)	0	0	0	0	0	0	0.3756	0	0	0	0.313	0	0.0	0	0	0	0	0	0	0	0	0	0	0.1878	0	0	0	0	0	0.3443	1	0.00208666666667	0	0	0	0	0	0	0	0
(u'ax',)	0	0	0.0	0	0.0	1	0	0.153654545455	0.0	0.198847058824	0.939	0.0	0	0	0.05634	0.023475	0.201214285714	0	0.2817	0	0.07825	0.0170727272727	0.0352125	0.0650076923077	0.0	0.8451	0	0.0939	0.0	0.123948	1	0.01565	0.2817	0	0	0.0	0.32865	1	0.0	0
(u'ay',)	0	1	0	0.1252	0	0.2504	0.7512	0	0.0	0.115569230769	0.626	0	0	0	0	0.0417333333333	0.1565	1	0	0.5008	0.0368235294118	0.1252	0.00658947368421	0.1878	0	0	0	0	0	0.459066666667	0	0.0178857142857	0.0104333333333	0	0	0.0	0.4382	0.626	0	0
(u'b',)	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0	0	0	0	0	0.0	0	0	0	0.0	0.0	0	0	0.0	0	0	0	0	0.0	0	0.0	0	0	0	0	0.0	0	0.0	0	0.0	0	0
(u'ch',)	0	0	0	0	0	0.1252	0	0	0	0	0.4695	0.0	0	0	0	0	0	0.42255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
(u'd',)	0	1	0.0	0.07825	0.0	0.192615384615	0.626	0	0.0	0.939	0.284545454545	0.0	0.0	0.0	0	0.313	0.39125	0.216692307692	0	0.626	0	0.313	0.104333333333	0.7512	0	0.104333333333	0	0.417333333333	0.0	1	1	0.039125	0	0	0.0	0	0.730333333333	1	0.0	0
