	(u'aa',)	(u'ae',)	(u'ah',)	(u'ao',)	(u'aw',)	(u'ax',)	(u'ay',)	(u'b',)	(u'ch',)	(u'd',)	(u'dh',)	(u'eh',)	(u'er',)	(u'ey',)	(u'f',)	(u'g',)	(u'hh',)	(u'ih',)	(u'iy',)	(u'jh',)	(u'k',)	(u'l',)	(u'm',)	(u'n',)	(u'ng',)	(u'ow',)	(u'oy',)	(u'p',)	(u'r',)	(u's',)	(u'sh',)	(u't',)	(u'th',)	(u'uh',)	(u'uw',)	(u'v',)	(u'w',)	(u'y',)	(u'z',)
(u'aa',)	0.0	0	0	0	0	0	0	0	0	0.10638	0	0	0	0	0	0.044325	0.8865	0	0	0	0.221625	0.08865	0.0221625	0.0156441176471	0	0	0	0	0.024625	0	0	0.044325	0	0	0	0	0	0	0.0
(u'ae',)	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.0	0	0	0.0	0.0	0.0	0	0.0	0	0	0	0.0	0	0	0
(u'ah',)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0.0	0	0.0	0	0.0	0	0	0	0.0	0	0	0.0
(u'ao',)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0073875	0	0	0	0	0.221625	0.00422142857143	0	0	0	0	0	0	0.0105535714286	0.14775	0	0	0	0	0	0	0	0	0
(u'aw',)	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0.014775	0	0	0.00113653846154	0.02955	0	0	0	0	0	0.14775	0	0.01182	0	0	0	0	0.7092	0	0
(u'ax',)	0	0	0	0	0	0	0	0.0201477272727	0	0.05540625	0.4063125	0	0	0	0.014775	0.0985	0.4925	0.517125	0	0	0.27703125	0.00820833333333	0.00820833333333	0.0158303571429	0.0	0	0	0.04925	0.73875	0.046171875	0	0.02955	0	0	0	0.0	1	0.369375	0.0
(u'ay',)	0	0	0	0	0	0.2364	0	0	0	0	0	0	0.0	0	0	0.4728	0	0	0	0	0.44325	0	0.0394	0.3546	0	1	0	0	0	0.591	0	0.0525333333333	0	0	0	0	0	0	0.0
(u'b',)	0	0	0.0	0	0.0	0.0	0.0	0	0	0	0	0.0	0.0	0	0	0	0	0.0	0.0	0	0	0.0	0	0	0	0	0.0	0	0.0	0	0	0	0	0.0	0	0	0	0.0	0
(u'ch',)	0	0	0	0	0	0	0.0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0.0	0	0	0	0
(u'd',)	0.0	0.0369375	0.0	0.0164166666667	0.0	0.073875	0	0.1108125	0	0	0.812625	0	0	0.073875	0.073875	0	0.73875	0.0574583333333	0.0	0	0	0	0	0.44325	0	0.31396875	0	0	0.73875	0.73875	0	0	0	0	0.00434558823529	0	1	0.24625	0
(u'dh',)	0	0.0	0	0	0	0.0	0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0.0	0	0
(u'eh',)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0.0	0	0.0	0	0	0	0.0	0	0	0
(u'er',)	0	0	0	0.26595	0	0.132975	0	0	0.0	0.5319	1	0	0	0	0.132975	0	1	0.186165	0	0	0	0	0	0	0	0	0	0.26595	0	0	0	0.5319	0	0	0	0	1	0	0.0
(u'ey',)	0	0	0	0	0	0	0	0.1773	0.0	0.2364	0	0	0	0	0	0.1576	0.788	0	0	0.1182	0.3546	0.0394	0	0	0	0	0	0.2364	0	1	0	0.1576	0	0	0	0.0	1	0	0
(u'f',)	0	0	0	0.0	0	0.0	0.0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	0	0	0	0	0	0.0	0	0	0	0	0.0	0	0
(u'g',)	0.0	0	0	0	0	0	0	0	0	0	0	0.0591	0.0	0.014775	0	0	0	0.20685	0.0	0	0.44325	0	0.02955	0	0	0	0	0	0.14775	0	0	0.1182	0	0.0	0	0	1	0	0
(u'hh',)	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0
(u'ih',)	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0.0	0.0	0	0	0	0	0.0	0	0.0	0.0	0.0	0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0.0
(u'iy',)	0	0.280725	0	0	0	0.280725	0	0.1403625	0.0	0.33687	1	0	0	0	0.093575	0	0.93575	0.655025	0	0	1	0.280725	0.280725	0.56145	0	0	0	0	0	0.401035714286	0	0.22458	0	0	0	0	1	0.93575	0.0
(u'jh',)	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0
(u'k',)	0.0	0.008865	0.0	0.0664875	0.0	0.26595	0.132975	0	0.0	0.398925	0.7313625	0.26595	0	0.0569892857143	0	0	1	0	0.0	0	0	0.26595	0	0	0	0	0	0.26595	0	0.189964285714	0	0.1773	0	0	0	0	1	1	0
(u'l',)	0.0	0.044325	0	0	0	0.10638	0.044325	0	0	0.79785	0.36568125	0.03324375	0.0	0.1994625	0	0	1	0.23270625	0.0	0	1	0	0.026595	0	0	0.56514375	0	0	0.664875	0.3324375	0	0.26595	0	0.0	0.132975	0	1	0	0.0
(u'm',)	0.0	0	0.0	0.1182	0	0.014775	0.1182	0.02955	0	0	0	0.0197	0	0.01773	0	0.1182	1	0	0.0	0	0	0	0.0591	0	0	0	0	0.0107454545455	0	0.591	0	0	0.0	0	0.0591	0	0	0.2955	0
(u'n',)	0.0	0	0.0	0	0.0	0.054175	0.10835	0	0	0.19503	0.44694375	0	0	0	0.162525	0	1	0	0.0	0	0	0.0812625	0.0812625	0	0	0.306991666667	0	0.32505	0	1	0	0.0464357142857	0	0	0	0	1	0.116089285714	0.0
(u'ng',)	0	0	0	0	0	0	0	0	0	0	0.4063125	0.04925	0	0.221625	0	0	0	0	0	0	0.158303571429	0	0	0	0	1	0	0	0	0.73875	0	0	0	0	0	0	0	0.73875	0
(u'ow',)	0	0.103425	0	0	0	0	0	0.310275	0	0.62055	0.379225	0	0	0	0	0	1	0	0	0	0.221625	0	0.02585625	0.0517125	0	0	0	0	0	0	0	0	0	0	0	0.0	1	0	0.0
(u'oy',)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0
(u'p',)	0	0	0	0	0	0.0197	0	0	0	0	0	0	0.0	0.08865	0	0	0.591	0.06895	0	0	0	0.0591	0	0	0	0	0	0	0.14775	0	0	0.01182	0	0.0	0	0	0	0	0
(u'r',)	0	0.08865	0	0	0	0.1182	0.044325	0.26595	0	1	0.278614285714	0.3546	0	0	0.0591	0	1	0.1773	0.0	0	0	0.1773	0.0591	1	0	0	0	0	0	0	0	0.7092	0	0	0	0	0	0.1773	0.0
(u's',)	0.0	0.103425	0.0	0.20685	0	0.0591	0	0.310275	0	1	0.142209375	0.20685	0	0.07756875	0.20685	0.8274	0	0.723975	0.0	0	1	0	0	0.20685	0	1	0	0.1379	1	1	0	0.1182	0	0	0	0	1	0.6895	0
(u'sh',)	0	0	0	0	0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0
(u't',)	0.0	0.5319	0.0	1	0.0	0.10638	0	1	0	1	0.6501	0.1182	0.0	0	0.26595	1	1	0.5319	0.0	0	1	0.21276	0	1	0	0	0	1	0	0.136384615385	0	0.7092	0	0	0.0759857142857	0	1	1	0
(u'th',)	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0
(u'uh',)	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0
(u'uw',)	0.0	0	0	0	0	0.5319	0	0	0	0.227957142857	0	0	0	0	0.132975	0.5319	1	0.4654125	0	0	0.9973125	0.0664875	0.016621875	0.1994625	0	1	0	0.132975	1	0.26595	0.132975	0.0664875	0.0	0	0	0	0.911828571429	0.14775	0.0
(u'v',)	0	0	0	0	0	0.08865	0.044325	0	0	0	0.487575	0	0.0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0.08865	0	0	0	0	0	0	0	0	0	0	0
(u'w',)	0.0	0	0.0	0	0	0.0	0.0	0	0	0	0	0.0	0.0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0
(u'y',)	0.0	0	0	0.0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0
(u'z',)	0.0	0	0	0	0	0.21276	0	0.79785	0	0	0.162525	0.5319	0	0	0.26595	1	1	0.4654125	0.0	0.26595	1	0.5319	0	0.398925	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0
