	(u'aa',)	(u'ae',)	(u'ah',)	(u'ao',)	(u'aw',)	(u'ax',)	(u'ay',)	(u'b',)	(u'ch',)	(u'd',)	(u'dh',)	(u'eh',)	(u'er',)	(u'ey',)	(u'f',)	(u'g',)	(u'hh',)	(u'ih',)	(u'iy',)	(u'jh',)	(u'k',)	(u'l',)	(u'm',)	(u'n',)	(u'ng',)	(u'ow',)	(u'oy',)	(u'p',)	(u'r',)	(u's',)	(u'sh',)	(u't',)	(u'th',)	(u'uh',)	(u'uw',)	(u'v',)	(u'w',)	(u'y',)	(u'z',)
(u'aa',)	0	0	0	0	0	0	0	0.0	0	0.0	0	0	0	0	0.0	0	0	0	0	0	0.0	0	0.0	0.0	0	0	0	0.0	0.0	0	0	0.0	0	0	0	0	0	0	0.0
(u'ae',)	0.232	0	0	0	0	0	0	0.928	0	0.58	0.986	0	0	0	0.232	0	0	0.58	0	0	0	0	0.232	0.0257777777778	0	0	0	0.0	0.116	0	0	0.0	0.0	0	0	0.0	1	0	0
(u'ah',)	0	0	0	0	0	0	0	0.1392	0	0	1	0	0	0	0.1392	0	0	0	0	0	0.174	0	0.02784	0.1392	0	0	0	0.0	0	0.02784	0.2784	0.0	0	0	0	0.0	0	0	0.0
(u'ao',)	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0.0
(u'aw',)	0.0618666666667	0	0	0	0	0	0	0	0	0.154666666667	1	0	0	0	0.1856	0	0	0.464	0	0	0.154666666667	0	0	0.106057142857	0	0	0	0	0	0.0412444444444	0	0.0	0	0	0	0	0.58	0	0
(u'ax',)	0	0.4872	0	0	0	0.1624	0	0.0866133333333	0.0	0.270666666667	0.55216	0	0	0	0.0541333333333	0.0147636363636	0.236218181818	0.812	0.0	0.1624	0.203	0.0056	0.0341894736842	0.0721777777778	0.0	0	0	0.0	0.2436	0.0382117647059	0	0.0	0	0	0	0.0	0.58	1	0.0
(u'ay',)	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0.0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0.0	0.0	0.0	0.0
(u'b',)	0.0348	0.04176	0.00535384615385	0.0232	0.0	0.0174	0.087	0	0	0	0	0.0348	0	0.0	0	0	0	0.087	0.0	0	0	0	0	0	0	0	0.0	0	0.1044	0	0	0	0	0	0	0	0	1	0
(u'ch',)	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(u'd',)	0	0.4872	0.01624	0	0.0	0.03248	0.812	1	0	0.406	0.250981818182	0	0.0	0	0.3248	0	1	0.116	0.0	0.1624	0.812	0	0.216533333333	0.6496	0	1	0	0.0	0.2436	0.216533333333	0.3248	0.0	0	0	0.00854736842105	0	1	0.77952	0.0
(u'dh',)	0	0.0	0	0	0	0.0	0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0
(u'eh',)	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0.0	0	0.0	0	0	0	0.0	0	0	0
(u'er',)	0.4176	0.6264	0	0	0	0.1044	0	1	0	0.522	1	0	0	0	0	0.1044	1	1	0	0.2088	0	0	0	0.151854545455	0	0	0	0.0	0.6264	0.119314285714	0.8352	0.0	0	0	0	0	1	0	0
(u'ey',)	0.08816	1	0	0.4408	0	0	0.734666666667	0.4408	0.0	1	1	0	0	0	0.8816	0.4408	1	1	0	0.4408	0.367333333333	0	0.4408	0.4408	0	0	0	0.0	0	0.35264	1	0.0	0	0	0	0	1	1	0
