#Version	21
agey	eJi
bassinet	b@sInEt
cosi's	kosiz
cursive	kRsIv
dander	d@ndR
desalles	des@l
doty's	datiz
ec	Ek
edventure	EdvEnCR
ellimen	elImEn
gahanna	g^h@n^
geezy	Jizi
gitchy	gICi
ima	imx
leche	leCx
manwich	m@nwIC
masillon	m@sIlxn
lemonjello	lEmxnJElo
orangello	crInJElo
oxleys	aksliz
teater's	titRz
twizzlers	twIzlRz
unbrand	^nbr@nd
vesture	vEsCRxn
wellbutrin	wElbatrxn
wyandot	wxxndat
westerville	wEstRvIl
zanesville	zenzvIl
meijer	mYJR
olentangy	olEntxngi
jalena	Jalinx
bruge	bryuJ
vestibules	vEstxbyulz
sunbury	s^nbEri
scooney	skuni
reynoldsburg	rEncldzbRg
lamaze	lxm@zi
kindergarteners	kIndRgartxnRz
jedd	JEd
femalee	fimeli
pokedex	pokxdEks
eurail	yUrel
a	x
a's	xz
a@l	e
aah	a
aaron	@rxn
abby	@bi
abc	ebisi
abc@l	ebisi
abcd@l	ebisidi
abcdefg@k	ebisidiiEfJi
abcs	ebisiz
abhorrent	xbcrxnt
abigail	@bxgel
abilities	xbIlItiz
ability	xbilIti
able	ebxl
abortion	xbcrSxn
about	xbWt
above	xb^v
abroad	xbrad
absentee	@bsxnti
absolute	@bsxlut
absolutely	@bsxlutli
absorbent	xbscrbxnt
abstinence	@bstInxns
abstract	xbstr@kt
abu	xbu
abuse	xbyuz
abused	xbyuzd
abuses	xbyusIz
abusing	xbyusIG
academically	xk@dEmIkli
academics	xk@dEmIks
academy	xk@dEmi
accent	@ksxnt
accents	@ksxnts
accept	@ksEpt
acceptable	@ksEptxbxl
acceptance	@ksEptxns
accepting	@ksEptIG
accepted	@ksEptxd
access	@ksEs
accessible	@ksEsibxl
accident	@ksxdEnt
accidental	@ksxdEntxli
accidentally	@ksxdEntxl
accidently	@ksxdEntli
accidents	@ksxdEnts
accordion	xkcrdixn
accommodate	xkamxdet
accomplish	xkamplIS
accomplished	xkamplISt
accomplishing	xkamplISIG
accord	xkcrd
according	xkcrdIG
account	xkWnt
accounts	xkWnts
accounting	xkWntIG
accused	xkyuzd
accustomed	xk^stxmd
achieve	xCiv
achieved	xCivd
achieves	xCivz
achieving	xCivIG
achoo	xCu
acknowledge	EknalxJ
acknowledged	EknalxJd
acquiesced	@kwIEst
accredited	xkREdItId
accumulated	xkyumyuletId
accurate	xkyurIt
achievement	xCivmxnt
acoustics	xkustIks
acre	ekR
acres	ekRz
across	xkras
act	@kt
acting	@ktIG
action	@kCxn
activator	@ktxvetR
active	@ktIv
activities	@ktIvItiz
activity	@ktIvIti
actor	@ktR
actors	@ktRz
actorfactormactor	@ktRf@ktRm@ktR
acts	@kts
actual	@kCuxl
actually	@kCuxli
ad	@d
adam	@dxm
adam's	@dxmz
add	@d
added	@dxd
addict	xdIkt
addicts	xdIkts
addicted	xdIktxd
adding	@dIG
addition	@dISxn
additional	@dISxnxl
addison	@dIsxn
address	xdrEs
addressed	xdrEst
adds	@dz
adequate	@dxkyet
adjustable	xJ^stxbxl
adjustment	xJ^stmxnt
adjustments	xJ^stmxnts
adorable	xdcrxbxl
adoption	xdapSxn
adore	xdcr
adult	xd^lt
adults	xd^lts
advanced	@dv@nst
advantage	@dv@ntIJ
adventure	crdvEnCR
advice	crdvYs
advises	crdvYzxz
afford	xfcrd
afraid	xfred
africa	@frIkx
african	@frIkxn
after	@ftR
afternoon	@ftRnun
afterwards	@ftRwRdz
again	xgEn
against	xgEnst
age	eJ
aggie	@gi
aggravated	@grxvetxd
aggravating	@grxvetIG
aggressive	xgrEsIv
agnes	@gnxs
ago	xgo
agree	xgri
agreed	xgrid
ah	a
ahab	eh@b
ahead	xhEd
ahhah	aha
ahoy	xhO
aid	ed
aidan	edxn
aids	edz
aim	em
aimed	emd
ainsley	enzli
ain't	ent
air	Er
airing	ErIG
airline	ErlYn
airplane	Erplen
airplanes	Erplenz
airplane's	Erplenz
aisle	Yl
aisles	Ylz
al	@l
aladin	xl@dIn
aladin's	xl@dinz
alarm	xlarm
alcohol	@lkxhal
alex	@leks
alex's	@leksxz
alexandre	@leks@ndR
alexander	@leks@ndR
alexander's	@leks@ndRz
alfredo	alfredo
algae	@lJi
ali	@li
alibi	@lIbY
alice	@lIs
alice's	@lIsIz
alicia's	xliSxz
alike	xlYk
alive	xlYv
all	cl
alan	@lxn
allan	@lxn
alldone	cld^n
allen	@lxn
alligator	@lIgetR
alligator's	@lIgetRz
allison	@lIsxn
alison	@lIsxn
allison's	@lIsxnz
allow	xlW
allowed	xlWd
ally	@li
almond	@mxnd
almost	clmost
alone	xlon
along	xlcG
alot	xlat
aloud	xlWd
alpha	@lfx
alphabet	@lfxbEt
