agey	e/Ji
bassinet	b@/sI/nEt
cosi's	ko/siz
cursive	kR/sIv
dander	d@n/dR
desalles	de/s@l
doty's	da/tiz
ec	Ek
edventure	Ed/vEn/CR
ellimen	e/lI/mEn
gahanna	g^/h@/n^
geezy	Ji/zi
gitchy	gI/Ci
ima	i/mx
leche	le/Cx
manwich	m@n/wIC
masillon	m@/sI/lxn
lemonjello	lE/mxn/JE/lo
orangello	c/rIn/JE/lo
oxleys	ak/sliz
teater's	ti/tRz
twizzlers	twIz/lRz
unbrand	^n/br@nd
vesture	vEs/CR/xn
wellbutrin	wEl/ba/trxn
wyandot	wx/xn/dat
westerville	wE/stR/vIl
zanesville	zenz/vIl
meijer	mY/JR
olentangy	o/lEn/txn/gi
jalena	Ja/li/nx
bruge	br/yuJ
vestibules	vE/stx/byulz
sunbury	s^n/bE/ri
scooney	sku/ni
reynoldsburg	rE/ncldz/bRg
lamaze	lx/m@/zi
kindergarteners	kIn/dR/gar/tx/nRz
jedd	JEd
femalee	fi/me/li
pokedex	po/kx/dEks
eurail	yU/rel
a	e
a's	xz
a@l	e
aah	a
aaron	@/rxn
abby	@/bi
abc	e/bi/si
abc@l	e/bi/si
abcd@l	e/bi/si/di
abcdefg@k	e/bi/si/di/i/Ef/Ji
abcs	e/bi/siz
abhorrent	x/bc/rxnt
abigail	@/bI/gel
abilities	x/bI/lI/tiz
ability	x/bi/lI/ti
able	e/bxl
abortion	x/bcr/Sxn
about	x/bWt
above	x/b^v
abroad	x/brad
absentee	@b/sxn/ti
absolute	@b/sx/lut
absolutely	@b/sx/lut/li
absorbent	xb/zcr/bInt
abstinence	@b/stI/nxns
abstract	xb/str@kt
abu	a/bu
abuse	x/byus
abused	x/byuzd
abuses	x/byu/sIz
abusing	x/byu/sIG
academically	x/k@/dE/mI/kli
academics	x/k@/dE/mIks
academy	x/k@/dE/mi
accent	@k/sxnt
accents	@k/sxnts
accept	Ek/sEpt
acceptable	Ek/sEp/tx/bxl
acceptance	@k/sEp/txns
accepting	@k/sEp/tIG
accepted	Ek/sEp/tId
access	@k/sEs
accessible	@k/sE/si/bxl
accident	@k/sI/dInt
accidental	@k/sx/dEn/tx/li
accidentally	@k/sI/dEn/tx/li
accidently	@k/sI/dEnt/li
accidents	@k/sx/dEnts
accordion	x/kcr/di/In
accommodate	x/ka/mx/det
accomplish	x/kam/plIS
accomplished	x/kam/plISt
accomplishing	x/kam/plI/SIG
accord	x/kcrd
according	x/kcr/dIG
account	x/kWnt
accounts	x/kWnts
accounting	x/kWn/tIG
accused	x/kyuzd
accustomed	x/k^/stxmd
achieve	x/Civ
achieved	x/Civd
achieves	x/Civz
achieving	x/Ci/vIG
achoo	x/Cu
acknowledge	@k/na/lIJ
acknowledged	@k/na/lIJd
acquiesced	@/kwI/Est
accredited	x/kR/E/dI/tId
accumulated	x/kyu/myu/le/tId
accurate	x/kyu/rIt
achievement	x/Civ/mxnt
acoustics	x/ku/stIks
acre	e/kR
acres	e/kRz
across	x/krcs
act	@kt
acting	@k/tIG
action	@k/SIn
activator	@k/tI/ve/tR
active	@k/tIv
activities	@k/tI/vI/tiz
activity	@k/tI/vI/ti
actor	@k/tR
actors	@k/tRz
actorfactormactor	@k/tR/f@k/tR/m@k/tR
acts	@kts
actual	@k/Cu/xl
actually	@k/Cu/x/li
ad	@d
adam	@/dxm
adam's	@/dxmz
add	@d
added	@/dId
addict	x/dIkt
addicts	x/dIkts
addicted	x/dIk/tId
adding	@/dIG
addition	@/dI/Sxn
additional	@/dI/Sx/nxl
addison	@/dI/sxn
address	x/drEs
addressed	x/drEst
adds	@dz
adequate	@/dx/kyet
adjustable	x/J^/stx/bxl
adjustment	x/J^s/tmInt
adjustments	x/J^st/mxnts
adorable	x/do/rx/bxl
adoption	x/dap/Sxn
adore	x/dor
adult	x/d^lt
adults	x/d^lts
advanced	@d/v@nst
advantage	@d/v@n/tIJ
adventure	@d/vEn/CR
advice	@d/vYs
advises	@d/vY/zIz
afford	x/ford
afraid	x/fred
africa	@/frI/kx
african	@/frI/kxn
after	@f/tR
afternoon	@f/tR/nun
afterwards	@f/tR/wRdz
again	x/gEn
against	x/gEnst
age	eJ
aggie	@/gi
aggravated	@/grx/ve/tId
aggravating	@/grx/ve/tIG
aggressive	x/grE/sIv
agnes	@g/nIs
ago	x/go
agree	x/gri
agreed	x/grid
ah	a
ahab	e/h@b
ahead	x/hEd
ahhah	a/ha
ahoy	@/hoI
aid	ed
aidan	e/dxn
aids	edz
aim	em
aimed	emd
ainsley	enz/li
ain't	ent
air	er
airing	e/rIG
airline	er/lYn
airplane	er/plen
airplanes	Er/plenz
airplane's	Er/plenz
aisle	Yl
aisles	Ylz
al	@l
aladin	l@//dIn
