agey	、。
bassinet	〃〄々
cosi's	〆〇
cursive	〈〉
dander	【】
desalles	〒〓
doty's	〔〕
ec	〖
edventure	〗〘〙
ellimen	、〠〡
gahanna	〢〣〤
geezy	。〥
gitchy	〦〧
ima	〨〩
leche	〰〱
manwich	〲〳
masillon	〴〄〵
lemonjello	〶〷〸〹
orangello	぀ぁ〸〹
oxleys	あぃ
teater's	いぅ
twizzlers	うぇ
unbrand	えぉ
vesture	ぐ〙け
wellbutrin	げこご
wyandot	さけざ
westerville	しじす
zanesville	だす
meijer	ちぢ
olentangy	っつづて
jalena	でとど
bruge	ばぱ
vestibules	ひびぴ
sunbury	ふぶぷ
scooney	へべ
reynoldsburg	むめも
lamaze	ゃ〴〥
kindergarteners	や】ゅゆょ
jedd	よ
femalee	らゐと
pokedex	ゑをん
eurail	ゔゕ
a	、
a's	ゖ
a@l	、
aah	゗
aaron	゘゙
abby	゘㄀
abc	、㄀㄁
abc@l	、㄀㄁
abcd@l	、㄀㄁㄂
abcdefg@k	、㄀㄁㄂〨㄃。
abcs	、㄀〇
abhorrent	㄄ㄅㄆ
abigail	゘ㄇㄈ
abilities	㄄ㄇ〠〕
ability	㄄㄀〠い
able	、ㄉ
abortion	㄄ㄐㄑ
about	㄄ㄒ
above	㄄ㄓ
abroad	㄄ㄔ
absentee	ㄕㄖい
absolute	ㄕㄗㄘ
absolutely	ㄕㄗㄘと
absorbent	ㄙㄠㄡ
abstinence	ㄕㄢㄣ
abstract	ㄙㄤ
abu	゗ㄥ
abuse	㄄ㄦ
abused	㄄ㄧ
abuses	㄄ㄨㄩ
abusing	㄄ㄨ㄰
academically	㄄ㄱㄲㄳㄴ
academics	㄄ㄱㄲㄵ
academy	㄄ㄱㄲㄶ
accent	ㄷㄸ
accents	ㄷㄹ
accept	〖ㅀ
acceptable	〖ㅁゆㄉ
acceptance	ㄷㅁㅂ
accepting	ㄷㅁㅃ
accepted	〖ㅁㅄ
access	ㄷㅅ
accessible	ㄷㅆ㄁ㄉ
accident	ㄷ〄ㅇ
accidental	ㄷㄗㅈゆと
accidentally	ㄷ〄ㅈゆと
accidently	ㄷ〄ㅉと
accidents	ㄷㄗㅐ
accordion	㄄ㅑ㄂ㅒ
accommodate	㄄ㅓ〩ㅔ
accomplish	㄄ㅕㅖ
accomplished	㄄ㅕㅗ
accomplishing	㄄ㅕㅘㅙ
accord	㄄ㅠ
according	㄄ㅑㅡ
account	㄄ㅢ
accounts	㄄ㅣ
accounting	㄄ㅤㅃ
accused	㄄ㅥ
accustomed	㄄ㅦㅧ
achieve	㄄ㅨ
achieved	㄄ㅩ
achieves	㄄ㅰ
achieving	㄄〧ㅱ
achoo	㄄ㅲ
acknowledge	ㄷㅳㅴ
acknowledged	ㄷㅳㅵ
acquiesced	゘ㅶㅷ
accredited	㄄〈ㅸㅹㅄ
accumulated	㄄ㆀㆁ〰ㅄ
accurate	㄄ㆀㆂ
achievement	㄄ㅨㆃ
acoustics	㄄ㆄㆅ
acre	、〈
acres	、ㆆ
across	㄄ㆇ
act	ㆈ
acting	ㄷㅃ
action	ㄷㆉ
activator	ㄷ㆐㆑㆒
active	ㄷ㆓
activities	ㄷ㆐㆔〕
activity	ㄷ㆐㆔い
actor	ㄷ㆒
actors	ㄷぅ
actorfactormactor	ㄷ㆒㆕㆒㆖㆒
acts	㆗
actual	ㄷㅲ㆘
actually	ㄷㅲ㄄と
ad	㆙
adam	゘㈀
adam's	゘㈁
add	㆙
added	゘㈂
addict	㄄㈃
addicts	㄄㈄
addicted	㄄㈅ㅄ
adding	゘ㅡ
addition	゘ㅹㄑ
additional	゘ㅹ㈆㈇
addison	゘ㅹㄖ
address	㄄㈈
addressed	㄄㈉
adds	㈐
adequate	゘㈑㈒
adjustable	㄄㈓びㄉ
