#Version 2.1 - Updated by Alex Cristia 2015-08-31
agey     .eGi -w
bassinet     .b&sInEt -w
cosi's     .kosiz -w
cursive     .k3sIv -w
dander   .d&ndR -w
desalles   .des&l -w
doty's   .datiz -w
ec        .Ek -w
edventure        .EdvEnCR -w
ellimen    .elImEn -w
gahanna    .gAh&nA -w
geezy   .Gizi -w
gitchy     .gIci -w
ima       .im6 -w
leche       .lec6 -w
manwich       .m&nwIc -w
masillon     .m&sIl6n -w
lemonjello     .lEm~GElo -w
orangello     .%InGElo -w
oxleys     .aksliz -w
teater's     .titRz -w
twizzlers     .twIzlRz -w
unbrand     .Anbr&nd -w
vesture              .vEsc3~ -w
wellbutrin              .wElbatr~ -w
wyandot              .w6~dat -w
westerville              .wEstRvIl -w
zanesville              .zenzvIl -w
meijer              .m9GR -w
olentangy              .olEnt6ngi -w
jalena              .Galin6 -w
bruge              .bryuG -w
vestibules              .vEst6byulz -w
sunbury              .sAnb*i -w
scooney              .skuni -w
reynoldsburg              .rEnOldzb3g -w
lamaze              .l6m&zi -w
kindergarteners          .kIndRg#t6n3z -w
jedd          .GEd -w
femalee          .fimeli -w
pokedex              .pok6dEks -w
eurail          .yUrel -w
a              .6 -w
a's              .6z -w
a@l            .e -w
aah            .a -w
aaron          .&r~ -w
abby        .&bi -w
abc            .e -w .bi -w .si -w
abc@l          .e -w .bi -w .si -w
abcd@l         .e -w .bi -w .si -w .di -w
abcdefg@k   .e -w .bi -w .si -w .di -w .i -w .Ef -w .Gi -w
abcs           .e -w .bi -w .siz -w
abhorrent        .6b%~t -w
abigail        .&b6gel -w
abilities           .6bIlItiz -w
ability           .6bilIti -w
able           .ebL -w
abortion          .6b%S~ -w
about          .6bQt -w
above          .6bAv -w
abroad          .6brad -w
absentee       .&bs~ti -w
absolute       .&bs6lut -w
absolutely    .&bs6lutli -w
absorbent    .6bs%b~t -w
abstinence       .&bstIn~s -w
abstract       .6bstr&kt -w
abu              .6bu -w
abuse           .6byuz -w
abused           .6byuzd -w
abuses         .6byusIz -w
abusing         .6byusIN -w
academically          .6k&dEmIkli -w
academics          .6k&dEmIks -w
academy          .6k&dEmi -w
accent          .&ks~t -w
accents          .&ks~ts -w
accept          .&ksEpt -w
acceptable     .&ksEpt6bL -w
acceptance          .&ksEpt~s -w
accepting          .&ksEptIN -w
accepted         .&ksEpt6d -w
access          .&ksEs -w
accessible          .&ksEsibL -w
accident       .&ks6dEnt -w
accidental      .&ks6dEntLi -w
accidentally      .&ks6dEntL -w
accidently     .&ks6dEntli -w
accidents       .&ks6dEnts -w
accordion       .6k%di6n -w
accommodate           .6kam6det -w
accomplish           .6kamplIS -w
accomplished           .6kamplISt -w
accomplishing           .6kamplISIN -w
accord           .6k%d -w
according           .6k%dIN -w
account           .6kQnt -w
accounts           .6kQnts -w
accounting           .6kQntIN -w
accused           .6kyuzd -w
accustomed     .6kAstMd -w
achieve          .6civ -w
achieved       .6civd -w
achieves         .6civz -w
achieving       .6civIN -w
achoo             .6Cu -w
acknowledge      .Eknal6G -w
acknowledged   .Eknal6Gd -w
acquiesced     .&kwIEst -w
accredited               .6kREdItId -w
accumulated               .6kyumyuletId -w
accurate               .6kyurIt -w
achievement          .6civm~t -w
acoustics          .6kustIks -w
acre               .ekR -w
acres               .ekRz -w
across          .6kras -w
act            .&kt -w
acting          .&ktIN -w
action          .&kC~ -w
activator        .&kt6vetR -w
active            .&ktIv -w
activities     .&ktIvItiz -w
activity       .&ktIvIti -w
actor            .&ktR -w
actors            .&ktRz -w
actorfactormactor    .&ktR -w .f&ktR -w .m&ktR -w
acts           .&kts -w 
actual         .&kcuL -w
actually       .&kcu6li -w
ad             .&d -w
adam        .&dM -w
adam's      .&dMz -w
add            .&d -w
added         .&d6d -w
addict      .6dIkt -w
addicts      .6dIkts -w
addicted      .6dIkt6d -w
adding        .&dIN -w
addition        .&dIS~ -w
additional        .&dIS~L -w
addison        .&dIs~ -w
address            .6drEs -w
addressed            .6drEst -w
adds            .&dz -w
adequate            .&d6kyet -w
adjustable     .6GAst6bL -w
adjustment     .6GAstm~t -w
adjustments   .6GAstm~ts -w
adorable        .6d%6bL -w
adoption            .6dapS~ -w
adore            .6d% -w
adult             .6dAlt -w
adults         .6dAlts -w
advanced       .&dv&nst -w
advantage       .&dv&ntIG -w
adventure        .%dvEnCR -w
advice           .%dv9s -w
advises          .%dv9z6z -w
afford          .6f%d -w
afraid         .6fred -w
africa        .&frIk6 -w
african       .&frIk~ -w
after          .&ftR -w
afternoon      .&ftRnun -w
afterwards     .&ftRwRdz -w
again          .6gEn -w
against       .6gEnst -w
age            .eG -w
aggie         .&gi -w
aggravated   .&gr6vet6d -w
aggravating    .&gr6vetIN -w
aggressive       .6grEsIv -w
agnes             .&gn6s -w
ago            .6go -w
agree          .6gri -w
agreed         .6grid -w
ah                .a -w
ahab             .eh&b -w
ahead          .6hEd -w
ahhah          .aha -w
ahoy            .6h7 -w
aid             .ed -w
aidan             .ed~ -w
aids            .edz -w
aim            .em -w
aimed         .emd -w
ainsley            .enzli -w
ain't            .ent -w
air            .* -w
airing          .*IN -w
airline          .*l9n -w
airplane       .*plen -w
airplanes     .*plenz -w
airplane's     .*plenz -w
aisle            .9l -w
aisles         .9lz -w
al               .&l -w
aladin        .6l&dIn -w
aladin's       .6l&dinz -w
alarm          .6l#m -w
alcohol         .&lk6hal -w
alex             .&leks -w
alex's          .&leks6z -w
alexandre     .&leks&ndR -w
alexander     .&leks&ndR -w
alexander's     .&leks&ndRz -w
alfredo            .alfredo -w
algae            .&lGi -w
ali               .&li -w
alibi            .&lIb9 -w
alice          .&lIs -w
alice's        .&lIsIz -w
alicia's       .6liS6z -w
alike           .6l9k -w
alive          .6l9v -w
all            .Ol -w
alan            .&l~ -w
allan            .&l~ -w
alldone         .Ol -w .dAn -w
allen            .&l~ -w
alligator      .&lIgetR -w
alligator's    .&lIgetRz -w
allison          .&lIs~ -w
alison          .&lIs~ -w
allison's          .&lIs~z -w
allow          .6lQ -w
allowed        .6lQd -w
ally               .&li -w
almond         .&m6nd -w
almost         .Olmost -w
alone          .6lon -w
along          .6lON -w
alot          .6 -w .lat -w
aloud            .6lQd -w
alpha           .&lf6 -w
alphabet       .&lf6bEt -w
alphabets       .&lf6bEts -w
already        .OlrEdi -w
alright        .Olr9t -w
alrightie      .Olr9ti -w
also           .Olso -w
alternative       .OltRn6tIv -w
although       .OlDo -w
altogether       .OltugEDR -w
always         .Olwez -w
am             .&m -w
amazed         .6mezd -w
amazement     .6mezm~t -w
amazing        .6mezIN -w
amazingly       .6mezINli -w
ambitious       .&mbIS6s -w
ambivalence    .&mbIv6l~s -w
amelia         .6mily6 -w
amen             .amEn -w
america         .6m*Ik6 -w
american         .6m*Ik6n -w
americans         .6m*Ik6nz -w
among         .6mAN -w
amount         .6mQnt -w
amused         .6myuzd -w
amusing        .6myuzIN -w
amy         .emi -w
amie         .emi -w
amir         .6mir -w
an             .6n -w
ancient         .enc~t -w
and            .&nd -w
andrea's          .&ndriAz -w
andrew       .&ndru -w
andrew's       .&ndruz -w
andy           .&ndi -w
andy's         .&ndiz -w
angel          .&nGL -w
angelica         .&nGElIk6 -w
angels         .&nGLz -w
angle            .&ngL -w
angry            .&ngri -w
anika         .6nik6 -w
animal         .&n6mL -w
animals        .&n6mLz -w
animosity     .&n6masIti -w   
ankle           .&nkL -w
ankles        .&NkLz -w
ann            .&n -w
anna           .&n6 -w
anne           .&n -w
annette           .&nEt -w
annie          .&ni -w
annie's        .&niz -w
anniversary      .&n6vRsRi -w
annoying        .6n7IN -w
anorexic         .&n6rEksIk -w
another        .6nADR -w
anotherthe     .6nADR -w .D6 -w
answer         .&nsR -w
answered        .&nsRd -w
answering         .&nsRIN -w
answers        .&nsRz -w
ant            .&nt -w
anteater        .&ntitR -w
antenna        .&ntEn6 -w
antennaes      .&ntEn6z -w
antibiotic      .&ntib9atIk -w
antibiotics      .&ntib9atIks -w
antisocial       .&ntisoSL -w
ants           .&nts -w
any            .Eni -w
anybody        .Enibadi -w
anyhow         .EnihQ -w
anymore        .Enim% -w
anyone         .EniwAn -w
anything       .EniTIN -w
anytime         .Enit9m -w
anyway         .Eniwe -w
anyways        .Eniwez -w
anywhere       .EniW* -w
apart          .6p#t -w
apartment      .6p#tm~t -w
aplenty         .6plEnti -w
apology         .6pOl6Gi -w
apparent       .6p*~t -w
apparently     .6p*~tli -w
appeal        .6pil -w
appeals        .6pilz -w
appearance    .6p(~z -w
appeared       .6p(d -w
appetite         .&p6t9t -w
appiesauce     .&pisOs -w
apple          .&pL -w
apples         .&pLz -w
applesauce     .&pLsOs -w
appleses          .&pLz6z -w
applied           .6pl9d -w
applies           .6pl9z -w
apply          .6pl9 -w
applying       .6pl9yIN -w
appointment    .6p7ntm~t -w
appreciate     .6priSiet -w
appreciates     .6priSiets -w
approached     .6proct -w
appropriate    .6propriIt -w
apricot        .&prIkat -w
apricots        .&prikats -w
april        .eprL -w
apron            .epr~ -w
apronstring      .epr~strIN -w
aquarium       .6kw*iM -w
arc                .#k -w
arches             .#c6z -w
are            .# -w
area           .*i6 -w
areas          .*i6z -w
areil            .EreL -w
aren't         .#nt -w
arfarf          .#f -w .#f -w
argue          .#gyu -w
arguing        .#gyuIN -w
argument      .#gyum~t -w
arise            .6r9z -w
ark              .#k -w
arm            .#m -w
armadillo      .#m6dIlo -w
armhole        .#mhol -w
arms           .#mz -w
army           .#mi -w
aroonie       .6runi -w
around         .6rQnd -w
arrange         .6renG -w
arranged       .6renGd -w
arrangements   .6renGm~ts -w
arranging         .6renGIN -w
array          .6re -w
arrived       .6r9vd -w
arriving      .6r9vIN -w
art          .#t -w
arthur      .#TR -w
arthur's      .#TRz -w
article      .#tIkL -w
articles     .#tIkLz -w
artillery     .#tIlRi -w
arts          .#ts -w
as             .&z -w
ash         .&S -w
ashamed     .6Semd -w
ashes         .&S6z -w
ashland	.&Sl&nd -w 
ashley        .&Sli -w
ashley's       .&Sliz -w
ashy          .&Si -w
ask            .&sk -w
asked          .&skt -w
asking         .&skIN -w
asks           .&sks -w
asleep         .6slip -w
asparagus    .6sp*6gAs -w
aspect      .&spEkt -w
aspirate      .&sp6ret -w
aspirated     .&sp6ret6d -w
aspirates      .&sp6rets -w
aspirating      .&sp6retIN -w
ass             .&s -w
assemble       .6sEmbL -w
asserting        .6sRtIN -w
assistance      .6sIst~s -w
associate      .6sosiet -w
associated     .6sosietId -w
associates     .6sosiets -w
association    .6sosieS~ -w
assortment      .6s#tm~t -w
assume         .6sum -w
assumed       .6sumd -w
at             .&t -w
ate            .et -w
athe             .eD -w
athena             .6Tin6 -w
attach           .6t&c -w
attached       .6t&ct -w
attaches        .6t&c6z -w
attack         .6t&k -w
attacked       .6t&kt -w
attacking       .6t&kIN -w
attention      .6tEnS~ -w
attic             .&tIk -w
attitude         .&t6tud -w
attitude         .&t6tudz -w
attractive       .6tr&ktIv -w
augmentin       .OgmEntIn -w
august         .Og6st -w
aunt           .&nt -w
auntie         .&nti -w
aunts           .&nts -w
author     .OTR -w
autograph     .Ot6gr&f -w
automatic       .Ot6m&tIk -w
automatically  .Ot6m&tIkli -w
automobile      .Ot6m6bil -w
ava            .ev6 -w
ava's            .ev6z -w
available            .6vel6bL -w
avenue            .&v6nu -w
average       .&vr6G -w
averaging       .&vr6GIN -w
avocado         .av6cado -w
avocados       .av6cadoz -w
aw                .O -w
awake          .6wek -w
awakening     .6wek~IN -w
aware          .6w* -w
away           .6we -w
awesome      .OsAm -w
awful           .OfL -w
awfully        .Ofli -w
awfuls          .OfLz -w
awkward      .OkwRd -w
ax               .&ks -w
aye              .9 -w
b                .bi -w
b@l            .bi -w
ba            .ba -w
baa            .ba -w
baa@o         .ba -w
baba           .baba -w
babac         .babak -w
babaji           .babaGi -w
babar         .babar -w
babars         .babarz -w
babas            .babaz -w
babble         .b&bL -w
babbling     .b&bLIN -w
babe            .beb -w
babes           .bebz -w
babies         .bebiz -w
baboo           .b6bu -w
baboon         .b6bun -w
baby           .bebi -w
baby's         .bebiz -w
babycake        .bebikek -w
babycakes        .bebikeks -w
babydoll        .bebidOl -w
babydolls     .bebidOlz -w
babysat        .bebisIt -w
babysitter     .bebisItR -w
babysitters    .bebisItRz -w
back           .b&k -w
backdoor        .b&kd% -w
backed         .b&kt -w
backflips       .b&kflIps -w
background      .b&krQnd -w
backie          .b&ki -w
backing        .b&kIN -w
backordered     .b&k%dRd -w
backpack           .b&kp&k -w
backs          .b&ks -w
backtwist       .b&ktwIst -w
backward        .b&kw3d -w
backwards       .b&kw3dz -w
backwash         .b&kwaS -w
backyard        .b&ky#d -w
bacon          .bek~ -w
bacteria        .b&kt(i6 -w
bad            .b&d -w
badido         .b6dido -w
badly            .b&dli -w
baebae        .bebe -w
bag            .b&g -w
baggie        .b&gi -w
baggies        .b&giz -w
baggy           .b&gi -w
bags           .b&gz -w
bah             .ba -w
bailey         .beli -w
bake            .bek -w
baked           .bekt -w
baker            .bekR -w
baker's         .bekRz -w
bakers          .bekRz -w
bakes          .beks -w
baking         .bekIN -w
balance        .b&l~ts -w
balcony         .b&lk6ni -w
bald             .bOld -w
ball           .bOl -w
ball's        .bOlz -w
ballerina       .b&l6rin6 -w
ballerinas    .b&l6rin6z -w
ballet         .b&le -w
ballgame        .bOlgem -w
ballie          .bOli -w
balling         .bOlIN -w
balloon        .b6lun -w
balloons       .b6lunz -w
balls          .bOlz -w
balmex      .bOlmEks -w
balogna        .b6loni -w
baloney          .b6loni -w
balooga         .b6lug6 -w
baltimore       .baltIm% -w
bam             .b&m -w
bambi          .b&mbi -w
bambi's        .b&mbiz -w
bambis         .b&mbiz -w
bamboo        .b&mbu -w
banana        .b6n&n6 -w
bananas        .b6n&n6z -w
band           .b&nd -w
bandana      .b&nd&n6 -w
bands         .b&ndz -w
bang           .b&N -w
banged       .b&Nd -w
banging      .b&NIN -w
