mergeout,doc,corpus,dir.path,child.age,age_check,type,,,,,,,,
Bates20,Bates/amy20,Bates,Bates/Free20,1;8.0,NA,merge_age,,,,,,,,
Bates20,Bates/betty20,Bates,Bates/Free20,1;8.0,NA,merge_age,,,,,,,,
Bates20,Bates/chuck20,Bates,Bates/Free20,1;8.0,NA,merge_age,,,,,,,,
Bates20,Bates/doug20,Bates,Bates/Free20,1;8.0,NA,merge_age,,,,,,,,
Bates20,Bates/ed20,Bates,Bates/Free20,1;8.0,NA,merge_age,,,,,,,,
Bates20,Bates/frank20,Bates,Bates/Free20,1;8.0,NA,merge_age,,,,,,,,
Bates20,Bates/hank20,Bates,Bates/Free20,1;8.0,NA,merge_age,,,,,,,,
Bates20,Bates/ivy20,Bates,Bates/Free20,1;8.0,NA,merge_age,,,,,,,,
Bates20,Bates/jane20,Bates,Bates/Free20,1;8.0,NA,merge_age,,,,,,,,
Bates20,Bates/jim20,Bates,Bates/Free20,1;8.0,NA,merge_age,,,,,,,,
Bates20,Bates/kathy20,Bates,Bates/Free20,1;8.0,NA,merge_age,,,,,,,,
Bates20,Bates/keith20,Bates,Bates/Free20,1;8.0,NA,merge_age,,,,,,,,
Bates20,Bates/kent20,Bates,Bates/Free20,1;8.0,NA,merge_age,,,,,,,,
Bates20,Bates/linda20,Bates,Bates/Free20,1;8.0,NA,merge_age,,,,,,,,
Bates20,Bates/mandy20,Bates,Bates/Free20,1;8.0,NA,merge_age,,,,,,,,
Bates20,Bates/nan20,Bates,Bates/Free20,1;8.0,NA,merge_age,,,,,,,,
Bates20,Bates/paula20,Bates,Bates/Free20,1;8.0,NA,merge_age,,,,,,,,
Bates20,Bates/pete20,Bates,Bates/Free20,1;8.0,NA,merge_age,,,,,,,,
Bates20,Bates/ruth20,Bates,Bates/Free20,1;8.0,NA,merge_age,,,,,,,,
Bates20,Bates/sue20,Bates,Bates/Free20,1;8.0,NA,merge_age,,,,,,,,
Bates20,Bates/tom20,Bates,Bates/Free20,1;8.0,NA,merge_age,,,,,,,,
Bates20,Bates/vicki20,Bates,Bates/Free20,1;8.0,NA,merge_age,,,,,,,,
