"language,""measure"",""form"",""age"",""all"""
"English,""produces"",""WS"",16,0.0575313807531381"
"English,""produces"",""WS"",17,0.043956043956044"
"English,""produces"",""WS"",18,0.085972850678733"
"English,""produces"",""WS"",19,0.11890243902439"
"English,""produces"",""WS"",20,0.12043795620438"
"English,""produces"",""WS"",21,0.118226600985222"
"English,""produces"",""WS"",22,0.257575757575758"
"English,""produces"",""WS"",23,0.294573643410853"
"English,""produces"",""WS"",24,0.387387387387387"
"English,""produces"",""WS"",25,0.391585760517799"
"English,""produces"",""WS"",26,0.511764705882353"
"English,""produces"",""WS"",27,0.569230769230769"
"English,""produces"",""WS"",28,0.569444444444444"
"English,""produces"",""WS"",29,0.639593908629442"
"English,""produces"",""WS"",30,0.738983050847458"
