"language","measure","form","age","go"
"English","understands","WG",8,0.123287671232877
"English","understands","WG",9,0.11214953271028
"English","understands","WG",10,0.211267605633803
"English","understands","WG",11,0.326530612244898
"English","understands","WG",12,0.386904761904762
"English","understands","WG",13,0.558475689881735
"English","understands","WG",14,0.703125
"English","understands","WG",15,0.74
"English","understands","WG",16,0.78
"English","understands","WG",17,0.82051282051282
"English","understands","WG",18,0.984848484848485
