"language","measure","form","age","in"
"English","understands","WG",8,0.0684931506849315
"English","understands","WG",9,0.0186915887850467
"English","understands","WG",10,0.0492957746478873
"English","understands","WG",11,0.214285714285714
"English","understands","WG",12,0.220238095238095
"English","understands","WG",13,0.382391590013141
"English","understands","WG",14,0.3671875
"English","understands","WG",15,0.45
"English","understands","WG",16,0.54
"English","understands","WG",17,0.564102564102564
"English","understands","WG",18,0.727272727272727
