"language,""measure"",""form"",""age"",""it"""
"English,""understands"",""WG"",8,0.0547945205479452"
"English,""understands"",""WG"",9,0.0373831775700935"
"English,""understands"",""WG"",10,0.028169014084507"
"English,""understands"",""WG"",11,0.0612244897959184"
"English,""understands"",""WG"",12,0.0595238095238095"
"English,""understands"",""WG"",13,0.0919842312746386"
"English,""understands"",""WG"",14,0.1796875"
"English,""understands"",""WG"",15,0.19"
"English,""understands"",""WG"",16,0.29"
"English,""understands"",""WG"",17,0.205128205128205"
"English,""understands"",""WG"",18,0.393939393939394"
