"language,""measure"",""form"",""age"",""see"""
"English,""understands"",""WG"",8,0.136986301369863"
"English,""understands"",""WG"",9,0.149532710280374"
"English,""understands"",""WG"",10,0.204225352112676"
"English,""understands"",""WG"",11,0.183673469387755"
"English,""understands"",""WG"",12,0.261904761904762"
"English,""understands"",""WG"",13,0.341655716162943"
"English,""understands"",""WG"",14,0.4765625"
"English,""understands"",""WG"",15,0.56"
"English,""understands"",""WG"",16,0.63"
"English,""understands"",""WG"",17,0.551282051282051"
"English,""understands"",""WG"",18,0.636363636363636"
