"language,""measure"",""form"",""age"",""your"""
"English,""understands"",""WG"",8,0.0547945205479452"
"English,""understands"",""WG"",9,0.0560747663551402"
"English,""understands"",""WG"",10,0.0352112676056338"
"English,""understands"",""WG"",11,0.0816326530612245"
"English,""understands"",""WG"",12,0.0952380952380952"
"English,""understands"",""WG"",13,0.155059132720105"
"English,""understands"",""WG"",14,0.1796875"
"English,""understands"",""WG"",15,0.18"
"English,""understands"",""WG"",16,0.26"
"English,""understands"",""WG"",17,0.294871794871795"
"English,""understands"",""WG"",18,0.424242424242424"
