prop	lexical_classes	Type
0.383632021624		airplane
0.12343031369		all
0.719929861855		all gone
0.230022086257		animal
0.141922309874		another
0.418958507125		apple
0.287996736773		arm
0.265336225634		asleep
0.237458674135		aunt
0.133886625692		away
0.530715176071		baa baa
0.647179171285		baby
0.0930385300825		babysitter
0.255093680363		babysitter's name
0.189491113151		back
0.246364370947		backyard
0.299057978569		bad
0.77258896858		ball
0.570265030498		balloon
0.606660712486		banana
0.789708732552		bath
0.446826132054		bathroom
0.59268395399		bathtub
0.0827447030471		beach
0.0923425287484		beads
0.38441891429		bear
0.507009159129		bed
0.345378683825		bedroom
0.195033411884		bee
0.419112422771		belly button
0.409335037752		bib
0.283751846111		bicycle
0.230367018579		big
0.532238196845		bird
0.502208690582		bite
0.529206554961		blanket
0.411257821812		block
0.385900360153		blow
0.0784053096836		blue
0.727829345903		book
0.148388003668		boots
0.725420152507		bottle
0.322773148671		bowl
0.272161909994		box
0.179545438091		boy
0.374666832923		bread
0.108818203132		break
0.483223961865		breakfast
0.444732998636		bring
0.145122861505		broken
0.276830887013		broom
0.259379803454		brother
0.475230462617		brush
0.39695545272		bubbles
0.216200969389		bug
0.19672460771		bump
0.421207759662		bunny
0.237189552339		bus
0.0973193746421		butter
0.184178136185		butterfly
0.281982547083		button
0.894466104951		bye
0.172339358637		cake
0.192877025351		candy
0.643786370273		car
0.418683891047		careful
0.276802815816		carrots
0.585347793962		cat
0.426441623797		cereal
0.451645115413		chair
0.177051552881		cheek
0.51918121344		cheerios
0.468303243759		cheese
0.251467800938		chicken (animal)
0.230237020733		chicken (food)
0.0750722843232		child
0.828034470588		child's own name
0.322779209358		choo choo
0.11177431663		church*
0.274320680244		clean (action)
0.223615576637		clean (description)
0.213935031366		clock
0.389543254648		close
0.291886556701		coat
0.222966665835		cockadoodledoo
0.131955876034		coffee
0.303861934251		cold
0.305877326194		comb
0.572628505376		cookie
0.332497642226		couch
0.386325633998		cow
0.577895231807		cracker
0.420038417865		crib
0.382893489864		cry
0.614840960983		cup
0.189585006041		cute
0.939893064027		daddy*
0.548365365399		dance
0.11028318709		dark
0.0890064404345		day
0.108430280236		deer
0.720236478507		diaper
0.408905287853		dinner
0.344007540971		dirty
0.189554517941		dish
0.741006024889		dog
0.409078210948		doll
0.578135209068		don't
0.096959596691		donkey
0.526266797666		door
0.489820471217		down
0.180885588032		draw
0.207862288469		drawer
0.176821673662		dress (object)
0.626740163471		drink (action)
0.540660104572		drink (beverage)
0.223501341343		drive
0.129453279826		dry (description)
0.481654103704		duck
0.460615275474		ear
0.650440963946		eat
0.225980295176		egg
0.227104458697		elephant
0.245466989823		empty
0.539465427194		eye
0.281920230364		face
0.295673698885		fall
0.109866007089		fast
0.21572047558		feed
0.0258523523961		fine
0.381935967623		finger
0.14947761722		finish
0.201825423029		firetruck
0.387721111477		fish (animal)
0.168000415345		fish (food)
0.382468213512		flower
0.360669237709		food
0.529887616179		foot
0.278350880108		fork
0.234701547763		frog
0.145103141286		garage
0.08926204542		garden
0.338747786652		gentle
0.46195031953		get
0.131442141723		giraffe
0.170128571332		girl
0.542107032217		give
0.21701527294		glass
0.344108065452		glasses
0.528156708108		go
0.439297354341		good
0.114048985062		goose
0.633500021953		grandma*
0.513859120748		grandpa*
0.461863618334		grrr
0.524495219345		hair
0.137850358923		hammer
0.453321114384		hand
0.251806632842		happy
0.0689364774259		hard
0.473733149654		hat
0.3626405333		head
0.520492604937		hello
0.232448443708		help
0.0832324221303		her
0.757684801901		hi
0.494762045966		high chair
0.077285095861		his
0.329008081432		hit
0.389412903184		home
0.338341505206		horse
0.49296561406		hot
0.269932501084		house
0.0608122251922		how
0.610516335652		hug
0.427887399473		hungry
0.13360076135		hurry
0.215114315151		hurt
0.130637878881		i
0.283873079195		ice cream
0.334829732727		in
0.248358968452		inside
0.142213651787		it
0.263068457683		jacket
0.0770154745939		jeans
0.630475637312		juice
