lexical_classes	words	prop	age
nouns	airplane	0.0547945205479	8
nouns	airplane	0.0560747663551	9
nouns	airplane	0.0774647887324	10
nouns	airplane	0.19387755102	11
nouns	airplane	0.232142857143	12
nouns	airplane	0.367936925099	13
nouns	airplane	0.4140625	14
nouns	airplane	0.54	15
nouns	airplane	0.685871056241	16
nouns	airplane	0.825	17
nouns	airplane	0.772727272727	18
function_words	all	0.041095890411	8
function_words	all	0.018691588785	9
function_words	all	0.0211267605634	10
function_words	all	0.0714285714286	11
function_words	all	0.0416666666667	12
function_words	all	0.0906701708279	13
function_words	all	0.1328125	14
function_words	all	0.18	15
function_words	all	0.271604938272	16
function_words	all	0.125	17
function_words	all	0.363636363636	18
adjectives	all gone	0.342465753425	8
adjectives	all gone	0.411214953271	9
adjectives	all gone	0.605633802817	10
adjectives	all gone	0.612244897959	11
adjectives	all gone	0.690476190476	12
adjectives	all gone	0.749014454665	13
adjectives	all gone	0.8359375	14
adjectives	all gone	0.9	15
adjectives	all gone	0.917695473251	16
adjectives	all gone	0.9	17
adjectives	all gone	0.954545454545	18
nouns	animal	0.041095890411	8
nouns	animal	0.018691588785	9
nouns	animal	0.056338028169	10
nouns	animal	0.112244897959	11
nouns	animal	0.10119047619	12
nouns	animal	0.15505913272	13
nouns	animal	0.2734375	14
nouns	animal	0.32	15
nouns	animal	0.421124828532	16
nouns	animal	0.425	17
nouns	animal	0.606060606061	18
function_words	another	0.027397260274	8
function_words	another	0.018691588785	9
function_words	another	0.0281690140845	10
function_words	another	0.0714285714286	11
function_words	another	0.0595238095238	12
function_words	another	0.107752956636	13
function_words	another	0.171875	14
function_words	another	0.18	15
function_words	another	0.285322359396	16
function_words	another	0.2625	17
function_words	another	0.348484848485	18
nouns	apple	0.123287671233	8
nouns	apple	0.121495327103	9
nouns	apple	0.12676056338	10
nouns	apple	0.234693877551	11
nouns	apple	0.166666666667	12
nouns	apple	0.371879106439	13
nouns	apple	0.578125	14
nouns	apple	0.59	15
nouns	apple	0.722908093278	16
nouns	apple	0.8	17
nouns	apple	0.772727272727	18
nouns	arm	0.0547945205479	8
nouns	arm	0.0373831775701	9
nouns	arm	0.105633802817	10
nouns	arm	0.0918367346939	11
nouns	arm	0.113095238095	12
nouns	arm	0.22864651774	13
nouns	arm	0.3359375	14
nouns	arm	0.42	15
nouns	arm	0.56927297668	16
nouns	arm	0.575	17
nouns	arm	0.636363636364	18
adjectives	asleep	0.0958904109589	8
adjectives	asleep	0.0560747663551	9
adjectives	asleep	0.119718309859	10
adjectives	asleep	0.0918367346939	11
adjectives	asleep	0.125	12
adjectives	asleep	0.214191852825	13
adjectives	asleep	0.3125	14
adjectives	asleep	0.33	15
adjectives	asleep	0.474622770919	16
adjectives	asleep	0.4625	17
adjectives	asleep	0.636363636364	18
other	aunt	0.178082191781	8
other	aunt	0.0841121495327	9
other	aunt	0.197183098592	10
other	aunt	0.224489795918	11
