lexical_classes	Type	prop	age
nouns	airplane	0.0547945205479	8
function_words	all	0.041095890411	8
adjectives	all gone	0.342465753425	8
nouns	animal	0.041095890411	8
function_words	another	0.027397260274	8
nouns	apple	0.123287671233	8
nouns	arm	0.0547945205479	8
adjectives	asleep	0.0958904109589	8
other	aunt	0.178082191781	8
function_words	away	0.0547945205479	8
other	baa baa	0.315068493151	8
other	baby	0.287671232877	8
other	babysitter	0.013698630137	8
other	babysitter's name	0.109589041096	8
function_words	back	0.041095890411	8
adjectives	bad	0.109589041096	8
nouns	ball	0.342465753425	8
nouns	balloon	0.164383561644	8
nouns	banana	0.150684931507	8
other	bath	0.479452054795	8
nouns	bathroom	0.13698630137	8
nouns	bathtub	0.260273972603	8
nouns	beach	0.027397260274	8
nouns	beads	0.027397260274	8
nouns	bear	0.0684931506849	8
nouns	bed	0.205479452055	8
nouns	bedroom	0.0684931506849	8
nouns	bee	0.013698630137	8
nouns	belly button	0.0547945205479	8
nouns	bib	0.164383561644	8
nouns	bicycle	0.041095890411	8
adjectives	big	0.041095890411	8
nouns	bird	0.164383561644	8
verbs	bite	0.123287671233	8
nouns	blanket	0.246575342466	8
nouns	block	0.0958904109589	8
verbs	blow	0.0547945205479	8
adjectives	blue	0.0	8
nouns	book	0.301369863014	8
nouns	boots	0.0	8
nouns	bottle	0.547945205479	8
nouns	bowl	0.041095890411	8
nouns	box	0.041095890411	8
other	boy	0.0547945205479	8
nouns	bread	0.0547945205479	8
verbs	break	0.0	8
other	breakfast	0.246575342466	8
verbs	bring	0.041095890411	8
adjectives	broken	0.0	8
nouns	broom	0.041095890411	8
other	brother	0.27397260274	8
nouns	brush	0.0958904109589	8
nouns	bubbles	0.0684931506849	8
nouns	bug	0.0684931506849	8
verbs	bump	0.0547945205479	8
nouns	bunny	0.13698630137	8
nouns	bus	0.0547945205479	8
nouns	butter	0.0	8
nouns	butterfly	0.0	8
nouns	button	0.0684931506849	8
other	bye	0.616438356164	8
nouns	cake	0.0684931506849	8
nouns	candy	0.0547945205479	8
nouns	car	0.27397260274	8
adjectives	careful	0.0821917808219	8
nouns	carrots	0.0821917808219	8
nouns	cat	0.260273972603	8
nouns	cereal	0.13698630137	8
nouns	chair	0.123287671233	8
nouns	cheek	0.027397260274	8
nouns	cheerios	0.191780821918	8
nouns	cheese	0.0547945205479	8
nouns	chicken (animal)	0.041095890411	8
nouns	chicken (food)	0.109589041096	8
other	child	0.0	8
other	child's own name	0.671232876712	8
other	choo choo	0.0958904109589	8
nouns	church	0.027397260274	8
verbs	clean (action)	0.041095890411	8
adjectives	clean (description)	0.0547945205479	8
nouns	clock	0.041095890411	8
verbs	close	0.041095890411	8
nouns	coat	0.0547945205479	8
other	cockadoodledoo	0.0547945205479	8
nouns	coffee	0.027397260274	8
adjectives	cold	0.0821917808219	8
nouns	comb	0.0547945205479	8
nouns	cookie	0.178082191781	8
nouns	couch	0.0821917808219	8
nouns	cow	0.0821917808219	8
nouns	cracker	0.246575342466	8
nouns	crib	0.219178082192	8
verbs	cry	0.123287671233	8
nouns	cup	0.150684931507	8
adjectives	cute	0.0958904109589	8
other	daddy	0.86301369863	8
verbs	dance	0.164383561644	8
adjectives	dark	0.041095890411	8
other	day	0.013698630137	8
nouns	deer	0.013698630137	8
nouns	diaper	0.342465753425	8
