	(u'aa',)	(u'ae',)	(u'ah',)	(u'ao',)	(u'aw',)	(u'ax',)	(u'ay',)	(u'b',)	(u'ch',)	(u'd',)	(u'dh',)	(u'eh',)	(u'er',)	(u'ey',)	(u'f',)	(u'g',)	(u'hh',)	(u'ih',)	(u'iy',)	(u'jh',)	(u'k',)	(u'l',)	(u'm',)	(u'n',)	(u'ng',)	(u'ow',)	(u'p',)	(u'r',)	(u's',)	(u'sh',)	(u't',)	(u'th',)	(u'uh',)	(u'uw',)	(u'v',)	(u'w',)	(u'y',)	(u'z',)
(u'aa',)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0.0	0.0	0	0	0.0	0	0	0	0	0	0	0
(u'ae',)	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0.0	0.0	0	0	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0.0	0.0	0.0	0	0	0.0	0	0	0
(u'ah',)	0	0	0	0	0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0.0	0	0.0	0	0.0	0	0	0	0.0	0	0	0
(u'ao',)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0.0	0	0	0	0	0	0.0	0.0	0	0.0	0	0	0	0	0	0	0
(u'aw',)	0.0	0	0	0	0	0.0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0
(u'ax',)	0	0	0	0	0	0	0	0.00566346153846	0.044175	0.014725	0	0	0	0	0.014725	0.0269958333333	0.1104375	0	0.00490833333333	0	0.02945	0.0319041666667	0.0105178571429	0.00490833333333	0.0	0	0.0343583333333	0.0	0.00420714285714	0.0	0.014725	0	0	0	0.0073625	0.0215211538462	0	0.0
(u'ay',)	0	0	0	0.02945	0	0	0	0	0.08835	0.0196333333333	0.161975	0	0	0	0	0.32395	0	0	0	0	0.0420714285714	0.127616666667	0.2945	0.0392666666667	0	0	0.0687166666667	0.0	0.1767	0	0.03534	0.0	0	0	0	0	0	0
(u'b',)	0	0.0	0	0	0.0	0.0	0.0	0	0	0	0	0.0	0	0.0	0	0	0	0.0	0.0	0	0	0.0	0	0	0	0.0	0	0.0	0	0	0	0	0	0	0	0	0	0
(u'ch',)	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0.02576875	0	0	0	0	0	0	0	0	0	0	0	0	0.26505	0	0	0	0	0.839325	0	0
(u'd',)	0.3534	1	0.44175	0	0.0220875	0.1767	0.3534	0	0.5301	0.7068	0.38874	0	0.0	0	0	0.32395	0	0.309225	0.02945	0	0	1	0	0	0	0.3534	0.309225	0.0	0.5301	0	1	0	0	0.0	0	1	0.9424	0.0
(u'dh',)	0	0.0	0	0	0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0.0	0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0
(u'eh',)	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0.0	0.0	0	0.0	0	0	0	0	0	0	0
(u'er',)	0	1	0	0	0	0	0	0.957125	0	0	1	0	0	0.04785625	0	0	0	1	0	0	0	0.311065625	0	0.191425	0	0	0.6699875	0	0.574275	0	0	0	0	0	0	1	0	0.0
(u'ey',)	0.161975	0	0	0.161975	0	0	0	0.269958333333	0	0.161975	0	0	0	0	0.0359944444444	0	1	0	0	0	0.134979166667	0.52641875	1	0	0	0	0	0	0.485925	0	0.19437	0	0	0	0	0	1	0
(u'f',)	0	0	0	0.002945	0.014725	0.0073625	0.1178	0	0	0	0	0	0.0	0	0	0	0	0.020615	0.0073625	0	0	0.0957125	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.279775	0.2356	0
(u'g',)	0.00245416666667	0.0490833333333	0	0	0	0	0	0	0	0.0589	0	0.0	0.0	0	0	0.0539916666667	0	0.02576875	0	0	0	0	0	0	0	0.02576875	0	0	0	0	0	0	0.0	0	0	0	0	0.0
(u'hh',)	0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0
(u'ih',)	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0.0	0.0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0	0	0	0.0	0	0	0.0
(u'iy',)	0.38285	1	1	0	0	0.04785625	0	0	0	0.191425	0.701891666667	0	0	0	0.127616666667	0.701891666667	0.957125	1	0	0	0.212694444444	0.497705	0.957125	0.255233333333	0	0.20615	0.446658333333	0	1	0	0.114855	0	0	0	0	1	1	0.0
(u'jh',)	0	0	0.0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(u'k',)	0	0.0906153846154	0.168285714286	0	0	0.01178	0.9424	0	0	0	0.6479	0.0	0.0	0.0107090909091	0.2356	0	0	0.103075	0.1178	0	0	0.30628	0	0	0	0	0.8246	0.0	0.1178	0	0.7068	0	0	0.0	0	1	0.37696	0
(u'l',)	0.32395	1	0.231392857143	0.161975	0	0.014725	0.185114285714	0.269958333333	0	0.0809875	0	0.0	0	0.161975	0.32395	0.8908625	0	0.28345625	0.0134979166667	0	0	0	0	0	0	0.377941666667	1	0.0	0.485925	0	0	0	0.0	0.0	0	0	1	0.0
(u'm',)	0.0210357142857	0.490833333333	1	0.0368125	0.14725	0.14725	0.392666666667	0.245416666667	0.220875	0	1	0	0.0	0.073625	0	1	1	0.343583333333	0.00775	0	1	0	0.73625	0	0	0	0	0	0	0	0.8835	0	0	0	0	1	1	0.0
(u'n',)	0.191425	0	1	0	0	0.014725	0.7657	0.957125	0.191425	0.0264034482759	0.233963888889	0	0	0.04785625	0	0.701891666667	0.574275	0.148886111111	0.0638083333333	0.191425	0	1	0.38285	0	0	0.148886111111	1	0.0	0.38285	0	0.104413636364	0	0	0	0	1	0.437542857143	0
(u'ng',)	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0.0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0
(u'ow',)	0	0	0	0	0	0	0	0.589	0	0	0	0	0	0	0.0785333333333	1	1	0	0	0	0.107090909091	0.15314	0	0.0589	0	0	0.8246	0	0.0589	0	0	0	0	0	0.1178	0.746066666667	0.4712	0.0
(u'p',)	0	0	0	0	0	0	0	0	0	0	1	0	0.0	0	0	0	0	0.48960625	0.06994375	0	0	0.519582142857	0	0	0	0	0	0.0	0.239807142857	0	0	0	0.0	0.0	0	0	1	0
(u'r',)	0.0809875	0.4049375	1	0.32395	0.32395	0.161975	0.51832	1	0	0.6479	1	0.0	0.0	0	0.32395	1	1	0.133391176471	0.020246875	0.32395	1	1	1	0.12958	0	0	0.755883333333	0	0	0	1	0	0	0.0	0.107983333333	1	0.863866666667	0.0
(u's',)	0.220875	0	0	0	0	0.0138046875	1	1	0.662625	0.44175	0.809875	0	0	0.1104375	0.14725	0.809875	1	0.140556818182	0.044175	0.220875	0.368125	1	1	0	0	1	1	0	0.662625	0	0.1104375	0	0	0.0	0	1	1	0
(u'sh',)	0	0	0	0	0	0	0	0	0	0	0.161975	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0
(u't',)	0.4123	1	0.687166666667	0.20615	0.103075	0.01085	0	0.515375	0.61845	0.16492	0.377941666667	0.0	0.0	0.0187409090909	0.4123	1	1	0.28861	0.0687166666667	0	1	0.893316666667	0.687166666667	0.4123	0	0	0.481016666667	0.0	0.061845	0	1	0	0	0.0	0.20615	0.78337	0.4712	0
(u'th',)	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0
