Freq	Type
713	you
430	oh
370	okay
294	yeah
244	no
199	here
194	huh
177	i
164	yes
159	brooklyn
150	baby
120	what
119	look
113	wanna
109	doing
109	alright
105	good
104	go
99	ball
96	see
95	it
93	gonna
93	that
89	hello
85	dillon
75	sweetheart
71	going
70	it's
70	the
70	a
66	very
65	out
63	chicken
62	one
62	kitty
61	we
61	be
60	alexander
58	mama
57	water
57	hey
56	little
56	hi
56	up
55	now
53	there
53	icy
49	uhoh
48	gotta
46	this
45	and
44	mkay
42	on
39	ready
37	me
37	more
37	leg
36	boy
36	other
35	whoa
35	sleepy
35	boneen
34	stop
34	gimme
33	off
32	way
32	don't
31	juice
31	do
31	down
30	back
29	is
29	again
28	too
27	silly
27	that's
26	sweetie
26	right
26	icky
25	peg
25	lemme
25	doggie
25	boo
24	playing
24	foot
24	dinner
23	yummy
23	maybe
23	head
23	boom
22	watch
22	something
22	lee
22	let's
22	cake
22	cupcake
22	getting
22	did
21	really
21	over
21	chair
20	tree
20	mister
20	mouth
20	looking
20	lettuce
20	careful
20	him
20	floor
19	yep
19	stick
19	patty
19	moomooshas
19	door
19	daddy
18	pie
18	nose
18	cow
18	coming
18	come
18	any
18	bird
18	bunny
17	tired
17	squirrelie
17	rocks
17	poopie
17	around
17	chips
17	better
17	outside
16	well
16	moo
16	hand
16	drum
16	diaper
16	book
16	bean
15	walk
15	want
15	tasty
15	today
15	stroller
15	he's
15	hair
15	booboo
15	bit
15	away
14	second
14	play
14	mommy
14	can
14	hands
14	for
14	them
13	squirrel
13	say
13	hot
13	dirty
13	booboon
13	bottle
12	shirt
12	noodles
12	minute
12	kiss
12	honey
12	hungry
12	though
12	booty
12	birds
12	baa
12	another
12	all
11	yourself
11	whoopsie
11	where
11	thing
11	stuff
11	piggy
11	microphone
11	later
11	i'm
11	orange
10	oops
10	truck
10	toes
10	spoon
10	sleep
10	pretty
10	mean
10	mad
10	crazy
10	glass
10	gone
10	phone
10	fish
10	funny
10	day
10	ducks
10	arm
9	your
9	ya
9	uhhuh
9	triangle
9	three
9	towel
9	tough
9	spider
9	so
9	shoe
9	open
9	name
9	nice
9	leaf
9	love
9	eat
9	done
9	dada
9	cheese
9	chip
9	bo
9	ouch
9	andy
8	yaya
8	whoops
8	white
8	wide
8	what's
8	vacuum
8	trees
8	think
8	thirsty
8	room
8	pee
8	part
8	nope
8	knee
8	meow
8	man
8	leaves
8	crying
8	eating
8	ear
8	house
8	hat
8	happy
8	give
8	game
8	food
8	face
8	these
8	doggies
8	bowl
8	bingo
8	big
8	our
7	yum
7	yucky
7	wet
7	why
7	toe
7	squirrels
7	side
7	raggedy
7	pool
7	lunch
7	closer
7	kinda
7	carrot
7	in
7	got
7	frilly
7	fussing
7	there's
7	babe
7	inside
6	yuck
6	yard
6	will
6	walking
6	try
6	toilet
6	table
6	tonight
6	stew
6	spaghetti
6	school
6	self
6	somewhere
6	rabbit
6	pull
6	please
6	peepee
6	people
6	peekaboo
6	only
6	music
6	move
6	milk
6	making
6	let
6	jumping
6	jar
6	heat
6	happened
6	ground
6	grass
6	goes
6	fall
6	dry
6	different
6	change
6	beautiful
6	blanket
6	bib
6	bite
6	bout
6	bouncing
6	owl
6	after
5	wait
5	teeth
5	spitting
5	shoes
5	shaking
5	said
5	some
5	sun
5	soccer
5	reach
5	remember
5	plant
5	peas
5	piece
5	peep
5	paper
5	pants
5	park
5	pond
5	oink
5	neigh
5	not
5	my
5	lord
5	cookies
5	cakes
5	corner
5	comes
5	cough
5	escape
5	hoot
5	he
5	her
5	glasses
5	favor
5	forward
5	fast
5	farmer
5	else
5	l
5	drenched
5	drums
5	dairy
5	does
5	w
5	because
5	babies
5	banana
5	bounce
5	backyard
5	bad
5	under
4	zipper
4	yet
4	window
4	wow
4	wall
4	wonder
4	twenty
4	tray
4	throwing
4	things
4	turning
4	time
4	top
4	soon
4	stinky
4	spot
4	scratching
4	sheep
4	sand
4	sock
4	soft
4	rooster
4	reading
4	rest
4	peaches
4	pillow
4	picture
4	piggies
4	purple
4	patio
4	never
4	light
4	like
4	quack
4	crawl
4	cold
4	close
4	clap
4	cup
4	coffee
4	even
4	holy
4	holdup
4	help
4	handsome
4	goldfish
4	girl
4	guitar
4	god
4	flowers
4	feet
4	fine
4	fun
4	following
4	everybody
4	air
4	end
4	empty
4	dressed
4	dog
4	duckie
4	duck
4	chickie
4	broth
