	(u'aa',)	(u'ae',)	(u'ah',)	(u'ao',)	(u'aw',)	(u'ax',)	(u'ay',)	(u'b',)	(u'ch',)	(u'd',)	(u'dh',)	(u'eh',)	(u'er',)	(u'ey',)	(u'f',)	(u'g',)	(u'hh',)	(u'ih',)	(u'iy',)	(u'k',)	(u'l',)	(u'm',)	(u'n',)	(u'ng',)	(u'ow',)	(u'oy',)	(u'p',)	(u'r',)	(u's',)	(u'sh',)	(u't',)	(u'th',)	(u'uh',)	(u'uw',)	(u'v',)	(u'w',)	(u'y',)	(u'z',)
(u'aa',)	0	0	0	0	0	0	0	0	0.0465	0.081375	0	0	0	0	0	0	0	0	0	0	0.279	0.00871875	0.00155	0	0	0	0.093	0.0	0	0	0.011625	0	0	0	0	0	0	0
(u'ae',)	0	0	0	0	0	0	0	0	0	0.0406875	0	0	0	0	0	0	0	0	0	0.1395	0	0	0.00489473684211	0.0	0	0	0	0	0.248	0	0.0126818181818	0	0	0	0.0	0	0	0
(u'ah',)	0	0	0	0	0	0	0	0	0	0	0.02034375	0	0	0	0.0	0.034875	0	0	0	0	0	0.00249107142857	0.0058125	0	0	0	0.0155	0	0	0.0	0.00871875	0	0	0	0.0	0	0	0.0
(u'ao',)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0.0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0
(u'aw',)	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0
(u'ax',)	0	0	0.0	0	0	0	0	0.0	0	0.0	0.0	0	0	0	0	0.0	0	0	0	0.0	0.0	0.0	0.0	0.0	0	0	0.0	0	0.0	0	0.0	0	0	0	0	0.0	0	0.0
(u'ay',)	0	0	0	0	0	0	0	0	0	0.0406875	0	0.0	0	0	0	0	0	0	0	0.06975	0.1395	0.034875	0	0	0	0	0	0	0.093	0	0	0.127875	0	0	0	0.290625	0	0
(u'b',)	0.0	0.0	0	0.0	0.0	0	0.0	0	0	0	0	0	0	0.0	0	0	0	0	0.0	0	0.0	0	0	0	0	0.0	0	0.0	0	0	0	0	0	0.0	0	0	0.0	0
(u'ch',)	0	0	0.0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0
(u'd',)	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0	0.0	0.0	0	0	0	0	0.0	0	0.0	0.0	0.0	0	0	0.0	0	0.0	0	0.0	0	0	0	0	0	0	0.0	0	0	0.0	0
(u'dh',)	0	0.0	0	0	0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(u'eh',)	0	0	0	0	0	0	0	0.0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0.0	0.0	0	0.0	0	0	0	0.0	0	0	0.0
(u'er',)	0	0	0	0	0	0	0	0.6800625	0	0	0.3661875	0	0	0	0	0	1	0	0.0	0	1	0	0	0	0	0	0	0	0	0	0.313875	0	0	0	0	0	0	0.0
(u'ey',)	0	0	0	0.0	0	0	0	0.2015	0	0	0	0	0	0	0	0.279	0	0.651	0	0.2232	0	0.279	0.186	0	0.558	0	0.372	0	0.744	0.0	0.1395	0	0	0	0	0.58125	0	0
(u'f',)	0	0	0	0.0	0	0.011625	0	0	0	0	0	0	0	0	0	0	0	0.016275	0	0	0	0	0	0	0	0	0	0	0	0	0.034875	0	0	0	0	0	0	0
(u'g',)	0.0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0.0	0	0	0	0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0	0	0	0.0
(u'hh',)	0	0.0	0.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(u'ih',)	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0	0	0	0.0	0.0	0	0.0	0	0	0	0	0	0	0.0
(u'iy',)	0.4940625	1	0	0	0	0	0	0	0.197625	1	0.6916875	0	0	0	0	1	1	1	0	0	0.7905	0	0	0	0	0	0.7905	0	0.7905	0	0.14821875	1	0	0	0.0	1	1	0.0
(u'k',)	0.104625	0.62775	0.00871875	0	0	0.0174375	0	0	0	0	0.732375	0.0	0	0	0	0	0	0.146475	0.0	0	0	0	0	0	0.62775	0	0.837	0	0	0	0	0	0.0	0.732375	0	0	0.2511	0
(u'l',)	0	0.662625	0	0.0	0	0.220875	0.8835	0	0	0.7730625	0	0.0	0	0.0	0.0	1	0.8835	0.309225	0.0	0	1	0	0	0	1	0	1	0	0	0	0	0	0.0	0	0	1	0	0
(u'm',)	0.0322916666667	0	0	0.0	0	0.02325	0	0.50375	0.2325	0	0	0	0	0	0	0.6975	1	0.81375	0.0	1	0	0.174375	0	0	0.6975	0	0.465	0.0	1	0	0.0871875	1	0	0	0	0	0	0
(u'n',)	0	0.20925	0	0	0	0.00820588235294	0.558	0	0	0.06103125	0.3255	0	0	0	0	0	1	0.48825	0.0	0.837	0	0	0	0	0.119571428571	0	0.372	0	0.4464	0	0.0321923076923	0	0	0	0	1	0.4185	0
(u'ng',)	0	0	0	0	0.0	0	0	0.151125	0	0	0.02034375	0.0	0	0	0	0.06975	0	0.0406875	0	0.0155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.279	0.0
(u'ow',)	0	0	0	0	0	0.0871875	0	0	0	0.174375	1	0	0	0	0	1	0	0	0	0	1	0.523125	0.04359375	0	0	0	0.34875	0	1	0	0.2615625	0	0	0	0.0	1	1	0
(u'oy',)	0	0	0	0	0	0	0	0	0.00775	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(u'p',)	0	0	0.00775	0	0	0.0465	0.093	0	0	0	0	0	0.0	0.0	0	0	0	0.3255	0	0.279	0.0797142857143	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0
(u'r',)	0.213125	0	0.0182678571429	0	0	0	0	0.13853125	0.25575	0.4475625	0.4475625	0.0	0	0	0.0	0.25575	0	0.22378125	0.0	0.219214285714	0	0	0	0	0.25575	0	0	0	0	0	0.047953125	0	0	0	0	0	0.3069	0.0
(u's',)	0	0.06975	0	0	0	0.000894230769231	0	0	0	0.027125	0	0.0	0.0	0.0	0	0.034875	0	0.081375	0.0	0.0465	0	0.0174375	0.02325	0	0	0	0.0465	0.0	0	0	0.002325	0	0	0	0	0.1453125	0	0
(u'sh',)	0	0	0	0	0	0	0	0.30225	0	0	0	0	0	0.0	0	0.279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(u't',)	0.4359375	0	0.0498214285714	0.0	0	0.0205147058824	0	1	0	0.406875	0.27125	0.0	0.0	0.0	0	1	0	0.221931818182	0	0	0	0.2615625	0.6975	0	1	0.0	0	0	0.242608695652	0	0	0	0	0.48825	0	1	0.837	0
(u'th',)	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0
(u'uh',)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0
(u'uw',)	1	0	0.1104375	0	0	0	0	1	0	0.7730625	0.38653125	0	0	0	0	0.189321428571	1	1	0.0	0	1	0.082828125	0	0	0.189321428571	0	0.589	0.0	1	0	0.662625	1	0	0	0	0.5521875	1	0.0
(u'v',)	0	0	0	0	0	0	0	0	0	0	0.0	0	0.0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0
(u'w',)	0.0	0	0.0	0	0	0	0.0	0	0	0	0	0.0	0	0.0	0	0	0	0.0	0.0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0
(u'y',)	0.0	0.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0
(u'z',)	0	0.3661875	0	0	0	0.1220625	0	0.453375	0	0.8544375	0.569625	0	0	0	0	0	0	0.42721875	0	0	0	0.732375	0.48825	0	0	0	0	0	0.7812	0	0	0	0	0	0	0	0.9765	0
