Freq	Type
1586	you
833	a
790	the
754	it
619	oh
525	that
476	your
466	what
438	in
427	and
416	there
383	no
381	that's
370	see
362	yeah
359	go
341	is
329	are
326	to
318	here
317	on
316	huh
315	do
308	one
308	this
303	i
299	up
291	put
278	we
251	get
244	got
204	say
199	out
194	it's
192	can
175	all
169	wanna
169	down
167	ew
161	mommy
159	hi
157	where
153	too
153	there's
149	whoa
149	look
146	want
139	where's
139	book
137	at
135	good
133	some
131	yes
130	jump
128	mom
128	did
127	now
122	them
117	okay
116	be
112	come
112	just
111	me
110	lit
110	for
108	let's
108	back
105	they
105	ball
104	uhoh
103	ease
99	oops
98	those
95	right
92	have
90	you'd
90	think
90	other
86	doggie
85	march
84	what's
82	big
81	more
81	off
77	ready
76	water
75	tabitha
75	who
74	play
74	eat
73	l
72	she
72	d
71	well
71	but
68	head
68	don't
66	way
66	over
66	not
65	mommy's
65	how
64	tim
64	three
64	sit
64	nose
64	like
62	my
61	her
61	these
60	who's
59	read
58	shoes
57	you'll
57	can't
57	if
56	so
56	side
56	blocks
54	goes
53	k
53	does
53	i'm
53	or
52	he
52	his
52	hey
52	gotta
51	man
51	lay
51	dog
50	throw
50	s
49	of
48	push
48	pee
48	careful
47	was
46	open
46	own
46	hold
46	boy
46	ann
45	t
45	outside
44	knee
44	gonna
43	yuck
43	make
43	here's
43	him
42	wait
42	shake
41	whoops
41	wind
40	walk
40	close
40	bay
39	tick
39	thing
39	says
39	boo
38	dirt
38	boom
38	bout
37	ya
37	time
37	knees
37	let
37	eyes
36	we'll
36	try
36	toes
36	take
35	with
35	find
35	i'll
34	girl
34	byebye
33	went
33	juice
33	n
33	i'd
32	sweet
32	please
32	happy
31	looks
31	hair
31	feet
31	chair
31	better
30	still
30	little
30	kit
30	eight
29	stick
29	sure
29	lee
29	door
29	bear
29	again
28	fall
28	then
28	bees
28	bang
28	ah
27	stuff
27	key
27	end
27	block
26	tail
26	pull
26	nice
26	much
26	legs
26	hands
26	hand
26	give
26	doesn't
26	blow
26	bottle
26	arm
25	watch
25	peep
25	piggy
25	hurt
25	fell
25	brush
24	why
24	could
24	heavy
24	ark
23	roll
23	kiss
23	from
23	air
23	bird
22	wow
22	socks
22	missed
22	found
22	daddy's
21	york
21	stairs
21	rat
21	pat
21	old
21	keep
21	came
21	home
21	giddyup
21	else
21	day
21	dye
21	by
20	use
20	need
20	move
20	cook
20	though
20	chew
19	will
19	were
19	cat
19	hat
19	gone
19	ale
19	upstairs
18	wave
18	when
18	turn
18	snack
18	purr
18	night
18	cards
18	help
18	had
17	toy
17	noise
17	cow
17	isn't
17	ears
17	“i'll
17	he's
17	hard
17	phone
17	books
17	bit
16	work
16	silly
16	mouth
16	leg
16	five
16	aim
15	yourself
15	we'd
15	should
15	rye
15	pooh
15	pretty
15	pick
15	pup
15	cute
15	fishie
15	fingers
15	fun
15	bat
15	box
15	am
14	would
14	taste
14	snow
14	sore
14	real
14	nope
14	meow
14	mail
14	may
14	might
14	leaf
14	cake
14	eve
14	goat
14	froggie
14	fly
14	face
14	downstairs
14	bonk
14	almost
13	zip
13	yep
13	which
13	toe
13	sees
13	six
13	sheep
13	sun
13	plane
13	pay
13	clap
13	hello
13	didn't
13	done
13	baby
13	bet
12	through
12	stay
12	shoe
12	show
12	piece
12	name
12	mitt
12	made
12	lamb
12	closed
12	called
12	comes
12	cats
12	job
12	hide
12	has
12	hug
12	gets
12	guess
12	foot
12	fish
12	dance
12	check
12	away
11	yucky
11	took
11	toys
11	things
11	tape
11	ten
11	tell
11	rest
11	pig
11	pears
11	knick
11	knack
11	mouse
11	“i'm
11	heard
11	goodness
11	fit
11	first
11	fine
11	any
11	dear
11	dump
11	da
11	change
11	bert
11	belly
11	balloon
11	bag
11	alright
10	yell
10	wheat
10	wash
10	twist
10	tabitha's
10	soon
10	stuck
10	spy
10	row
10	ring
10	rub
10	peekaboo
10	pumpkin
10	new
10	miss
10	left
10	ink
10	gram
10	gimme
10	far
10	doll
10	blank
10	bus
10	bah”
10	aren't
10	aunt
10	op
9	yet
9	won't
9	toot
9	talk
9	sticky
9	stir
9	seem
9	rinse
9	played
9	pear
