Freq	Type
2351	you
823	the
741	that
638	here
611	it
589	and
511	your
472	what
452	there
439	go
395	don't
392	see
388	get
384	are
384	on
376	this
368	mommy
368	come
363	yeah
363	one
363	oh
360	okay
343	no
324	to
321	a
319	can
307	i
305	is
295	put
276	that's
269	in
251	baby
248	good
245	all
238	we
238	have
232	up
229	do
228	look
226	let's
223	of
222	with
221	some
216	it's
212	say
207	wanna
203	too
198	right
198	alex
195	now
191	huh
185	gonna
185	for
184	out
181	want
175	not
163	like
161	down
157	just
154	play
148	did
144	be
139	me
133	little
129	bunny
128	back
125	gotta
123	was
123	got
121	there's
118	more
117	well
108	book
108	boy
107	them
103	try
102	i'm
101	think
99	thank
98	read
96	thing
95	paul
94	his
92	whoa
92	so
89	ready
89	juice
89	he
88	big
86	but
84	over
83	what's
83	eat
83	how
82	where
80	i'll
79	lemme
79	allen
78	take
78	cookie
77	then
76	sit
74	turn
73	stop
72	we'll
72	hold
72	hi
71	pooh
71	can't
68	uhoh
68	my
67	doing
66	why
64	three
64	nose
64	ball
63	will
62	beep
61	way
61	judy
61	boo
60	they
58	yes
57	open
57	again
57	about
56	time
55	where's
55	throw
55	pat
55	other
54	let
53	smell
52	nice
52	those
52	at
51	yum
51	does
50	end
49	she
49	number
49	give
49	flower
48	any
48	bear
48	off
47	change
46	yummy
46	very
46	hand
45	mess
45	jump
45	her
44	water
44	through
44	him
44	dad
43	would
43	tears
43	moo
43	fall
43	dog
41	minute
41	house
41	has
40	six
40	make
40	diapie
39	car
39	god
38	says
38	from
38	didn't
37	these
37	banana
36	sing
36	if
36	help
36	food
36	box
35	hot
35	five
35	done
35	cheese
34	need
34	honey
34	find
33	tell
33	circle
33	better
32	please
32	loves
32	chair
31	won't
31	wait
31	shoe
31	really
31	money
31	man
31	mama
31	girl
31	feel
30	square
30	sorry
30	could
30	careful
30	hurt
30	elmo
30	byebye
30	or
29	pull
29	cold
29	kinda
29	bless
28	wrong
28	mkay
28	clean
28	around
27	hey
27	had
27	goes
27	finger
27	diaper
27	blue
27	blow
27	icy
26	wind
26	sweetie
26	shoes
26	self
26	second
26	pretty
26	picture
26	nine
26	eating
26	who's
26	away
25	which
25	wet
25	walk
25	ten
25	still
25	rattle
25	move
25	mouth
25	first
25	because
25	our
24	yellow
24	soft
24	much
24	green
24	else
24	doggie
24	doesn't
23	ya
23	stuff
23	page
23	gimme
22	stay
22	old
22	lots
22	crayon
22	hello
22	fell
21	slide
21	she's
21	pick
21	only
21	mister
21	mirror
21	mom
21	who
21	drink
21	duck
20	uhhuh
20	said
20	leave
20	later
20	clothes
20	keep
20	funny
20	though
20	dirty
20	door
20	bread
20	block
20	bit
20	bird
20	bad
20	outside
19	when
19	wipe
19	wow
19	stick
19	push
19	might
19	count
19	hair
19	daddy's
18	were
18	went
18	oops
18	took
18	spoon
18	should
18	run
18	rock
18	maybe
18	long
18	cup
18	gee
18	face
18	body
18	us
17	today
17	ride
17	most
17	made
17	monster
17	clifford
17	break
17	bark
17	angle
16	worry
16	t
16	tabitha
16	service
16	many
16	light
16	kisses
16	job
16	foot
16	eight
15	watch
15	sound
15	room
15	matter
15	comb
15	bib
15	bears
14	taste
14	stand
14	sleep
14	sure
14	roll
14	oatmeal
14	noise
14	neighbor
14	keys
14	isn't
14	fur
14	s
14	drive
14	double
14	into
14	under
13	you'll
13	toys
13	piece
13	name
13	love
13	even
13	head
13	happy
13	guess
13	feed
13	fun
13	airplane
13	d
13	chickie
13	chalk
12	top
12	step
12	pee
12	part
12	next
12	milk
12	merrily
12	k
12	call
12	henry
12	floor
12	fasten
12	daddy
12	bring
12	brush
12	bite
12	adam
11	woof
11	work
11	v
11	truck
11	told
11	spin
11	show
11	night
11	letter
11	left
11	cry
11	cow
11	genie
11	whole
11	he's
11	horse
11	found
11	fast
11	family
11	x
11	f
11	than
11	burp
11	birds
11	bed
