	(u'aa',)	(u'ae',)	(u'ah',)	(u'ao',)	(u'aw',)	(u'ax',)	(u'ay',)	(u'b',)	(u'd',)	(u'dh',)	(u'eh',)	(u'er',)	(u'ey',)	(u'f',)	(u'g',)	(u'hh',)	(u'ih',)	(u'iy',)	(u'jh',)	(u'k',)	(u'l',)	(u'm',)	(u'n',)	(u'ng',)	(u'ow',)	(u'p',)	(u'r',)	(u's',)	(u'sh',)	(u't',)	(u'th',)	(u'uh',)	(u'uw',)	(u'v',)	(u'w',)	(u'y',)	(u'z',)
(u'aa',)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0.0
(u'ae',)	0	0	0	0	0	0	0	0	0.22545	1	0	0	0	0	0	0	0	0	0	0.17535	0	0	0.02505	0	0	0.0	0.1503	0	0	0.00319787234043	0	0	0	0.0	0	0	0
(u'ah',)	0	0	0	0	0	0	0	0.137775	0.2066625	1	0	0	0	0	0	0	0	0	0	0.321475	0	0.0	0.0688875	0	0	0.0	0	0.2066625	0	0.00562346938776	0	0	0	0.0	0	0	0.0
(u'ao',)	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0.0	0	0	0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0
(u'aw',)	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0
(u'ax',)	0	0	0	0	0	0	0	0.01503	0.014090625	0	0	0	0	0.037575	0.02818125	0.338175	0.22545	0	0.0	0.029225	0.0268392857143	0.0	0.022545	0.0	0.3006	0.0	0.07515	0.0132617647059	0	0.0187875	0	0	0	0.0	1	0	0.0
(u'ay',)	0	0	0	0	0	0.0	0	0.0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0.0	0.0	0	0	0.0	0	0.0	0	0.0	0	0	0	0.0	0	0	0
(u'b',)	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0.0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0
(u'd',)	0	0	0.00974166666667	0.02191875	0.0	0.017535	0	0	0	0.63564375	0.0	0	0	0	0.52605	0	0.06575625	0.0	0	0	0	0.0	0.17535	0	0.3507	0.0	0	0	0	0.087675	0.087675	0	0.0263025	0	1	0.87675	0
(u'dh',)	0	0.0	0	0	0	0.0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0.0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0
(u'eh',)	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0.0	0	0	0	0.0	0.0	0	0.0	0	0	0	0.0	0	0	0
(u'er',)	0.0	0	0	0	0	0.037575	0	0	0.112725	0	0	0	0	0	0	0.67635	0	0	0	0	0.062625	0	0	0	0	0.0	0	0	0.07515	0.02505	0	0	0	0	1	0	0.0
(u'ey',)	0.0	0	0	0	0	0	0	0	0.1690875	0	0	0	0	0	0	0	0	0	0	0.52605	0.37575	0.0	0.27054	0	0	0	0.4509	0	0	0.1503	0	0	0	0	0	0	0
(u'f',)	0	0	0	0.004175	0	0	0.0313125	0.02505	0	0	0.0	0	0	0	0	0	0	0.0	0	0	0.062625	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.7014	0.2505	0
(u'g',)	0.0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0.0	0	0.0	0	0	0	0	0.0	0.0	0	0	0	0
(u'hh',)	0	0.0	0.0	0.0	0.0	0	0.0	0	0	0	0.0	0.0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0	0	0	0
(u'ih',)	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0	0	0.0	0.0	0	0.0	0	0	0	0.0	0	0	0.0
(u'iy',)	0	0	0	0	0	0	0	0.4008	0.1503	1	0	0	0	0.4008	0.4008	1	0	0	0	1	0.501	0	0.2004	0	0	0.0	0.4008	0.3006	0	0.1336	0	0	0	0	1	1	0.0
(u'jh',)	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0
(u'k',)	0.0	0.0563625	0.01503	0	0	0.0187875	0	0	0	1	0	0	0.007515	0	0	0	0.0322071428571	0.0	0	0	0.187875	0	0	0	0.1503	0	0.07515	0.0563625	0	0	0	0.0	0	0	1	0	0
