	(u'aa',)	(u'ae',)	(u'ah',)	(u'ao',)	(u'aw',)	(u'ax',)	(u'ay',)	(u'b',)	(u'ch',)	(u'd',)	(u'dh',)	(u'eh',)	(u'er',)	(u'ey',)	(u'f',)	(u'g',)	(u'hh',)	(u'ih',)	(u'iy',)	(u'jh',)	(u'k',)	(u'l',)	(u'm',)	(u'n',)	(u'ng',)	(u'ow',)	(u'oy',)	(u'p',)	(u'r',)	(u's',)	(u'sh',)	(u't',)	(u'th',)	(u'uh',)	(u'uw',)	(u'v',)	(u'w',)	(u'y',)	(u'z',)
(u'aa',)	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0.0	0.0	0	0	0	0.0	0.0	0	0	0.0	0	0	0	0	0	0	0
(u'ae',)	0	0	0	0	0	0	0	0.03105	0	0	0.21735	0	0	0	0.0388125	0.009315	0	0	0	0	0.00887142857143	0.077625	0	0.002875	0	0	0	0	0	0.0138	0.0	0.00228308823529	0	0	0	0.015525	0	0	0.0
(u'ah',)	0	0	0	0	0	0	0	0	0.0	0	0.0	0	0	0	0.0	0.0	0	0	0	0	0.0	0	0.0	0.0	0.0	0	0	0	0	0.0	0	0.0	0	0	0	0.0	0	0	0.0
(u'ao',)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0.0	0	0.0	0.0	0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0
(u'aw',)	0	0	0	0	0	0.0077625	0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0.0388125	0	0	0	0	0	0	0	0.015525	0	0	0	0	0	0.1164375	0
(u'ax',)	0	0	0.0	0	0	0	0	0.0109588235294	0.0	0.0	0.03105	0	0	0	0.0388125	0.0232875	0.357075	0	0	0.015525	0.015525	0.0166339285714	0.046575	0.00817105263158	0.0	0	0	0.0181125	0	0.00801290322581	0	0.01940625	0.0621	0	0	0	0.106457142857	0.15525	0.0
(u'ay',)	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0.621	0.1863	0	0	0	0	0.1656	0.266142857143	0.3726	0.621	0	0	0	0	0	0.19872	0.0	0	0	0	0	0	0	1	0
(u'b',)	0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0.0	0.0	0	0	0	0.0	0.0	0	0	0	0	0	0	0.0	0.0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0
(u'ch',)	0	0	0	0	0	0.00388125	0	0	0	0	0.108675	0	0.0	0	0	0	0	0.046575	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(u'd',)	0	0	0.0	0.09315	0	0.046575	0	0	0	0	0.4347	0.0	0	0.0	0	0	1	0.139725	0.0	0	0	0.698625	0.27945	0.46575	0	0.326025	0	0.326025	0.232875	0.1242	0	0.15525	0	0	0.0266142857143	0	0.7452	0	0
(u'dh',)	0	0.0	0	0	0	0.0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0
(u'eh',)	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0.0	0	0	0	0	0.0	0.0	0	0.0	0	0	0	0	0	0	0.0
(u'er',)	0	1	0	0	0	0.108675	0	0.65205	0	0.0	0.50715	0	0	0	0	0	0	0.326025	0	0	0.4347	0.1630125	0	0	0	0.50715	0	0.3803625	0	0.8694	0	0	0.21735	0	0	0	0	0	0.0
(u'ey',)	0	0	0	0	0.0	0.1242	0	0.2484	0	0	0	0	0	0	0	0	1	0	0	0	0.0382153846154	0.3726	0.5589	0	0	0	0	0.4347	0	0.4968	0	0	0	0	0	0.2484	1	0	0
(u'f',)	0	0.170775	0.0	0.00388125	0	0.015525	0	0	0	0	0.4347	0	0	0.0	0	0	0	0.1863	0	0	0	0.1164375	0	0	0	0.4347	0	0	0.15525	0	0	0.077625	0	0	0	0	0	0	0
(u'g',)	0.0	0	0	0.0	0	0.0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0.0	0	0	0	0	0	0	0.0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0
(u'hh',)	0	0.0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0
