	(u'aa',)	(u'ae',)	(u'ah',)	(u'ao',)	(u'aw',)	(u'ax',)	(u'ay',)	(u'b',)	(u'ch',)	(u'd',)	(u'dh',)	(u'eh',)	(u'er',)	(u'ey',)	(u'f',)	(u'g',)	(u'hh',)	(u'ih',)	(u'iy',)	(u'jh',)	(u'k',)	(u'l',)	(u'm',)	(u'n',)	(u'ng',)	(u'ow',)	(u'oy',)	(u'p',)	(u'r',)	(u's',)	(u'sh',)	(u't',)	(u'th',)	(u'uh',)	(u'uw',)	(u'v',)	(u'w',)	(u'y',)	(u'z',)
(u'aa',)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0136166666667	0	0.1123375	0	0	0	0	0.0817	0.00510625	0.003268	0	0	0	0.00510625	0.0125692307692	0.0510625	0.0	0.00680833333333	0	0	0	0	0	0	0
(u'ae',)	0	0	0	0	0	0	0	0.102125	0	0.03574375	0	0	0	0	0	0.020425	0	0	0	0	0.00600735294118	0	0	0.00302592592593	0	0	0	0.00680833333333	0	0	0	0.00226944444444	0	0	0	0.0	0	0	0.0
(u'ah',)	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0.0	0	0.0	0	0.0	0	0	0	0.0	0	0	0.0
(u'ao',)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0306375	0	0	0	0	0.306375	0.2451	0	0	0	0	0	0	0.03268	0	0	0.12255	0	0	0	0	0	0	0.0
(u'aw',)	0	0	0	0	0	0	0	0	0.102125	0.3574375	0.817	0	0.0	0	0	0	1	0	0	0	0	0	0.306375	0.0291785714286	0	0	0	0	0	0	0	0.0340416666667	0.0	0	0	0	1	0	0
(u'ax',)	0	0	0.0	0	0	0.1634	0	0.0453888888889	0	0.190633333333	0.3268	0.1634	0	0	0.0148545454545	0.0272333333333	0.149783333333	0	0.0	0.0	0.0226944444444	0.0435733333333	0.020425	0.0181555555556	0.0	0	0	0.0102125	0.3268	0.0272333333333	0.0	0.006536	0	0	0	0.0	0.462966666667	0	0.0
(u'ay',)	0	0	0	0	0	0	0	0	0	0.020425	0.1634	0	0.0	0	0.020425	0.0102125	0	0	0	0	0.0102125	0	0.061275	0.020425	0	0	0	0	0.0272333333333	0.02553125	0	0.00194523809524	0.0	0	0	0	0.69445	0	0.0
(u'b',)	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0	0.0	0.0	0.0	0	0	0	0.0	0.0	0	0	0.0	0	0	0	0.0	0.0	0	0.0	0	0	0	0	0.0	0	0	0	0	0
(u'ch',)	0	0	0.0	0	0	0	0	0	0	0	0	0.0272333333333	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00680833333333	0	1	0	0
(u'd',)	0.061275	0.12255	0.0	0.061275	0.0	0.0306375	0	0.20425	0	0.142975	0.1634	0	0	0.12255	0.12255	0.020425	0.134805	0.142975	0.0	0	0	0.2451	0	0.2451	0	0.281865	0	0.061275	0.3268	0.1531875	0	0.0306375	0	0	0.00471346153846	0	0.41667	0.1634	0.0
(u'dh',)	0	0.0	0	0	0	0.0	0	0.0	0	0	0.0	0.0	0.0	0	0	0	0	0.0	0.0	0	0	0	0.0	0	0	0.0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0
(u'eh',)	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0.0	0	0.0	0	0	0	0.0	0	0	0.0
(u'er',)	0	0	0	0	0.0	0.0817	0	0	0	0.05719	0	0.0817	0	0	0.04085	0	0	0	0	0	0.04085	0	0.12255	0.1634	0	0	0	0.0136166666667	0	0.102125	0	0.020425	0	0	0	0	0	0.1634	0.0
(u'ey',)	0	0	0	0	0	0.20425	0	0.0928409090909	0.102125	0	0.817	0	0	0	0.20425	0	0	1	0	0	0.2553125	0.272333333333	0.306375	0.0453888888889	0	0	0	0	0	0.2553125	0	0.102125	0	0	0	0	1	1	0
(u'f',)	0	0	0.0	0.0102125	0.0	0.00907777777778	0.02451	0	0	0	0	0	0.0	0	0	0	0	0.142975	0.0	0	0	0.0817	0	0	0	0.469775	0	0	0.108933333333	0	0	0.04085	0	0	0	0	0	0	0
(u'g',)	0.00583571428571	0.0817	0	0	0	0	0.12255	0	0	0	0	0.020425	0.0	0	0	0	0	0	0.0	0	0	0	0	0	0	0.0427068181818	0	0	0.0544666666667	0	0.0	0	0	0.0	0	0	0	0	0
