	(u'aa',)	(u'ae',)	(u'ah',)	(u'ao',)	(u'aw',)	(u'ax',)	(u'ay',)	(u'b',)	(u'ch',)	(u'd',)	(u'dh',)	(u'eh',)	(u'er',)	(u'ey',)	(u'f',)	(u'g',)	(u'hh',)	(u'ih',)	(u'iy',)	(u'jh',)	(u'k',)	(u'l',)	(u'm',)	(u'n',)	(u'ng',)	(u'ow',)	(u'p',)	(u'r',)	(u's',)	(u'sh',)	(u't',)	(u'th',)	(u'uh',)	(u'uw',)	(u'v',)	(u'w',)	(u'y',)	(u'z',)	(u'zh',)
(u'aa',)	0	0	0	0	0	0	1	0.43605	0	0	1	0	0	0	0	0.3270375	0.2543625	0	0	0	0.8721	0.16351875	0.218025	0.0379173913043	0	0	0.072675	0.00838557692308	0	1	0.1090125	0	0	0	0	0	0	0.0	0.0
(u'ae',)	0	0	0	0	0	0	0	0.024225	0.0	0.04845	0	0	0	0	0.024225	0.0363375	0	0	0	0	0.0969	0.009084375	0.0121125	0.00372692307692	0.0	0	0	0	0.0605625	0	0.000475	0	0	0	0.0	0	0	0.0	0
(u'ah',)	0	0	0	0	0	0	0	0.0	0	0	0.0	0	0	0	0.0	0.0	0	0	0	0	0	0	0.0	0.0	0	0	0.0	0	0.0	0	0.0	0	0	0	0.0	0	0	0.0	0
(u'ao',)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0.0	0.0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0	0	0	0.0	0
(u'aw',)	0	0	0	0	0	0.24225	0	0	0	0	0.82365	0	0	0	0	0	0	0	0	0	0	0	0	0.03876	0	0	0	0	0.0605625	0	0.008075	0	0	0	0	0	0	0.0	0
(u'ax',)	0	0	0	0	0	0.1615	1	0.007752	0.0	0.04845	0.411825	0.2907	0	0	0.01938	0.04845	0.169575	0	0.0	0.04845	0.110742857143	0.009084375	0.0223615384615	0.00745384615385	0.0	0	0.0121125	0.0323	0.0186346153846	0.4845	0.00745384615385	0.0969	0	0	0.0	0.4522	0.20995	0.0	0
(u'ay',)	0	0	0	0	0	0.0	0	0.0	0	0.0	0	0	0	0	0	0.0	0	0	0	0	0.0	0.0	0.0	0.0	0	0	0.0	0.0	0.0	0	0.0	0.0	0	0	0.0	0.0	0.0	0.0	0
(u'b',)	0	0.06661875	0.0040375	0	0.0	0.0134583333333	0.3876	0	0	0	0	0.00186346153846	0.009084375	0.024225	0	0	0	0.121125	0.0	0	0	0.008075	0	0	0	0.234175	0	0.003028125	0	0	0	0	0.0	0.04845	0	0	0	0.0	0
(u'ch',)	0	0	0.0	0	0	0.0	0.0	0	0	0	0.0	0.0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0
(u'd',)	1	1	0.0176181818182	0.7752	0.0	0.1615	1	0.1938	0.0	0	0.299509090909	0.5814	0.1938	0.04845	0.0646	0	0.6783	0.1292	0.0	0	0.7752	0.5814	0.5814	0.07752	0	0.802885714286	0.0969	0.0215333333333	0.24225	0	0.1938	0	0	0.0430666666667	0	1	0.62985	0.0	0
(u'dh',)	0	0.0	0	0	0	0.0	0	0	0	0	0.0	0.0	0.0	0.0	0	0	0.0	0	0.0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0
(u'eh',)	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0.0	0	0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0.0	0	0	0	0
(u'er',)	0	0	0	0	0	0.0605625	0	0.024225	0	0.0363375	0.0686375	0	0	0.0121125	0	0.014535	0.04239375	0	0.0	0	0.1938	0.01816875	0.072675	0.0323	0	0	0	0	0.121125	0	0.0015140625	0	0	0	0	0.33915	0	0.0	0
(u'ey',)	1	1	0.33915	0	0	1	0	0.33915	0.0	0.508725	1	0	0	0	0	0	1	0	0	0.33915	0.4522	0	0.169575	0.169575	0	1	0.169575	0	0.847875	0.847875	0.33915	0	0	0	0	1	0	0.0	0
(u'f',)	0	0.0	0	0.0	0.0	0	0.0	0	0	0	0.0	0	0.0	0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0.0	0.0	0	0.0	0	0	0.0	0	0	0.0	0	0
(u'g',)	0.14535	0	0	0	0	0.1615	0	0	0	0	0	0.05814	0.01938	0	0	0	0	0.24225	0.0	0	0	0	0	0	0	0.46835	0	0.01938	0	0	0	0	0.0	0	0	0	0	0	0
