	(u'aa',)	(u'ae',)	(u'ah',)	(u'ao',)	(u'aw',)	(u'ax',)	(u'ay',)	(u'b',)	(u'ch',)	(u'd',)	(u'dh',)	(u'eh',)	(u'er',)	(u'ey',)	(u'f',)	(u'g',)	(u'hh',)	(u'ih',)	(u'iy',)	(u'jh',)	(u'k',)	(u'l',)	(u'm',)	(u'n',)	(u'ng',)	(u'ow',)	(u'oy',)	(u'p',)	(u'r',)	(u's',)	(u'sh',)	(u't',)	(u'th',)	(u'uh',)	(u'uw',)	(u'v',)	(u'w',)	(u'y',)	(u'z',)	(u'zh',)
(u'aa',)	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0.0	0
(u'ae',)	0.436475	1	0	0	0	0	1	1	0	0.6547125	0	0	0	0	0.0	0	0	1	0	0.0	0.0	0.436475	0.0	0.0788079861111	0	0	0	0.087295	0.436475	0.436475	1	0.0	0	0	0	0.0	1	1	0.0	0
(u'ah',)	0	0	0	0	0	0	0	0.0	0.0	0	0.0	0	0	0	0.0	0.0	0	0	0	0	0.0	0	0.0	0.0	0.0	0	0	0.0	0	0.0	0.0	0.0	0	0	0	0.0	0	0	0.0	0
(u'ao',)	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	0.0	0	0	0	0	0.0	0.0	0	0.0	0.0	0	0	0	0.0	0	0	0.0	0.0	0	0	0	0	0	0.0	0
(u'aw',)	0	0	0	0	0	0.60435	0	0.8058	0	0	0.705075	0	0.0	0	0	0	0	0.503625	0	0	0.0	0	0	0.2182375	0	0	0	0	0	0.1343	1	0.0	0.100725	0	0	0	0	1	0	0
(u'ax',)	0	1	0.33575	0	0	0	0	0.141368421053	0.0	0.318078947368	0.5875625	0	0	0	0.0	0.0479642857143	0.279791666667	0	0	0	0.0	0.0186527777778	0.0	0.10911875	0.0	0	0	0.0305227272727	0.06715	0.0516538461538	1	0.0	0.33575	0	0	0.0	0.37771875	1	0.0	0
(u'ay',)	0	0	0	0	0	0.20145	1	0	0	0.06715	0.47005	0	0	0	0	0.0223833333333	0	0.33575	0	0.0	0.0	0.1343	0.0	0.145491666667	0	0	0	0.06715	0.06715	0.1343	1	0.0	0.00746111111111	0	0	0.0	0.4029	0.772225	0.0	0
(u'b',)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0.0	0.0	0	0	0	0.0	0.0	0	0	0.0	0	0	0	0.0	0.0	0	0.0	0.0	0	0	0	0.0	0	0	0	0	0	0
(u'ch',)	0	0	0.033575	0	0	0.20145	0	0.2686	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0.0	0	0	0	0	0	0	0.1175125	0	0	0	0	0	0.0	0	0	0.0	0	0.60435	0	0	0
(u'd',)	0.2686	1	0.00813939393939	0.1343	0.0	0.179066666667	0.570775	0.238755555556	0.0	1	0.144630769231	0.0	0.0	0	0.0	0.0895333333333	0.447666666667	0.079	0.0	0	0.0	0	0.0	1	0	0.208911111111	0	0.1343	0.2686	0.119377777778	0.723153846154	0.0	0	0	0.0	0	0.5372	1	0.0	0
