aan ஹ
aar ஺
ae ஻
aek ஼
aend ஽
aent ா
aents ி
aesk ீ
aet ு
aez ூ
ah ௃
ahn ௄
ahp ௅
ahv ெ
ao ே
aol ை
aor ௉
aw ொ
awl ோ
awt ௌ
ax ்
axl ௎
axn ௏
axng ௐ
axns ௑
axnt ௒
axs ௓
axt ௔
axv ௕
ay ௖
ayv ௗ
ayz ௘
baa ௙
baed ௚
baeks ௛
bah ௜
bahg ௝
bahnch ௞
baht ௟
baol ௠
baolz ௡
bawt ௢
bax ௣
baxl ௤
baxts ௥
bay ௦
bayts ௧
beh ௨
berd ௩
berdz ௪
bey ௫
bih ௬
bihb ௭
bihg ௮
bihn ௯
biht ௰
biy ௱
blaaks ௲
bliy ௳
bowt ௴
bowth ௵
boy ௶
boyz ௷
brah ௸
brahsh ௹
brihng ௺
brihngz ௻
buhk ௼
buhks ௽
buw ௾
chax ௿
chehr ఀ
chehrz ఁ
cher ం
cheyn ః
chiy ఄ
chow అ
chuw ఆ
daal ఇ
dae ఈ
daem ఉ
daet ఊ
dahk ఋ
dahks ఌ
dahlts ఍
dahn ఎ
dahz ఏ
dahznt ఐ
daog ఑
dawn ఒ
dax ఓ
daxlz ఔ
daxng క
day ఖ
deh గ
der ఘ
dey ఙ
dhaen చ
dhaet ఛ
dhaets జ
dhax ఝ
dhaxs ఞ
dhaxt ట
dhehm ఠ
dhehn డ
dhehr ఢ
dher ణ
dherz త
dhey థ
dhiyz ద
dhowz ధ
dih న
dihd ఩
dihdnt ప
diy ఫ
downt బ
drae భ
drihng మ
duw య
eh ర
ehk ఱ
ehl ల
ehls ళ
ehm ఴ
ehn వ
ehs శ
er ష
erz స
ey హ
faar ఺
fae ఻
fahn ఼
faor ఽ
fax ా
faxk ి
faxn ీ
fer ు
ferst ూ
feys ృ
fih ౄ
flaw ౅
flay ె
flayz ే
fown ై
frahm ౉
frahnt ొ
fuwd ో
gaa ౌ
gaat ్
gaon ౎
gaxn ౏
gaxnz ౐
gehn ౑
gehs ౒
geht ౓
gerl ౔
gerlz ౕ
geymz ౖ
gihv ౗
gow ౘ
gruw ౙ
guhd ౚ
gyer ౛
hhae ౜
hhaed ౝ
hhaef ౞
hhaen ౟
hhaend ౠ
hhaeps ౡ
hhaev ౢ
hhaez ౣ
hhahm ౤
hhaors ౥
hhaw ౦
hhaws ౧
hhax ౨
hhay ౩
hhehr ౪
hher ౫
hhert ౬
hhihm ౭
hhihr ౮
hhiy ౯
hhowl ౰
hhowm ౱
hhuw ౲
ihf ౳
ihk ౴
ihn ౵
iht ౶
ihts ౷
ihz ౸
iy ౹
iyt ౺
jhahst ౻
jhaxng ౼
jhaxnz ౽
jhaxz ౾
jhuws ౿
kaar ಀ
kaaz ಁ
kae ಂ
kaen ಃ
kaent ಄
kaet ಅ
kaets ಆ
kah ಇ
kahp ಈ
kaol ಉ
kaolz ಊ
kaors ಋ
kaoz ಌ
kaw ಍
kax ಎ
kaxg ಏ
kaxn ಐ
kaxnd ಑
kaxng ಒ
kayndz ಓ
kehr ಔ
kerz ಕ
key ಖ
keym ಗ
kih ಘ
kihn ಙ
kihng ಚ
kihs ಛ
kiy ಜ
kiyz ಝ
klaoth ಞ
klaymz ಟ
klihr ಠ
kow ಡ
kowmd ಢ
kowmz ಣ
kuhd ತ
kwih ಥ
laat ದ
lao ಧ
laong ನ
lax ಩
laxng ಪ
laxs ಫ
layk ಬ
layks ಭ
layz ಮ
lehts ಯ
lernd ರ
ley ಱ
leyt ಲ
lih ಳ
liht ಴
lihv ವ
liy ಶ
low ಷ
luh ಸ
luhk ಹ
luhks ಺
luwnz ಻
lyax ಼
lyer ಽ
maa ಾ
mah ಿ
mahch ೀ
maor ು
mawnt ೂ
maws ೃ
mawth ೄ
max ೅
maxng ೆ
may ೇ
mayt ೈ
mey ೉
meyk ೊ
mih ೋ
miy ೌ
miyn ್
miynz ೎
mowst ೏
naak ೐
naat ೑
nah ೒
naw ೓
nax ೔
naxt ೕ
nay ೖ
neh ೗
nehkst ೘
ney ೙
neym ೚
neymd ೛
nih ೜
niy ೝ
now ೞ
nowz ೟
nuw ೠ
ow ೡ
own ೢ
paarts ೣ
pah ೤
paxl ೥
paxn ೦
paxnz ೧
per ೨
perz ೩
pey ೪
pih ೫
pihk ೬
pihks ೭
piy ೮
pley ೯
pleyn ೰
powzd ೱ
poyn ೲ
poynt ೳ
poynts ೴
praa ೵
prayzd ೶
prih ೷
priy ೸
prow ೹
puh ೺
puht ೻
pyax ೼
rae ೽
rax ೾
raxk ೿
raxn ഀ
raxng ഁ
raxnz ം
rayt ഃ
reh ഄ
rey അ
rih ആ
rihd ഇ
rihng ഈ
rihp ഉ
riy ഊ
riych ഋ
riyl ഌ
ruw ഍
ruwm എ
saaks ഏ
saen ഐ
sahm ഑
sao ഒ
saort ഓ
sawn ഔ
sawndz ക
sax ഖ
saxm ഗ
saxng ഘ
saxnt ങ
saxz ച
sayd ഛ
seh ജ
sehd ഝ
sehlf ഞ
sehn ട
seht ഠ
sehz ഡ
ser ഢ
sey ണ
seym ത
shaxn ഥ
shaxng ദ
shaxz ധ
shiy ന
shiyl ഩ
shiyz പ
show ഫ
shuwz ബ
sih ഭ
sihns മ
siht യ
sihts ര
siy റ
siymz ല
siyn ള
skaxng ഴ
skruwz വ
sliyp ശ
smeh ഷ
snaeps സ
sniy ഹ
sow ഺ
spaand ഻
spax ഼
spreh ഽ
spuwn ാ
staamp ി
staar ീ
staeks ു
staend ൂ
stahf ൃ
staxnt ൄ
ster ൅
steyjh െ
stihk േ
stihng ൈ
stihngk ൉
stihngkt ൊ
suwp ോ
tahng ൌ
tao ്
taok ൎ
tax ൏
taxd ൐
taxl ൑
taxn ൒
taxng ൓
taxst ൔ
taym ൕ
taymz ൖ
teh ൗ
tehl ൘
tehmpt ൙
tehn ൚
tehnd ൛
ter ൜
terz ൝
tey ൞
thaot ൟ
thaxng ൠ
thihng ൡ
thihngk ൢ
thihngz ൣ
thriy ൤
tiy ൥
tiynz ൦
tiyth ൧
trah ൨
trahk ൩
trax ൪
tray ൫
trayd ൬
trayz ൭
tuhk ൮
tuw ൯
twiyn ൰
vaxn ൱
veh ൲
ver ൳
verd ൴
viy ൵
vriy ൶
waacht ൷
waan ൸
waant ൹
waants ൺ
waaz ൻ
waek ർ
wah ൽ
wahn ൾ
wahns ൿ
waht ඀
wahts ඁ
wax ං
waxdh ඃ
way ඄
wayl අ
wayz ආ
wehl ඇ
wehn ඈ
wehnt ඉ
wehr ඊ
wehrz උ
wer ඌ
werd ඍ
werdz ඎ
werld ඏ
wey ඐ
weyz එ
wihch ඒ
wihdh ඓ
wihl ඔ
wiy ඕ
wiyk ඖ
wiyks ඗
wiyl ඘
wiyv ඙
wuhd ක
yaard ඛ
yae ග
yaor ඝ
yehlz ඞ
yehs ඟ
yuhrz ච
yuw ඡ
yuws ජ
yuwz ඣ
yuwzd ඤ
zax ඥ
zaxz ඦ
zhax ට
zih ඨ
ziy ඩ
