	(u'aa',)	(u'ae',)	(u'ah',)	(u'ao',)	(u'aw',)	(u'ax',)	(u'ay',)	(u'b',)	(u'ch',)	(u'd',)	(u'dh',)	(u'eh',)	(u'er',)	(u'ey',)	(u'f',)	(u'g',)	(u'hh',)	(u'ih',)	(u'iy',)	(u'jh',)	(u'k',)	(u'l',)	(u'm',)	(u'n',)	(u'ng',)	(u'ow',)	(u'oy',)	(u'p',)	(u'r',)	(u's',)	(u'sh',)	(u't',)	(u'th',)	(u'uh',)	(u'uw',)	(u'v',)	(u'w',)	(u'y',)	(u'z',)	(u'zh',)
(u'aa',)	0	0	0	0	0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0.0	0
(u'ae',)	0	0	0	0	0	0.0815333333333	0	1	0	0.458625	0	0	0	0	0.1223	0.0	0.1223	0	0	0	0.07338	0	0	0.0217422222222	0.0	0	0	0.030575	0.2446	0.55035	1	0.00568837209302	0	0	0	0.0	0.448433333333	1	0.0	0
(u'ah',)	0	0	0	0	0	0	0	0.0	0.0	0	0.0	0	0	0	0.0	0	0	0	0	0	0.0	0	0.0	0.0	0	0	0	0.0	0	0.0	0	0.0	0	0	0	0.0	0	0	0.0	0
(u'ao',)	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0.0	0	0	0	0	0	0.0	0.0	0	0	0.0	0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0.0	0
(u'aw',)	0	0	0	0	0	0	0	1	0	0	0	0	0.0	0	0	0	0.1223	1	0	0	0	0	0	0.108711111111	0	0	0	0	0	1	0	0.0271777777778	0	0	0	0	0	0	0.0	0
(u'ax',)	0.4892	0	0.06115	0	0	0.1223	0	0.06115	0	0.0833863636364	0.79495	0.1223	0.0	0	0.0101916666667	0.0	0.0111181818182	0	0	0.06115	0.0166772727273	0.0141115384615	0.0203833333333	0.0232952380952	0.0	0	0	0.00940769230769	0.0407666666667	0.0524142857143	1	0.0271777777778	0.1223	0	0	0.0	0.13453	1	0.0	0
(u'ay',)	0.6115	0	0	0.458625	0	0.03821875	1	1	0.0	0.1433203125	1	0	0.0	0	0.152875	0.0	0.030575	0	0	0	0.0218392857143	0.11465625	0.0203833333333	0.203833333333	0	0	0	0.152875	0	1	0	0.0436785714286	0.030575	0	0	0.0	0.336325	0	0.0	0
(u'b',)	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0	0.0	0.0	0.0	0	0	0	0.0	0.0	0	0	0.0	0	0	0	0	0.0	0	0.0	0	0	0	0	0.0	0	0.0	0	0	0.0	0
(u'ch',)	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0.0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(u'd',)	0.2446	1	0.0125897058824	0	0.0	0.17122	1	1	0.0	0	0.463720833333	0	0.0	0.0	0.42805	0.0	0.214025	0.58856875	0.142683333333	0	0.42805	1	0.214025	1	0	0.0658538461538	0	0	0.285366666667	1	1	0.0778272727273	0	0	0.0	0	1	0	0.0	0
(u'dh',)	0	0.0143882352941	0	0	0	0.00200491803279	0	0.91725	0	0	0.264983333333	0.00470384615385	0.0	0.0	0	0	0.06115	0.67265	0	0	0	0	0.06115	0	0	0.1223	0	0	0	0	0	0	0	0	0	0	0	1	0	0
(u'eh',)	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0.0	0.0	0.0	0.0	0.0	0	0	0	0.0	0	0	0.0	0
(u'er',)	0	0.4892	0	0.55035	0.0	0.1223	0	0	0	0.34396875	0.47697	0.06115	0	0.0	0.18345	0	0.18345	0.67265	0.06115	0.18345	0.275175	0.1375875	0.18345	0.14676	0	0.18345	0	0.03669	0.3669	0.127003846154	1	0.06115	0.18345	0	0	0	0.67265	1	0.0	0
(u'ey',)	0.6115	0	0	0.458625	0	0	0	0.327589285714	0	1	0	0	0	0	0.152875	0	0	1	0	0.030575	0.0416931818182	0.458625	0.30575	0.6115	0	0	0	0	0	0.458625	0	0.0509583333333	0	0	0	0	0.8408125	0	0.0	0
(u'f',)	0.06115	0.1223	0	0.00764375	0	0.0152875	0.30575	0.458625	0	0	0.132491666667	0	0.0	0.0	0	0	0	0.08408125	0	0	0	0.091725	0	0	0	0.030575	0	0	0.01223	0.275175	0.580925	0.06115	0	0	0	0	0	0.3210375	0	0
(u'g',)	0.0	0	0	0	0	0.0	0	0	0	0.0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.0	0	0	0	0.0	0	0	0.0	0	0	0
(u'hh',)	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0	0.0	0.0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0	0
(u'ih',)	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0.0	0.0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0.0	0	0.0	0.0	0.0	0	0	0	0.0	0	0	0.0	0
(u'iy',)	1	1	0.203833333333	0.458625	0	0.1223	1	1	0.0	0.398804347826	1	0	0	0.0	0.6115	0.0	0.0470384615385	1	0	0.6115	0.203833333333	0.107911764706	0.101916666667	0.203833333333	0	0.407666666667	0	0.0873571428571	0.174714285714	0.323735294118	1	0.1223	0.0679444444444	0	0	0.0	0.448433333333	1	0.0	0
(u'jh',)	0	0	0.00764375	0	0	0.030575	0	0.458625	0	0.458625	0	0	0	0	0	0	0.0152875	0.112108333333	0	0	0.091725	0	0	0	0	0	0	0	0	0.275175	0	0.06115	0	0	0	0	0.336325	0	0	0
(u'k',)	0.157242857143	0.200127272727	0.06879375	0.0750477272727	0.0	0.0500318181818	1	1	0.0	0	0.715455	0.275175	0	0.0	0.275175	0	0.1375875	0.605385	0	0	0.825525	0.20638125	0.275175	0	0	0.55035	0	0.275175	0.275175	0.07739296875	1	0.18345	0	0	0	0	1	1	0	0
(u'l',)	0.030575	0.14676	0.0458625	0.091725	0	0.18345	0.091725	0.275175	0	0.171984375	0.397475	0.0458625	0.0	0.0	0.02293125	0.0	0.02293125	0.201795	0.00436785714286	0	0	0.275175	0.091725	0	0	0.0458625	0	0.02293125	0.091725	0.165105	1	0.030575	0	0	0	0	0.126121875	1	0.0	0
(u'm',)	0.0524142857143	0.1223	0.02293125	0.0458625	0.0	0.03669	0.152875	0.34396875	0	0	1	0.02293125	0	0.0	0	0.0	0.091725	0.5044875	0.00764375	0	0.091725	0	0	0.2446	0	0.091725	0	0.0152875	0	0.275175	1	0.0458625	0.030575	0	0	0	0.201795	0.9631125	0.0	0
(u'n',)	0.22014	1	0.275175	0.825525	0.0	0.0786214285714	1	1	0	0.19198255814	0.47697	0.091725	0.0	0.0	0.275175	0	0.0786214285714	1	0.03669	0.275175	0.825525	0.4127625	0.18345	0	0	0.03669	0	0.18345	0.55035	0.33021	1	0.0174714285714	0.18345	0	0.0	0	1	1	0.0	0
(u'ng',)	0.7338	1	0.18345	0	0.0	0.1223	0	0.91725	0	1	1	0	0	0	0	0.0	0.18345	0.288278571429	0	0.18345	0.0393107142857	0.55035	0	0	0	0	0	0	0	0	0	0.07338	0	0	0	0.0	0	1	0.0	0
(u'ow',)	1	0	0	0	0	0.224216666667	1	0	0	0	1	0	0	0	0.336325	0	0	1	0	0	0	0.201795	0.08408125	0.1223	0	0	0	0.336325	0	0.75673125	1	0.67265	0	0	0	0.0	0.739915	1	0.0	0
(u'oy',)	0	0.2446	0	0	0	0	0	0	0	0.2293125	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1223	0	0	0	0	0	0.1375875	0	0.06115	0	0	0	0	0	0	0.0	0
(u'p',)	0.1223	0.1223	0.06115	0	0	0.0407666666667	1	0.91725	0	0	0	0.0203833333333	0.0	0.0	0	0	0	0.1681625	0.00873571428571	0	0	0.030575	0.1223	0.4892	0	0	0.0	0.06115	0.030575	0.55035	0	0.00940769230769	0	0.0	0.0	0	0.67265	0	0	0
(u'r',)	0.203833333333	0.2446	0.0254791666667	0	0	0.0339722222222	0.218392857143	0	0	0.458625	0.49684375	0	0	0.0	0	0.0	0.03821875	0.120116071429	0.00899264705882	0	0.458625	0	0	0.407666666667	0	0.101916666667	0	0.0764375	0.30575	0.458625	1	0.0436785714286	0	0	0.0	0	0	0	0	0
(u's',)	0.519775	0.693033333333	0.0577527777778	0.311865	0.0	0.064971875	1	1	0	0	1	0.0399826923077	0.0	0.0	0.12994375	0.0	0.519775	0.439809615385	0.064971875	0	0.7796625	0.38983125	0.173258333333	1	0	0.0866291666667	0	0.0577527777778	0	1	1	0.0212153061224	0.519775	0	0	0.0	1	1	0	0
(u'sh',)	0	0	0	0	0	0.0	0	0	0	0	0	0.0	0	0	0	0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0
(u't',)	0.42805	0.7338	0.05350625	0.3210375	0.0	0.0175910958904	0.8561	1	0	1	0.5962125	0.1070125	0.0	0.0	0.642075	0	0.05350625	0.642075	0.0356708333333	0	0.48155625	0.642075	0.42805	0.642075	0	1	0.0	0.642075	0.08561	0.128415	1	0.18345	0.128415	0	0.0	0	0.392379166667	1	0	0
(u'th',)	0	0	0	0.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0
(u'uh',)	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0	0
(u'uw',)	0	0	0	0	0	0.091725	0	1	0	0	0.397475	0.18345	0	0	0	0	0.0458625	0.67265	0	0.18345	0	0.55035	0.1223	0.3669	0	0.3669	0	0.18345	0	0.825525	1	0.06115	0.06115	0	0	0.0	0.67265	0.77049	0.0	0.0
(u'v',)	0	0	0	0	0	0.00873571428571	0	0.0764375	0	0	0.0397475	0.00509583333333	0.0	0	0	0	0.030575	0	0.00509583333333	0	0.0458625	0.091725	0	0.2446	0	0	0.0	0.030575	0.0152875	0.1375875	0	0.0152875	0	0	0	0	0.336325	0	0.0	0
(u'w',)	0.0	0	0.0	0	0	0.0	0.0	0	0	0	0	0.0	0.0	0.0	0	0	0	0.0	0.0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0
(u'y',)	0	0.0	0	0	0	0.0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0
(u'z',)	1	1	0	1	0	0.105313888889	1	1	0	1	1	0.23695625	0	0	0.315941666667	0	0.4739125	1	0	0	1	0.355434375	0.4739125	0.37913	0	0	0	0.947825	1	1	1	0.189565	0.4739125	0	0	0.0	1	1	0	0
