aa ஹ
aab ஺
aan ஻
aand ஼
aar ஽
ae ா
aef ி
aek ீ
aen ு
aend ூ
aesk ௃
aesks ௄
aeskt ௅
aet ெ
aez ே
ah ை
ahn ௉
ahp ொ
ahs ோ
ahv ௌ
ao ்
aof ௎
aol ௏
aor ௐ
awnd ௑
awt ௒
ax ௓
axk ௔
axn ௕
axng ௖
axns ௗ
axs ௘
axv ௙
axz ௚
ay ௛
ayl ௜
aym ௝
baaks ௞
baek ௟
bah ௠
bahnch ௡
baht ௢
bawt ௣
bax ௤
baxl ௥
baxnd ௦
bay ௧
beh ௨
behlt ௩
behlts ௪
ber ௫
berd ௬
bey ௭
bih ௮
bihg ௯
bihl ௰
bihld ௱
bihldz ௲
bihn ௳
biht ௴
biy ௵
blaaks ௶
bliy ௷
bowt ௸
boy ௹
boyz ௺
brah ௻
brih ௼
brihjh ௽
buhk ௾
buhks ௿
byax ఀ
byuw ఁ
chehr ం
cher ః
cherz ఄ
cheynjh అ
chihl ఆ
daa ఇ
daak ఈ
daal ఉ
daalz ఊ
dae ఋ
dahmp ఌ
dahn ఍
dahz ఎ
dahznt ఏ
dawn ఐ
daxn ఑
daxng ఒ
day ఓ
der ఔ
derz క
dey ఖ
deyt గ
deyz ఘ
dhaet ఙ
dhaets చ
dhax ఛ
dhaxng జ
dhaxs ఝ
dhaxt ఞ
dhehm ట
dhehn ఠ
dhehr డ
dher ఢ
dherz ణ
dhey త
dhihs థ
dhiyz ద
dhow ధ
dih న
dihd ఩
dihdnt ప
diy ఫ
downt బ
drae భ
draxn మ
drehs య
duw ర
eh ఱ
ehls ల
ehn ళ
ehnd ఴ
er వ
erjh శ
ey ష
eyjh స
eyt హ
faa ఺
faekt ఻
faor ఼
fax ఽ
faxn ా
faxnt ి
fay ీ
fayv ు
fer ూ
feyk ృ
fih ౄ
fihks ౅
flaor ె
fown ే
frahm ై
fray ౉
frey ొ
freyd ో
freyz ౌ
fyuw ్
fyuwz ౎
fyuwzd ౏
gaar ౐
gaat ౑
gax ౒
gaxn ౓
geh ౔
gehn ౕ
gehs ౖ
geht ౗
gehts ౘ
ger ౙ
gerl ౚ
gihv ౛
gow ౜
gowz ౝ
graebz ౞
greh ౟
grow ౠ
guhd ౡ
gyerd ౢ
hhaard ౣ
hhaat ౤
hhae ౥
hhaed ౦
hhaeng ౧
hhaev ౨
hhaevnt ౩
hhaez ౪
hhahmp ౫
hhahz ౬
hhaw ౭
hhaws ౮
hhax ౯
hhaxd ౰
hhay ౱
hheh ౲
hhehlp ౳
hhehr ౴
hher ౵
hhihm ౶
hhihr ౷
hhihz ౸
hhiy ౹
hhow ౺
hhowl ౻
hhowld ౼
hhowm ౽
hhuw ౾
hhuwz ౿
hhyuw ಀ
hhyuwjh ಁ
ihf ಂ
ihk ಃ
ihn ಄
iht ಅ
ihts ಆ
ihz ಇ
iy ಈ
iyz ಉ
jhahst ಊ
jhaxn ಋ
jhaxnt ಌ
jhaxz ಍
jhihm ಎ
kaan ಏ
kaaz ಐ
kae ಑
kaen ಒ
kaent ಓ
kah ಔ
kahm ಕ
kaol ಖ
kaold ಗ
kaolz ಘ
kaoz ಙ
kawn ಚ
kawnt ಛ
kawz ಜ
kax ಝ
kaxlt ಞ
kaxlz ಟ
kaxm ಠ
kaxn ಡ
kaxng ಢ
kaynd ಣ
kayt ತ
kehr ಥ
key ದ
kihdz ಧ
kiyp ನ
klaes ಩
klow ಪ
kow ಫ
kowt ಬ
kreyn ಭ
krih ಮ
kriy ಯ
kway ರ
kwayt ಱ
kyax ಲ
laat ಳ
laats ಴
laep ವ
laeps ಶ
laest ಷ
lahnch ಸ
lahvd ಹ
lao ಺
lax ಻
laxng ಼
layf ಽ
layk ಾ
layks ಿ
leh ೀ
lehs ು
leht ೂ
ler ೃ
lern ೄ
ley ೅
lih ೆ
liy ೇ
liyf ೈ
liyst ೉
low ೊ
maa ೋ
maar ೌ
maark ್
maen ೎
mah ೏
mahch ೐
mahnths ೑
mahst ೒
maor ೓
max ೔
maxn ೕ
maxng ೖ
may ೗
mayks ೘
mayn ೙
mehm ೚
mehn ೛
mehnt ೜
meyk ೝ
meyks ೞ
meyzd ೟
miy ೠ
miyn ೡ
miyz ೢ
mowst ೣ
myuwzd ೤
naat ೥
nahm ೦
naw ೧
naxng ೨
neh ೩
nehk ೪
nehkst ೫
neym ೬
neymz ೭
nih ೮
niy ೯
niyz ೰
now ೱ
nowz ೲ
nuw ೳ
ow ೴
owld ೵
own ೶
paarts ೷
paents ೸
pax ೹
paxl ೺
paxng ೻
peh ೼
per ೽
perz ೾
peyjh ೿
pihk ഀ
pihks ഁ
piy ം
piyt ഃ
pley ഄ
pleys അ
pleyz ആ
powl ഇ
poyn ഈ
poynt ഉ
prayzd ഊ
priy ഋ
pruw ഌ
puh ഍
puht എ
puhts ഏ
rae ഐ
raet ഑
rax ഒ
raxng ഓ
rayt ഔ
rih ക
riy ഖ
riydz ഗ
riyl ഘ
row ങ
rowt ച
ruw ഛ
saend ജ
saet ഝ
sahm ഞ
saongz ട
saort ഠ
sawnd ഡ
sax ഢ
saxlz ണ
saxm ത
saxng ഥ
saxnz ദ
saxpt ധ
saxpts ന
saxz ഩ
sayd പ
sayz ഫ
seh ബ
sehd ഭ
sehks മ
sehlf യ
sehpt ര
sehz റ
ser ല
sey ള
shaxl ഴ
shaxn വ
shaxnd ശ
shaxng ഷ
shaxnz സ
sheh ഹ
shehr ഺ
shiy ഻
shiyl ഼
shiyz ഽ
shliy ാ
show ി
shuhr ീ
shuw ു
shuwz ൂ
sih ൃ
sihks ൄ
sihng ൅
sihsts െ
siht േ
sihts ൈ
siy ൉
siym ൊ
siymz ോ
siyn ൌ
skihps ്
skuwl ൎ
slayd ൏
sliy ൐
smao ൑
smaol ൒
snow ൓
sow ൔ
spaans ൕ
speh ൖ
spiy ൗ
spiyks ൘
spuwn ൙
staak ൚
staar ൛
staart ൜
staeks ൝
staend ൞
staendz ൟ
stahf ൠ
staor ൡ
stax ൢ
staxd ൣ
staxng ൤
staxns ൥
stehd ൦
stey ൧
steyjh ൨
stihl ൩
stiym ൪
strahk ൫
streynjh ൬
stuhd ൭
taecht ൮
taok ൯
taoks ൰
taokt ൱
taot ൲
taw ൳
tax ൴
taxd ൵
taxl ൶
taxng ൷
taxnz ൸
taxv ൹
tay ൺ
taym ൻ
taymz ർ
teh ൽ
tehl ൾ
tehnd ൿ
ter ඀
terd ඁ
termz ං
tern ඃ
ternz ඄
terz අ
tey ආ
teyk ඇ
teyl ඈ
thahm ඉ
thahmz ඊ
thaot උ
thaxng ඌ
thihng ඍ
thihngk ඎ
thihngks ඏ
thihngz ඐ
thriy එ
thruw ඒ
tih ඓ
tihvz ඔ
tiy ඕ
tiych ඖ
tiyn ඗
tiynz ඘
tiyz ඙
towld ක
toy ඛ
toyz ග
trah ඝ
trahk ඞ
trahks ඟ
trax ච
tray ඡ
trayd ජ
tuw ඣ
twehn ඤ
vax ඥ
vaxng ඦ
veh ට
ver ඨ
vey ඩ
viy ඪ
vliy ණ
vow ඬ
voys ත
vriy ථ
waan ද
waants ධ
waaz න
waaznt ඲
wahn ඳ
wahnz ප
waht ඵ
wahts බ
wax භ
waxz ම
way ඹ
wayz ය
wehl ර
wehn ඼
wehr ල
wer ඾
werd ඿
werdz ව
wey ශ
weyvz ෂ
weyz ස
wihdh හ
wihl ළ
wiy ෆ
wiyl ෇
wiyv ෈
wownt ෉
wuhd ්
wuhdnt ෋
yae ෌
yehs ෍
yeht ෎
yuw ා
yuws ැ
yuwz ෑ
yuwzd ි
zax ී
zaxn ු
zaxng ෕
zaxp ූ
zaxz ෗
zhax ෘ
zih ෙ
zihp ේ
zihpt ෛ
