	(u'aa',)	(u'ae',)	(u'ah',)	(u'ao',)	(u'aw',)	(u'ax',)	(u'ay',)	(u'b',)	(u'ch',)	(u'd',)	(u'dh',)	(u'eh',)	(u'er',)	(u'ey',)	(u'f',)	(u'g',)	(u'hh',)	(u'ih',)	(u'iy',)	(u'jh',)	(u'k',)	(u'l',)	(u'm',)	(u'n',)	(u'ng',)	(u'ow',)	(u'oy',)	(u'p',)	(u'r',)	(u's',)	(u'sh',)	(u't',)	(u'th',)	(u'uh',)	(u'uw',)	(u'v',)	(u'w',)	(u'y',)	(u'z',)
(u'aa',)	0	0	0	0	0	0	0	0.0	0	0.0	0	0	0	0	0	0.0	0	0	0	0	0.0	0.0	0	0.0	0	0	0	0.0	0.0	0	0.0	0.0	0	0	0	0.0	0.0	0	0.0
(u'ae',)	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0.22505	0.0375083333333	0	0.337575	0	0	0.0643	0	0	0.0485401960784	0	0	0	0	0.67515	0	1	0.0	0	0	0	0.0	0	0	0.0
(u'ah',)	0	0	0	0	0	0	0	0.0	0.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0.0	0	0.0	0.0	0.0	0.0	0	0	0.0	0	0	0.0
(u'ao',)	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0.0	0.0	0.0	0.0	0	0	0.0	0.0	0	0	0.0	0	0	0	0.0	0.0	0	0.0	0	0	0	0	0	0	0.0
(u'aw',)	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0.0505214285714	0	0	0	0	0	0.048225	0	0.0	0.0	0	0	0	0	0	0
(u'ax',)	0	0.3858	0	0	0	0	0	0.016075	0.0	0.0251171875	0.28935	0	0	0	0.00494615384615	0.00459285714286	0.01929	0.048225	0	0	0.00714444444444	0.00886896551724	0.00214333333333	0.00884125	0.0	0	0	0.00459285714286	0.03215	0.01929	0	0.0	0.0	0	0	0.0	0.0750166666667	0	0.0
(u'ay',)	0	0	0	0	0	0.03215	0.7716	0.22505	0	0.0223263888889	0.144675	0.0	0	0	0	0.03215	0.01929	0	0	0.03215	0.00267916666667	0.0285777777778	0.00267916666667	0.0589416666667	0	0	0	0.03215	0.09645	0.0723375	0.9645	0.0	0.0	0	0	0.0	0.150033333333	0.35365	0.0
(u'b',)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0.0	0	0	0	0	0.0	0.0	0	0	0.0	0	0	0	0	0.0	0	0.0	0	0	0	0	0.0	0	0	0	0	0
(u'ch',)	0	0.3858	0.0	0.3215	0	0.03215	0	0	0	0	0	0.0	0.0	0	0.1286	0	0	0.1929	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0
(u'd',)	0.1527125	1	0.0	0.61085	0.0872642857143	0.0555318181818	1	0	0	1	0.392689285714	0.0	0.0	0.0	0	0.1527125	0.916275	0.0872642857143	0.0	0	0	0	0.305425	1	0	0.0678722222222	0	0.407233333333	0.203616666667	1	1	0.0	0	0	0.0	0	1	1	0.0
