	(u'aa',)	(u'ae',)	(u'ah',)	(u'ao',)	(u'aw',)	(u'ax',)	(u'ay',)	(u'b',)	(u'ch',)	(u'd',)	(u'dh',)	(u'eh',)	(u'er',)	(u'ey',)	(u'f',)	(u'g',)	(u'hh',)	(u'ih',)	(u'iy',)	(u'jh',)	(u'k',)	(u'l',)	(u'm',)	(u'n',)	(u'ng',)	(u'ow',)	(u'oy',)	(u'p',)	(u'r',)	(u's',)	(u'sh',)	(u't',)	(u'th',)	(u'uh',)	(u'uw',)	(u'v',)	(u'w',)	(u'y',)	(u'z',)	(u'zh',)
(u'aa',)	0	0	0	0	0	0	0	0	0.0	0.36455	0	0	0	0	0	0	0	0	0	0	0.04755	0.0951	0.0634	0.0384928571429	0	0	0	0.0211333333333	0.0	0.0951	0	0.00243846153846	0	0	0	0	0	0	0.0	0
(u'ae',)	0	0	0	0	0	0	0.5072	0.14265	0	0.7291	0.14265	0	0	0	0.0	0	0	0	0	0	0.0634	0	0.0634	0.00748472222222	0	0	0	0.0634	0.0	0.0135857142857	0	0.000660416666667	0	0	0	0.00243846153846	0.4121	0	0.0	0
(u'ah',)	0	0	0	0	0	0	0	0	0.0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0.0	0.0	0.0	0	0	0.0	0	0.0	0.0	0.0	0	0	0	0.0	0	0	0.0	0
(u'ao',)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0.0	0.0	0	0	0.0	0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0.0	0
(u'aw',)	0	0	0	0	0	0	0	0	0	1	0	0	0.00634	0	0	0	0	0.317	0	0	0	0	0	0.134725	0	0.0634	0	0	0	0.0317	1	0.00487692307692	0.0	0	0	0	0	0	0	0
(u'ax',)	0	1	0.0	0	0	0	1	0.0248086956522	0.0	0.0810111111111	0.5706	0	0	0	0.0	0.01268	0.07925	0	0	0.1902	0.0200210526316	0.00514054054054	0.01268	0.0371655172414	0.0	0.0317	0	0.0115272727273	0.0	0.00951	1	0.00487692307692	0.0	0	0	0.0211333333333	0.0686833333333	0	0.0	0
(u'ay',)	0	0.5389	0	0	0	0.0317	0	0.5706	0	0.112169230769	0.5706	0	0.0634	0	0.0	0.0211333333333	0.07925	0	0	0	0.0292615384615	0.0951	0.0140888888889	0.134725	0	0	0	0	0	0.0951	1	0.01585	0.0	0	0	0.0634	0.274733333333	0	0.0	0
(u'b',)	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0	0.0	0.0	0.0	0	0	0	0.0	0.0	0	0	0.0	0	0	0	0.0	0	0	0.0	0.0	0	0	0	0.0	0	0	0	0.0	0	0
(u'ch',)	0	0	0.0	0	0	0.0	0.0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0
(u'd',)	0.087175	1	0.0	0.0581166666667	0.0	0.0387444444444	1	1	0	1	0.261525	0	0.0581166666667	0.0	0.0	0	0.249071428571	0.10896875	0.06974	0.52305	0.6974	1	0.087175	0.846842857143	0	0.0249071428571	0	0.232466666667	0.0	0.149442857143	0.996285714286	0.0498142857143	0	0	0.0	0	1	1	0.0	0
