	(u'aa',)	(u'ae',)	(u'ah',)	(u'ao',)	(u'aw',)	(u'ax',)	(u'ay',)	(u'b',)	(u'ch',)	(u'd',)	(u'dh',)	(u'eh',)	(u'er',)	(u'ey',)	(u'f',)	(u'g',)	(u'hh',)	(u'ih',)	(u'iy',)	(u'jh',)	(u'k',)	(u'l',)	(u'm',)	(u'n',)	(u'ng',)	(u'ow',)	(u'oy',)	(u'p',)	(u'r',)	(u's',)	(u'sh',)	(u't',)	(u'th',)	(u'uh',)	(u'uw',)	(u'v',)	(u'w',)	(u'y',)	(u'z',)
(u'aa',)	0	0	0	0	0	0	0	0.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0	0.0	0.0	0	0	0	0	0	0	0.0
(u'ae',)	0	0	0	0	0	0	0	0	0.0	0.17355	1	0	0	0	0.046725	0.03115	0	0	0	0	0.015575	0	0.09345	0.0183235294118	0	0	0	0.046725	0	0.07476	0	0.0029203125	0.0	0	0	0.015575	1	0	0.0
(u'ah',)	0	0	0	0	0	0	0	0.0	0.0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0	0	0.0	0	0.0	0.0	0.0	0	0	0	0.0	0	0	0.0
(u'ao',)	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0.0	0.0	0	0	0.0	0	0	0	0.0	0	0	0.0	0.0	0	0	0	0	0	0.0
(u'aw',)	0	0	0	0	0	0	0	0	0.0	0.202475	0	0	0.0	0	0	0	0	0	0	0.0623	0	0.2492	0	0.0623	0	0	0	0	0	0.0207666666667	0	0.001946875	0	0	0	0	0	0	0
(u'ax',)	0	1	0.0	0.0	0	0	1	0.0573815789474	0	0.188976666667	1	0	0	0	0.03115	0.0242277777778	0.1635375	0.65415	0	0.4361	0.0181708333333	0.0562709677419	0.047402173913	0.0495568181818	0.0	1	0	0.09345	0.0726833333333	0.0918105263158	1	0.013628125	0.0	0	0	0.109025	0.61054	1	0.0
(u'ay',)	0	0	0	0	0	0.3738	1	0.623	0	0.134983333333	0	0	0	0	0.1246	0.0623	0.0623	0.3738	0	0	0.0089	0.166133333333	0.03115	0.15575	0	0	0	0.1246	0	0.2492	1	0.0207666666667	0.0	0	0	0.0623	0.290733333333	0	0
(u'b',)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0.0	0.0	0	0	0	0.0	0.0	0	0	0.0	0	0	0	0	0.0	0	0.0	0	0	0	0	0.0	0.0	0	0	0	0
(u'ch',)	0	0.4361	0	0	0	0.0233625	0.7476	0.3115	0	0	0	0	0.0	0.0	0	0	0	0.046725	0	0	0.03115	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0
(u'd',)	0.3115	1	0.0	0.0	0.0	0.127431818182	1	1	0	1	0.594681818182	0.46725	0.0	0.0	0.46725	0.233625	0.20025	0.09345	0.0	0	0.46725	1	0	0.6675	0	0.389375	0	1	0.1168125	0.9345	1	0.06675	0.0	0	0.0	0.233625	1	1	0.0
(u'dh',)	0	0.0145366666667	0	0	0	0.00129791666667	0	0	0	0	0.08722	0.00389375	0.0	0.0	0.03115	0	0.046725	0.046725	0.0	0	0	0	0	0	0	0.15575	0	0	0.0623	0	0	0	0	0	0	0	0	0.52955	0.0
(u'eh',)	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0.0	0.0	0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0.0	0	0	0.0
(u'er',)	0.4361	0.763175	0	0	0.0	0.327075	1	0.726833333333	0.0	0.35433125	0.4361	0.21805	0	0	0.109025	0	0.1635375	0.21805	0.0	0	0.21805	0.34888	0.545125	0.726833333333	0	1	0	0.327075	0.4361	0.21805	1	0.0198227272727	0.0	0	0	0.21805	1	0	0.0
(u'ey',)	0	1	0	0	0	0.13083	0	0.242277777778	0	1	0	0	0	0	0	0.21805	0.65415	0.327075	0	0.4361	0.02725625	0.8722	0.2725625	0.726833333333	0	0	0	0.65415	0	0.290733333333	1	0.0545125	0	0	0	0.21805	1	0	0.0
(u'f',)	0	0.290733333333	0.0	0.0	0	0.09345	1	0	0	0	0	0	0.0	0.0	0	0.0623	0	0	0.0	0	0	0.2492	0	0	0	0.0519166666667	0	0.1869	0.1246	0.2492	0.706066666667	0.03115	0	0	0.0	0	0	0	0
(u'g',)	0.03115	0	0	0	0.0	0.046725	0	0	0	0	0	0.00519166666667	0.0	0	0	0	0.046725	0.03115	0.0	0	0	0	0	0	0	0.0389375	0	0	0.0103833333333	0	0	0	0	0.0	0.0	0	0	0	0.0
(u'hh',)	0	0.0	0	0	0.0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0.0	0	0	0	0
(u'ih',)	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0.0	0.0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0	0	0.0	0.0	0.0	0.0	0.0	0	0	0	0.0	0	0	0.0
(u'iy',)	0.7476	1	0.0	0.0	0.0	0.1869	1	1	0	0.2314	1	0.3738	0.0	0.0	0	0.0623	0.1869	0.22428	0.0	0.3738	0.0534	0.2492	0.169909090909	0.143769230769	0	1	0	0.1869	0.0830666666667	0.19936	1	0.07476	0.0	0	0	0	0.275431578947	1	0.0
(u'jh',)	0	0.145366666667	0.0	0	0	0.09345	0	0	0	0	0	0.015575	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0.4361	0	0
(u'k',)	0.21805	0.763175	0.0	0.0	0.0	0.0594681818182	1	0	0.0	0	1	0.109025	0.0	0.0	0.21805	0	0.327075	0.09345	0.0	0	0.109025	0.21805	0	0	0	0.545125	0	0	0.21805	0.069776	1	0.015575	0	0.0	0	0	1	1	0
