aab ஹ
aan ஺
aar ஻
ae ஼
aek ஽
aen ா
aend ி
aernt ீ
aesk ு
aet ூ
aez ௃
ah ௄
ahn ௅
ahp ெ
ahv ே
ao ை
aof ௉
aol ொ
aor ோ
aw ௌ
awnd ்
awt ௎
ax ௏
axg ௐ
axk ௑
axl ௒
axm ௓
axn ௔
axng ௕
axns ௖
axnt ௗ
axp ௘
axt ௙
axts ௚
axv ௛
ay ௜
ayd ௝
ayl ௞
aym ௟
ayv ௠
ayz ௡
baa ௢
baaks ௣
baarz ௤
baek ௥
bah ௦
bahgz ௧
baht ௨
bawt ௩
bax ௪
baxl ௫
baxndz ௬
bay ௭
bey ௮
bih ௯
bihg ௰
bihl ௱
bihn ௲
biht ௳
biy ௴
biyz ௵
blaaks ௶
bliy ௷
boy ௸
boyz ௹
brahsh ௺
brawz ௻
buh ௼
buhk ௽
buhks ௾
byax ௿
chax ఀ
chaxn ఁ
chaxng ం
chehr ః
chehrz ఄ
chihl అ
chiyks ఆ
dahn ఇ
dahz ఈ
dahznt ఉ
daor ఊ
daorz ఋ
dawn ఌ
dax ఍
daxn ఎ
daxng ఏ
day ఐ
deh ఑
der ఒ
dey ఓ
deyz ఔ
dhaen క
dhaet ఖ
dhaets గ
dhax ఘ
dhaxng ఙ
dhaxs చ
dhaxt ఛ
dhehm జ
dhehn ఝ
dhehr ఞ
dher ట
dherz ఠ
dhey డ
dhihs ఢ
dhiyz ణ
dhow త
dhowz థ
dih ద
dihd ధ
dihdnt న
diy ఩
dow ప
downt ఫ
drae బ
draxn భ
dreh మ
drehs య
drehst ర
duw ఱ
eh ల
ehgz ళ
ehls ఴ
ehn వ
er శ
erz ష
ey స
fae హ
faekt ఺
fah ఻
faolt ఼
faor ఽ
fax ా
faxn ి
faynd ీ
fehlt ు
fer ూ
feys ృ
fih ౄ
fiy ౅
fiyl ె
flaor ే
flaw ై
fown ౉
frahm ొ
fray ో
freyz ౌ
fuhl ్
fuwl ౎
fyuwz ౏
fyuwzd ౐
gaa ౑
gaat ౒
gahmz ౓
gax ౔
gaxn ౕ
geh ౖ
gehn ౗
gehs ౘ
geht ౙ
gehts ౚ
gerl ౛
gerlz ౜
geymz ౝ
gih ౞
gow ౟
gowz ౠ
graend ౡ
gruwp ౢ
guhd ౣ
gwax ౤
gwaxsh ౥
gwaxsht ౦
hhaard ౧
hhae ౨
hhaed ౩
hhaend ౪
hhaendz ౫
hhaet ౬
hhaev ౭
hhaez ౮
hhaeznt ౯
hhah ౰
hhahz ౱
hhaw ౲
hhaws ౳
hhay ౴
hhehlp ౵
hhehlpt ౶
hher ౷
hhey ౸
hhihr ౹
hhiht ౺
hhiy ౻
hhowl ౼
hhowldz ౽
hhowlz ౾
hhowm ౿
ih ಀ
ihf ಁ
ihk ಂ
ihn ಃ
ihng ಄
ihrz ಅ
iht ಆ
ihts ಇ
ihz ಈ
iy ಉ
iyt ಊ
iyts ಋ
jhahst ಌ
jhax ಍
jhaxz ಎ
jheh ಏ
jhiynz ಐ
kaa ಑
kaan ಒ
kaar ಓ
kaaz ಔ
kae ಕ
kaen ಖ
kaent ಗ
kah ಘ
kahm ಙ
kao ಚ
kaol ಛ
kaolz ಜ
kaoz ಝ
kax ಞ
kaxn ಟ
kaxnd ಠ
kaxng ಡ
kaynd ಢ
keh ಣ
kerz ತ
key ಥ
keyjh ದ
kih ಧ
kihdz ನ
kihst ಩
kiyz ಪ
klae ಫ
klaymz ಬ
klow ಭ
kowm ಮ
krey ಯ
krihb ರ
kuh ಱ
kuhd ಲ
kwayt ಳ
kyuwt ಴
laat ವ
laest ಶ
laong ಷ
laxng ಸ
lay ಹ
layk ಺
layks ಻
laykt ಼
leh ಽ
leht ಾ
lehts ಿ
ler ೀ
lernd ು
ley ೂ
lih ೃ
liy ೄ
liyv ೅
liyvz ೆ
luhk ೇ
luhkt ೈ
maa ೉
mae ೊ
mah ೋ
mahch ೌ
maor ್
max ೎
maxn ೏
maxnt ೐
may ೑
mayt ೒
mer ೓
mey ೔
meyd ೕ
meyk ೖ
meyks ೗
meyn ೘
mih ೙
miy ೚
miyl ೛
mowst ೜
naat ೝ
naen ೞ
nah ೟
naw ೠ
nax ೡ
naxl ೢ
naxng ೣ
naxt ೤
naxts ೥
nays ೦
neh ೧
nehkst ೨
ner ೩
ners ೪
ney ೫
nihng ೬
niy ೭
now ೮
nowz ೯
nuw ೰
ow ೱ
own ೲ
owt ೳ
paart ೴
paarts ೵
pae ೶
