	(u'aa',)	(u'ae',)	(u'ah',)	(u'ao',)	(u'aw',)	(u'ax',)	(u'ay',)	(u'b',)	(u'ch',)	(u'd',)	(u'dh',)	(u'eh',)	(u'er',)	(u'ey',)	(u'f',)	(u'g',)	(u'hh',)	(u'ih',)	(u'iy',)	(u'jh',)	(u'k',)	(u'l',)	(u'm',)	(u'n',)	(u'ng',)	(u'ow',)	(u'oy',)	(u'p',)	(u'r',)	(u's',)	(u'sh',)	(u't',)	(u'th',)	(u'uh',)	(u'uw',)	(u'v',)	(u'w',)	(u'y',)	(u'z',)
(u'aa',)	0	0	0	0	0	0	0	0	0	0.07254	0	0	0	0	0	0	0	0	0	0.0	0.1360125	0	0.0	0.00863571428571	0	0	0	0	0.0	0	0	0.10075	0	0	0	0	0	0	0.0
(u'ae',)	0	0	0	0	0	0	0	0	0	0.0345428571429	0	0	0	0	0	0	0.6045	0	0	0	0	0.0633285714286	0	0.00537333333333	0	0	0	0	0	0	0	0.00806	0	0	0	0.0	0	0.5239	0.0
(u'ah',)	0	0	0	0	0	0	0	0	0.0	0	0.5239	0	0	0	0	0	0	0	0	0	0	0	0.0	0.02015	0.0	0	0	0.107466666667	0	0.0806	0.02015	0.00530263157895	0	0	0	0	0	0	0.0
(u'ao',)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0
(u'aw',)	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14105	0	0	0	0	0	0.02015	0	0	0	0	0	0.0806	0	0.0143928571429	0	0	0	0	0	0	0
(u'ax',)	0	0	0	0	0	0	0	0.0	0	0.0	0.0	0	0	0	0.0	0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0	0.0	0	0	0	0	0.0	0	0
(u'ay',)	0	0	0	0	0	0	0	0	0	0.04836	0.5239	0	0	0	0	0	0	0	0	0.0	0	0.0738833333333	0.0	0	0	0	0	0	0	0.0537333333333	0	0.0671666666667	0.0	0	0	0	0	0	0.0
(u'b',)	0	0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0.0	0	0	0	0.0	0.0	0	0	0.0	0	0	0	0	0.0	0	0.0	0	0	0	0	0.0	0.0	0	0	0	0
(u'ch',)	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(u'd',)	0.0	0.010075	0.0	0.0	0.0	0.0806	0	0.2418	0	0	0.26195	0.0	0	0	0	0	0.30225	0.01763125	0.0	0	0	0	0	0.02015	0	0.3224	0	0	0.0	0.0806	0	0.10075	0	0	0.0	0	0	0.26195	0
(u'dh',)	0	0.0	0	0	0	0.0	0	0	0	0	0.0	0.0	0.0	0	0	0	0.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(u'eh',)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0.0	0.0	0	0.0	0	0	0	0	0	0	0
(u'er',)	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0.0	0	0.0	0	0	0	0.0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0.0
(u'ey',)	0	0	0	0	0	0	0	0.8463	0	0.8463	0	0	0	0	0	0	0.70525	0.98735	0	0	0.211575	0	0	0.2821	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
(u'f',)	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0	0	0	0
(u'g',)	0.0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0.0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0
(u'hh',)	0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0	0.0	0.0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0
(u'ih',)	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0.0	0.0	0	0.0	0	0	0	0.0	0	0	0.0
(u'iy',)	0.0	0.574275	0	0	0.0	0.7657	0.4785625	1	0	0.2871375	1	0	0	0	0	0	0.957125	0	0	0	0.344565	1	0.0	0.191425	0	0	0	1	0	0	0	0.23928125	0	0	0	0	1	0	0.0
(u'jh',)	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(u'k',)	0.0	0.0231132352941	0.0	0	0	0.174633333333	0	0	0	0	0.42566875	0.0	0	0.0130975	0	0	0	0.114603125	0	0	1	1	0.0	0	0	1	0	0	0	0.130975	0	0	0	0	0	0	1	0	0
(u'l',)	0.0	0	0	0	0	0.02015	0.2015	0.4836	0	0.2418	0.5239	0.0	0	0.02015	0	0	0	0.14105	0.0	0	0.1209	0.4433	0.0	0	0	0.0921142857143	0	0.3224	0	0	0	0	0	0.0	0.0	0	0	0	0
(u'm',)	0.0	0.272025	0.0	0.0	0.0	0.090675	0.30225	0	0	0.54405	0	0	0	0	0	0	0	0.3173625	0.0	0	0	0.997425	0	0	0	0	0	0	0.0	0.06045	0	0	0	0	0	0	0	0	0
(u'n',)	0.0	0.3627	0.0	0	0.0	0.09672	0.6045	0	0	0.3627	0.224528571429	0	0	0	0	0	0	0.8463	0.0	0	0	0	0	0	0	1	0	0	0	0.4836	0	0.06045	0	0	0	0	0	0.130975	0
(u'ng',)	0	0	0	0	0	0	0	0.1209	0	0	0	0	0	0	0	0.050375	0	0	0	0	0.02266875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0
(u'ow',)	0.0	0.3173625	0	0	0	0	1	1	0	0.42315	0	0	0	0	0	0	0	0	0	0	0.1904175	1	0.0	0.070525	0	1	0	0.42315	0	0	0	0	0	0	0	0.0	1	1	0
(u'oy',)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.050375	0	0	0	0	0.34255	0	0.0
(u'p',)	0	0	0	0	0	0.0268666666667	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0.110825	0	0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0
(u'r',)	0.0	0	0.0	0	0	0.6045	0.50375	0	0	0.453375	1	0.0	0	0	0	0	1	0.151125	0.0	0	0	0	0.0	0	0	1	0	0	0	0.6045	0	0	0	0	0	0	0	0.3274375	0.0
(u's',)	0.0	0	0.0	0.0	0	0.0638083333333	0	0	0	1	0.165901666667	0	0	0.0319041666667	0.957125	0	0.957125	0.446658333333	0.0	0	0.574275	0	0.0	0	0	1	0	0	0.0	0.7657	0.191425	0.4785625	0	0	0	0	0	0	0
(u'sh',)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0
(u't',)	0.0	0	0.0	0.0	0.0	0.1054	0	0	0	0.6851	0.445315	0.0	0.0	0.0856375	1	0.34255	0.570916666667	0.18445	0.0	0	1	0	0.0	0.34255	0	0	0.0	0	0.0	0.0456733333333	0.34255	0.285458333333	0.0	0	0.0	0	1	0	0
(u'th',)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(u'uh',)	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0
(u'uw',)	0	0	0	0	0	0	1	1	0	0.3627	1	0	0	0	0.30225	0.0863571428571	0	0.42315	0	0	1	0	0.0	0.1209	0	0	0	0	0	0.1612	0	0.6045	0	0	0	0	0.6851	1	0.0
(u'v',)	0	0	0	0	0	0.0	0	0	0	0	0	0	0.0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(u'w',)	0.0	0	0.0	0	0	0	0.0	0	0	0	0	0.0	0.0	0.0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0
(u'y',)	0.0	0.0	0	0.0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0
(u'z',)	0.0	0.06045	0	0	0	0.0268666666667	0	0	0	0.06045	0.0873166666667	0	0	0	0	0	0.151125	0.02821	0	0	0	0	0	0.0403	0	0	0	0.1612	0.0	0.0806	0	0	0.0	0	0	0	0	0	0
