aa ஹ
aad ஺
aan ஻
aanz ஼
aap ஽
aar ா
aarf ி
aarm ீ
aarmz ு
ae ூ
aef ௃
aek ௄
ael ௅
aem ெ
aen ே
aend ை
aent ௉
aents ொ
aernt ோ
aesk ௌ
aet ்
aets ௎
aez ௏
ah ௐ
ahn ௑
ahng ௒
ahp ௓
ahs ௔
ahv ௕
ao ௖
aof ௗ
aol ௘
aor ௙
aw ௚
awch ௛
awl ௜
awlz ௝
awnd ௞
awt ௟
ax ௠
axbks ௡
axd ௢
axjhd ௣
axk ௤
axl ௥
axlz ௦
axm ௧
axn ௨
axng ௩
axnt ௪
axnz ௫
axp ௬
axr ௭
axs ௮
axt ௯
axv ௰
axz ௱
ay ௲
ayd ௳
ayl ௴
aym ௵
ays ௶
ayv ௷
ayz ௸
baa ௹
baab ௺
baaks ௻
baan ௼
baark ௽
baarz ௾
bae ௿
baed ఀ
baegz ఁ
baek ం
baeng ః
baengk ఄ
baet అ
baeth ఆ
bah ఇ
bahg ఈ
bahgz ఉ
bahm ఊ
baht ఋ
baol ఌ
baolz ఍
baot ఎ
baw ఏ
bawt ఐ
bawz ఑
bax ఒ
baxd ఓ
baxl ఔ
baxld క
baxlz ఖ
baxn గ
baxt ఘ
baxts ఙ
bay చ
bayt ఛ
bayts జ
beh ఝ
behd ఞ
behl ట
behst ఠ
beht డ
ber ఢ
berd ణ
bert త
berth థ
berz ద
bey ధ
beys న
bih ఩
bihb ప
bihg ఫ
bihl బ
bihld భ
bihlt మ
bihn య
bihrd ర
biht ఱ
bihts ల
biy ళ
biych ఴ
biynz వ
biyz శ
blaa ష
blaak స
blaaks హ
blaek ఺
blehs ఻
bliy ఼
blow ఽ
bluw ా
bowl ి
bownz ీ
bowt ు
bowth ూ
boy ృ
boyz ౄ
brah ౅
brahsh ె
brax ే
breh ై
brehk ౉
breyk ొ
breyn ో
brihjh ౌ
brihng ్
briyz ౎
buhk ౏
buhks ౐
buw ౑
buwb ౒
buwbz ౓
buwm ౔
byuw ౕ
