aan ஹ
aanz ஺
aar ஻
ae ஼
aen ஽
aend ா
aernt ி
aet ீ
aez ு
ah ூ
ahn ௃
ahp ௄
ahs ௅
ahv ெ
ao ே
aof ை
aol ௉
aor ொ
aw ோ
awnd ௌ
awt ்
ax ௎
axl ௏
axn ௐ
axng ௑
axv ௒
axz ௓
ay ௔
ayl ௕
aym ௖
ays ௗ
ayv ௘
ayz ௙
baaks ௚
baarz ௛
baed ௜
baek ௝
baeng ௞
bah ௟
bahg ௠
bahgz ௡
bahm ௢
baht ௣
baol ௤
bawt ௥
bawz ௦
bax ௧
baxl ௨
baxld ௩
baxt ௪
bay ௫
bayt ௬
bayts ௭
beh ௮
behd ௯
behst ௰
beht ௱
ber ௲
berz ௳
bey ௴
bihb ௵
bihg ௶
bihl ௷
bihld ௸
biht ௹
biy ௺
biyz ௻
blaa ௼
blaak ௽
blaaks ௾
bliy ௿
boy ఀ
boyz ఁ
brahsh ం
brehk ః
breyn ఄ
buhk అ
buhks ఆ
buw ఇ
buwm ఈ
chaamp ఉ
chayld ఊ
chehr ఋ
chehrz ఌ
cheynjh ఍
chih ఎ
chihk ఏ
chihl ఐ
chiy ఑
chiyp ఒ
daa ఓ
daal ఔ
daar క
dae ఖ
daen గ
daens ఘ
dahb ఙ
dahk చ
dahmp ఛ
dahz జ
dahznt ఝ
dao ఞ
daog ట
daor ఠ
dawn డ
dax ఢ
daxng ణ
day త
der థ
derz ద
dey ధ
dhaen న
dhaet ఩
dhaets ప
dhax ఫ
dhaxs బ
dhaxt భ
dhehm మ
dhehn య
dhehr ర
dher ఱ
dherz ల
dhey ళ
dhihs ఴ
dhiyz వ
dhowz శ
dih ష
dihd స
dihdnt హ
diy ఺
diyz ఻
downt ఼
drae ఽ
draxn ా
drihng ి
duw ీ
eh ు
ehls ూ
ehm ృ
ehn ౄ
ehs ౅
er ె
erd ే
erz ై
ey ౉
eych ొ
eyt ో
faar ౌ
fao ్
faol ౎
faor ౏
faxl ౐
faxn ౑
faxnt ౒
faxst ౓
fay ౔
fayv ౕ
fehl ౖ
feys ౗
fihng ౘ
fiy ౙ
flaw ౚ
flay ౛
flayz ౜
fown ౝ
frahm ౞
frehnd ౟
freyd ౠ
fuhl ౡ
fuwd ౢ
gaa ౣ
gaan ౤
gaat ౥
gaon ౦
gaxn ౧
gay ౨
geh ౩
gehs ౪
geht ౫
gehts ౬
ger ౭
gerl ౮
geyv ౯
gih ౰
gihv ౱
giy ౲
giyz ౳
gow ౴
gowz ౵
goyn ౶
griy ౷
guhd ౸
hhaap ౹
hhae ౺
hhaed ౻
hhaend ౼
hhaendz ౽
hhaet ౾
hhaev ౿
hhaez ಀ
hhah ಁ
hhahm ಂ
hhahmp ಃ
hhahng ಄
hhaw ಅ
hhaws ಆ
hhawz ಇ
hhax ಈ
hhaxv ಉ
hhay ಊ
hhehlp ಋ
hhehr ಌ
hher ಍
hhey ಎ
hheyt ಏ
hhihm ಐ
hhihr ಑
hhihrz ಒ
hhihz ಓ
hhiy ಔ
hhiyl ಕ
hhiyz ಖ
hhowl ಗ
hhowld ಘ
hhowm ಙ
hhowp ಚ
hhuwz ಛ
ihf ಜ
ihm ಝ
ihn ಞ
ihrz ಟ
iht ಠ
ihts ಡ
ihz ಢ
ihznt ಣ
iy ತ
iyt ಥ
jhahmp ದ
jhahst ಧ
jhaxz ನ
jherz ಩
jhihn ಪ
jhiy ಫ
jhiyz ಬ
jhuws ಭ
kaa ಮ
kaen ಯ
kaent ರ
kahm ಱ
kahp ಲ
kahps ಳ
kaol ಴
kaolz ವ
kaoz ಶ
kaw ಷ
kawnt ಸ
kawz ಹ
kax ಺
kaxlz ಻
kaxm ಼
kaxng ಽ
kaxt ಾ
kaynd ಿ
kehr ೀ
ker ು
key ೂ
keyjh ೃ
keym ೄ
kih ೅
kihn ೆ
kihng ೇ
kihs ೈ
kiy ೉
klaa ೊ
klaxs ೋ
kliy ೌ
klows ್
klowz ೎
klowzd ೏
kow ೐
krey ೑
kriym ೒
kuhd ೓
kuhdnt ೔
kuwn ೕ
kwaek ೖ
kyuwm ೗
laats ೘
laest ೙
lahv ೚
laong ೛
lax ೜
laxng ೝ
laxs ೞ
lay ೟
layk ೠ
leh ೡ
lehk ೢ
leht ೣ
lehts ೤
ley ೥
lih ೦
liy ೧
liyv ೨
low ೩
luh ೪
luhk ೫
luhks ೬
luwn ೭
luwnz ೮
luws ೯
maa ೰
mah ೱ
mahch ೲ
maor ೳ
maw ೴
mawdhz ೵
mawth ೶
max ೷
maxl ೸
maxng ೹
may ೺
mayt ೻
mehm ೼
mey ೽
meyk ೾
mih ೿
miy ഀ
miyn ഁ
miyz ം
muw ഃ
muwv ഄ
naat അ
nah ആ
nahm ഇ
naw ഈ
nax ഉ
naxs ഊ
naxt ഋ
nayn ഌ
nays ഍
neh എ
nehk ഏ
ner ഐ
neym ഑
nihng ഒ
niy ഓ
niyd ഔ
niyz ക
now ഖ
nowp ഗ
nowz ഘ
nuw ങ
nuwt ച
ow ഛ
own ജ
oyngk ഝ
paa ഞ
paak ട
paap ഠ
pae ഡ
paents ഢ
pah ണ
pax ത
paxl ഥ
paxn ദ
paxnd ധ
paxnz ന
paxt ഩ
per പ
perz ഫ
pey ബ
peyjh ഭ
pihk മ
piy യ
piyz ര
plehn റ
pley ല
pleys ള
pliyt ഴ
pliyz വ
pow ശ
powk ഷ
praa സ
prih ഹ
puh ഺ
puhl ഻
puhr ഼
puhsh ഽ
puht ാ
puwn ി
raa ീ
rae ു
raet ൂ
rax ൃ
raxnjh ൄ
ray ൅
rayt െ
rehd േ
rih ൈ
rihng ൉
rihp ൊ
riy ോ
row ൌ
saa ്
saaft ൎ
saak ൏
saaks ൐
saet ൑
sah ൒
sahch ൓
sahm ൔ
sao ൕ
sax ൖ
saxm ൗ
saxn ൘
saxs ൙
saxz ൚
sayd ൛
seh ൜
sehd ൝
seht ൞
sehz ൟ
sey ൠ
seym ൡ
sh ൢ
shert ൣ
shiy ൤
shiyz ൥
show ൦
showl ൧
shuhd ൨
shuw ൩
shuwz ൪
sih ൫
sihks ൬
siht ൭
siy ൮
skaach ൯
skehrz ൰
sliy ൱
smehl ൲
snaep ൳
sow ൴
spaengk ൵
spaengkt ൶
spehn ൷
speys ൸
spuwn ൹
staend ൺ
stahf ൻ
stahk ർ
staxd ൽ
stihk ൾ
stihl ൿ
stihng ඀
suw ඁ
suwp ං
swih ඃ
taa ඄
taang අ
taap ආ
taecht ඇ
tah ඈ
tahch ඉ
tahm ඊ
tahng උ
tao ඌ
taok ඍ
tax ඎ
taxl ඏ
taxn ඐ
taxng එ
tay ඒ
taym ඓ
teh ඔ
tehl ඕ
tehn ඖ
ter ඗
tern ඘
teyk ඙
thaengk ක
thaot ඛ
thawt ග
thaxng ඝ
thihng ඞ
thihngk ඟ
thihngz ච
thriy ඡ
thriyz ජ
thruw ඣ
tiy ඤ
tiyth ඥ
tiyz ඦ
toy ට
toyz ඨ
trah ඩ
trax ඪ
traxk ණ
tray ඬ
trihp ත
tuw ථ
twiyn ද
uw ධ
uwps න
vae ඲
vaxn ඳ
vaxng ප
veh ඵ
ver බ
vriy භ
waa ම
waach ඹ
waan ය
waant ර
waants ඼
waaz ල
wahn ඾
waht ඿
wahts ව
waol ශ
waw ෂ
waxdh ස
way හ
wehl ළ
wehn ෆ
wehnt ෇
wehr ෈
wehrz ෉
werd ්
werk ෋
wey ෌
weyl ෍
weyt ෎
wih ා
wihdh ැ
wihsh ෑ
wiy ි
wiyl ී
wow ු
wownt ෕
wuhd ූ
wuw ෗
wuwf ෘ
wuwp ෙ
wuwps ේ
yaa ෛ
yae ො
yahp ෝ
yaor ෞ
yehs ෟ
yuhrz ෠
yuw ෡
yuwv ෢
yuwz ෣
zaxp ෤
zaxz ෥
zihp ෦
zihpt ෧
ziy ෨
ziyz ෩
