	(u'aa',)	(u'ae',)	(u'ah',)	(u'ao',)	(u'aw',)	(u'ax',)	(u'ay',)	(u'b',)	(u'ch',)	(u'd',)	(u'dh',)	(u'eh',)	(u'er',)	(u'ey',)	(u'f',)	(u'g',)	(u'hh',)	(u'ih',)	(u'iy',)	(u'jh',)	(u'k',)	(u'l',)	(u'm',)	(u'n',)	(u'ng',)	(u'ow',)	(u'p',)	(u'r',)	(u's',)	(u'sh',)	(u't',)	(u'th',)	(u'uh',)	(u'uw',)	(u'v',)	(u'w',)	(u'y',)	(u'z',)
(u'aa',)	0	0	0	0	0	0	0	0	0	0.205725	0	0	0	0	0.03165	0.0079125	0	0	0.0	0	0.03165	0.003165	0.0237375	0.0029671875	0	0	0.110775	0.003165	0.0633	0	0.013846875	0	0	0	0	0.2927625	0.28485	0
(u'ae',)	0	0	0	0	0	0	0	0	0.0	0.041145	0	0	0	0	0.03165	0	0	0.34815	0	0	0.1899	0	0	0.0047475	0	0	0.0553875	0	0	0	0.00452142857143	0.0	0	0	0.0	0	0	0.0
(u'ah',)	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0.22155	0.1661625	0	0	0	0	0.07385	0.02769375	0.0302113636364	0.0174907894737	0	0	0.19385625	0	0.22155	0.0	0.0198826923077	0	0	0	0.0	0	0	0.0
(u'ao',)	0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0.0	0	0	0	0	0	0.0	0	0	0.0	0	0	0	0	0.0	0	0
(u'aw',)	0	0	0	0	0	0	0	0.15825	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0.0712125	0	0	0	0	0.1899	0	0.0302113636364	0	0	0	0	1	0	0
(u'ax',)	0	0	0	0	0	0.09495	0	0.00452142857143	0	0.0146946428571	0.1899	0	0	0	0.00395625	0.047475	0.15825	0.058025	0	0	0.0135642857143	0.00121730769231	0.0079125	0.00339107142857	0.0	0.174075	0.036925	0.01055	0.00351666666667	0	0.036925	0	0	0	0	0.2927625	0.142425	0.0
(u'ay',)	0	0	0	0	0	0	0	0	0	0.205725	0	0	0	0	0	0	0	0	0	0	0.0211	0	0.047475	0.09495	0	0	0	0	0.1266	0	0.015825	0.0	0	0	0	0	0	0
(u'b',)	0	0.0237375	0.0	0	0.0	0.03165	0.0	0	0	0	0	0	0.0	0.0	0	0	0	0.021759375	0.0	0	0.09495	0	0	0	0	0.174075	0	0.015825	0	0	0	0	0.0	0.0	0	0	0	0
(u'ch',)	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(u'd',)	0	0.0553875	0.0	0.036925	0	0.1661625	0	0.2769375	0	0	0.53172	0	0.0	0.0	0.22155	0	1	0.135391666667	0.0	0.22155	0.66465	0.110775	0.332325	0.1661625	0	0.243705	0.775425	0.0553875	0.1477	0	0.3877125	0	0	0.0	0	0.819735	0.153380769231	0
(u'dh',)	0	0.0	0	0	0	0.0	0	0	0	0	0.0	0.0	0	0.0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0
(u'eh',)	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0.0	0.0	0	0.0	0	0	0	0	0	0	0
(u'er',)	0	0	0	0	0.0	0	0	0	0	1	0.9495	0	0	0	0.079125	0	0.79125	0	0	0	0.47475	0	0	0.1186875	0	0.4351875	0	0.15825	0.1055	0	0.553875	0	0	0	0	0	0	0.0
(u'ey',)	0.0	0	0	0	0	0.66465	0	1	0	1	0	0	0	0	0	0.1661625	1	0	0	0	0.332325	0	0	0.332325	0	0	0.3877125	0.22155	0.08862	0	0.155085	0	0	0	0	1	0	0.0
(u'f',)	0	0	0.0	0.0	0	0.0	0	0	0	0	0	0	0.0	0.0	0	0	0.0	0.0	0.0	0	0	0.0	0	0.0	0	0.0	0	0.0	0	0	0.0	0	0	0.0	0	0	0	0
(u'g',)	0.0	0	0.0	0	0	0	0	0.422	0	0	1	0.0633	0	0	0	0	0	1	0.0	0	0	0	0	0	0	0.198942857143	0	0	0	0	0	0	0.0	0	0	0	0	0
(u'hh',)	0	0.0	0.0	0	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0.0	0.0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0	0	0	0
(u'ih',)	0	0	0	0	0	0	0	0.0	0	0.0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0	0	0	0.0	0	0	0.0
(u'iy',)	0.0	1	0	0	0	0.325542857143	0	0	0	0.3798	1	0	0	0	0.1266	0.5697	1	0.6963	0	0	0.2532	0.3798	0	1	0	1	0.53172	0	0.217028571429	0	0.4431	0	0	0	0	1	1	0.0
(u'jh',)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0
(u'k',)	0	0.05697	0.0	0.05697	0	0.0517909090909	0	0	0	0	0.45576	0	0	0.0	0.1899	0.28485	1	0.522225	0.0	0	0.28485	0.047475	0	0.142425	0	0	0	0.03165	0.03165	0	0.13293	0	0.0	0.0	0	1	0.85455	0
(u'l',)	0.0	0.47475	0.0	0	0.0	0	0.0	0.395625	0	0.205725	0.9495	0.079125	0.0	0.0	0.15825	0	0.79125	0	0.0	0	0.47475	0	0	0	0	0.290125	0.553875	0.05275	0.15825	0	0.553875	0	0	0.0	0	0	0	0.0
