	(u'aa',)	(u'ae',)	(u'ah',)	(u'ao',)	(u'aw',)	(u'ax',)	(u'ay',)	(u'b',)	(u'ch',)	(u'd',)	(u'dh',)	(u'eh',)	(u'er',)	(u'ey',)	(u'f',)	(u'g',)	(u'hh',)	(u'ih',)	(u'iy',)	(u'jh',)	(u'k',)	(u'l',)	(u'm',)	(u'n',)	(u'ng',)	(u'ow',)	(u'oy',)	(u'p',)	(u'r',)	(u's',)	(u'sh',)	(u't',)	(u'th',)	(u'uh',)	(u'uw',)	(u'v',)	(u'w',)	(u'y',)	(u'z',)
(u'aa',)	0	0	0	0	0	0	0	0	0	0.1407	0	0	0	0	0	0	0	0	0	0	0.0104222222222	0.1582875	0.02345	0.00335	0	0	0	0	0.00390833333333	0	0	0	0	0	0	0	0	0	0
(u'ae',)	0	0	0	0	0	0	0	0	0.0	0.3283	0.82075	0	0	0	0	0.0298454545455	0	0	0	0	0.16415	0	0.16415	0.09849	0	0	0	0	0	0	0	0.0193117647059	0	0	0	0.0273583333333	0	0	0
(u'ah',)	0	0	0	0	0	0	0	0	0.0	0	0.58625	0	0	0	0	0.469	0	0	0	0	0.469	0	0.0293125	0.05025	0.0	0	0	0.7035	0	0	0.0	0.0360769230769	0	0	0	0.11725	0	0	0
(u'ao',)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0.0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0
(u'aw',)	0	0	0	0	0	0	0	0.0469	0	0	0	0	0.0	0	0	0	0.199325	0	0	0	0.0938	0.316575	0	0.01005	0	0	0	0	0	0.035175	0	0.0067	0	0	0	0	0	0	0
(u'ax',)	0	0	0.011725	0	0	0	0	0.00134	0.0	0.00611739130435	0.11725	0	0	0	0.00469	0.0058625	0.024915625	0	0.0	0	0.0134	0.0527625	0.0058625	0.005025	0.0	0	0	0.07035	0.001675	0.01231125	0	0.0156333333333	0	0	0	0	0	0	0
(u'ay',)	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0.0	0.0	0	0.0	0	0	0	0	0.0	0	0.0
(u'b',)	0.0	0.0	0.0	0	0.0	0.0	0	0	0	0	0	0	0.0	0	0	0	0	0	0.0	0	0	0.0	0	0	0	0	0.0	0	0.0	0	0	0	0	0.0	0.0	0	0	0	0
(u'ch',)	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(u'd',)	0.0293125	0.0	0.0293125	0.00617105263158	0.0	0.01465625	0	0	0	0	0.58625	0	0	0.0	0.11725	0	0	0	0.0	0.0	0	0	0	0	0	0.469	0	0	0.0058625	0	0	0	0	0	0	0	0	0.273583333333	0
(u'dh',)	0	0.0	0	0	0	0.0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(u'eh',)	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0.0	0	0.0	0	0	0	0	0	0	0
(u'er',)	0	0	0	0	0	0	0	0.0938	0	0.5628	0	0	0	0	0.0938	0	0.7973	0.0469	0	0	0	0.63315	0	0	0	0	0	0.8442	0	0.9849	0	0	0.0	0	0	0	0	0	0.0
(u'ey',)	0.0293125	0	0	0	0	0	0	0.11725	0	0	0	0	0	0	0	0	0.24915625	0.0879375	0	0.0	0.469	0.121759615385	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0
(u'f',)	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	0.0	0	0	0.0	0	0	0	0.0	0	0	0.0	0	0	0	0	0	0.0	0	0	0	0
(u'g',)	0	0	0	0	0	0.0	0	0	0	0	0	0.0	0.0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0.0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0
(u'hh',)	0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0	0.0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0.0	0	0	0	0
(u'ih',)	0	0	0	0	0	0	0	0	0	0	0.0	0	0.0	0	0	0	0	0	0	0	0.0	0	0.0	0.0	0.0	0	0	0	0.0	0.0	0	0.0	0	0	0	0.0	0	0	0.0
(u'iy',)	0.1465625	0.0	0	0	0	0.1465625	0	1	0	1	0.293125	0.293125	0	0	0.293125	0.2345	0.711875	0.4396875	0	0	0.213181818182	1	0	0.58625	0	0	0	0	0	1	0	1	0	0	0.0	0	1	1	0.0
(u'jh',)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0
(u'k',)	0	0.0	0.06566	0.6566	0	0.03283	0.0	1	0	0.9849	0.6566	0	0.0	0.0	0	0	1	0.06566	0	0	0	1	0	0	0	0	0	0	0.109433333333	0.530330769231	0	0.6566	0	0	0	0	1	1	0
(u'l',)	0.00977083333333	0.0	0	0	0.0	0.0293125	0.0	0	0	0.7035	0.1465625	0.011725	0	0.0	0	0	0.4983125	0.175875	0	0	0	0.2638125	0	0	0	0.0938	0	0.527625	0.058625	0.410375	0	0.2345	0	0.0	0.0	0	0	0	0
(u'm',)	0.0058625	0	0	0.02345	0.0	0.011725	0	0.00938	0	0.1407	0.11725	0.00781666666667	0	0.0	0	0	0.199325	0.0058625	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(u'n',)	0	0.0	0.0644875	0	0.0	0.03685	0.0	0.171966666667	0	0.61908	0.18425	0.5159	0	0	0	0	1	0	0.0	0	0	1	0	1	0	0	0	1	0	1	0	0.10318	0	0	0	0	0	1	0.0
(u'ng',)	0.058625	0	0	0	0	0	0	0	0	0.7035	0.58625	0	0	0	0	0.0469	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.0
(u'ow',)	0.0469	0	0	0	0	0	0	0	0	0	0.469	0	0	0	0	0	0	0	0	0	0.0625333333333	1	0.0938	0.07035	0	0	0	0.8442	0	0.9849	0	0.1876	0	0	0	0.0938	1	0.3283	0.0
(u'oy',)	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0
(u'p',)	0	0.0	0	0.02345	0	0.011725	0	0	0	0	0	0	0	0	0	0	0.199325	0	0.0	0	0	0.316575	0	0	0	0	0	0	0.011725	0.246225	0	0	0	0.0	0	0	0	0	0
(u'r',)	0.128975	0.0	0.03224375	0	0	0.128975	0.0	0.25795	0	0.77385	1	0.128975	0.0	0.0	0.05159	0	1	0.048365625	0.0	0	1	0	0	0	0	1	0	1	0.128975	1	0	0.25795	0	0	0.0	0	1	0	0.0
(u's',)	0	0.0	0.152425	0	0.0	0.0508083333333	0	1	0.0	1	0.4355	0	0	0.0	0.6097	1	1	0.07035	0.0	0	0.48776	0	0.30485	1	0	1	0	1	0.101616666667	1	0	0.1742	0.0	0	0	0	1	0	0
(u'sh',)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.39865	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(u't',)	0.0527625	0	0.035175	0.21105	0	0.0065953125	0.0	0.21105	0	0.1809	0.058625	0.0527625	0.0	0.0	0.21105	0	0.44848125	0.105525	0.0	0	0	1	0.07035	0	0	0.8442	0	0	0.105525	0.105525	0	0.4221	0	0	0	0	0	0.246225	0
(u'th',)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0
(u'uh',)	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0
(u'uw',)	0	0	0	0	0	0	0	0	0	0.7035	1	0	0	0	0	0	0	0	0	0	0	0.63315	0	0.7035	0	0	0	0	0.11725	1	0	0.11725	0	0	0	0	1	0	0.0
(u'v',)	0	0	0	0	0	0	0	0.0	0	0	0.0	0.0	0.0	0	0	0	0.0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0
(u'w',)	0.0	0	0.0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0
(u'y',)	0.0	0.0	0	0.0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0
(u'z',)	0	0	0	0	0	0.019053125	0	0	0.0	0.91455	0.254041666667	0.30485	0	0	0.30485	0	0.370175	0.2286375	0	0	1	0	0	0.457275	0	0	0	0	0.152425	1	0	0	0	0	0	0	1	1	0
