aad ஹ
aan ஺
aanz ஻
aar ஼
aarf ஽
ae ா
aem ி
aen ீ
aend ு
aernt ூ
aet ௃
ah ௄
ahp ௅
ahv ெ
aof ே
aol ை
aor ௉
awl ொ
awnd ோ
awt ௌ
ax ்
axl ௎
axn ௏
axng ௐ
axp ௑
axr ௒
axs ௓
axt ௔
ay ௕
ayd ௖
ayl ௗ
aym ௘
ayz ௙
baaks ௚
baan ௛
baek ௜
bah ௝
baht ௞
baolz ௟
bawt ௠
bax ௡
baxl ௢
baxn ௣
bay ௤
bayt ௥
beh ௦
behst ௧
ber ௨
berz ௩
bihg ௪
bihrd ௫
biht ௬
bihts ௭
biy ௮
blaak ௯
blaaks ௰
bowth ௱
boy ௲
brahsh ௳
breyk ௴
buhk ௵
buhks ௶
buw ௷
chehr ௸
chehrz ௹
chih ௺
chiy ௻
daa ௼
dae ௽
dah ௾
dahb ௿
dahks ఀ
dahn ఁ
dahz ం
dahznt ః
dao ఄ
daor అ
dawn ఆ
daxng ఇ
deyl ఈ
dhaet ఉ
dhaets ఊ
dhax ఋ
dhaxs ఌ
dhaxt ఍
dhehm ఎ
dhehr ఏ
dher ఐ
dherz ఑
dhey ఒ
dhiyz ఓ
dhowz ఔ
dih క
dihd ఖ
dihdnt గ
dihng ఘ
diy ఙ
diyz చ
downt ఛ
drae జ
duw ఝ
eh ఞ
ehls ట
ehm ఠ
ehnd డ
ehr ఢ
ehs ణ
er త
erd థ
erz ద
eych ధ
fah న
fahn ఩
faor ప
fawnd ఫ
faxl బ
faynd భ
fayv మ
ferst య
feyk ర
feys ఱ
fihks ల
fihng ళ
fiht ఴ
fiy వ
fiyd శ
fiyl ష
flaw స
flay హ
flayz ఺
flowt ఻
fown ఼
frahm ఽ
frehnd ా
fuwd ి
gaa ీ
gaat ు
gaon ూ
gax ృ
gaxn ౄ
gaxnz ౅
geh ె
gehn ే
gehs ై
geht ౉
ger ొ
gerl ో
gerlz ౌ
geyl ్
gih ౎
gihv ౏
giy ౐
giyz ౑
gow ౒
gowz ౓
grae ౔
graend ౕ
griy ౖ
griyn ౗
guhd ౘ
hhae ౙ
hhaend ౚ
hhaev ౛
hhaevnt ౜
hhaez ౝ
hhah ౞
hhahng ౟
hhaor ౠ
hhaw ౡ
hhaws ౢ
hhax ౣ
hhay ౤
hhehd ౥
hhehr ౦
hher ౧
hhihm ౨
hhihr ౩
hhihrz ౪
hhihz ౫
hhiy ౬
hhiyz ౭
hhowl ౮
hhowld ౯
hhowm ౰
hhuwz ౱
ih ౲
ihf ౳
ihn ౴
ihrz ౵
iht ౶
ihts ౷
ihz ౸
ihznt ౹
iy ౺
iyt ౻
jhaa ౼
jhahst ౽
jhow ౾
jhuw ౿
kaar ಀ
kaen ಁ
kaent ಂ
kah ಃ
kahm ಄
kahp ಅ
kahps ಆ
kao ಇ
kaol ಈ
kaoz ಉ
kaw ಊ
kawnt ಋ
kawz ಌ
kax ಍
kaxng ಎ
kaxnz ಏ
kayndz ಐ
kayz ಑
kehr ಒ
key ಓ
keyjh ಔ
kih ಕ
kihs ಖ
kiyp ಗ
kiyz ಘ
klaak ಙ
kliy ಚ
klows ಛ
klowzd ಜ
kowm ಝ
krey ಞ
kuhd ಟ
kwaek ಠ
kway ಡ
kwih ಢ
kwihk ಣ
kyuwt ತ
laats ಥ
lahnch ದ
lax ಧ
laxng ನ
layk ಩
layks ಪ
leh ಫ
lehg ಬ
leht ಭ
lehts ಮ
ler ಯ
lerz ರ
lih ಱ
lihft ಲ
lihk ಳ
liy ಴
liysh ವ
low ಶ
luh ಷ
luhk ಸ
luhkt ಹ
luwn ಺
luwnz ಻
maa ಼
maan ಽ
mae ಾ
maor ಿ
mawth ೀ
max ು
maxk ೂ
maxlz ೃ
maxz ೄ
may ೅
mayt ೆ
mehm ೇ
mey ೈ
meyk ೉
mih ೊ
mihst ೋ
miy ೌ
miyn ್
miyt ೎
miyz ೏
naat ೐
nah ೑
nahf ೒
nahm ೓
naw ೔
nax ೕ
naxng ೖ
naxs ೗
naxt ೘
nays ೙
nayt ೚
nehk ೛
nehkst ೜
ner ೝ
neym ೞ
nihng ೟
niy ೠ
niyz ೡ
now ೢ
nowz ೣ
nuwt ೤
ow ೥
own ೦
paa ೧
paents ೨
paet ೩
paol ೪
pax ೫
paxl ೬
paxn ೭
paxng ೮
paxnz ೯
per ೰
peyjh ೱ
pih ೲ
piy ೳ
piys ೴
pley ೵
pliyz ೶
prih ೷
puhl ೸
puhsh ೹
puht ೺
rae ೻
rawnd ೼
rax ೽
rayt ೾
reh ೿
rehd ഀ
rer ഁ
rey ം
rih ഃ
rihng ഄ
rihngz അ
riy ആ
ruw ഇ
sah ഈ
sahm ഉ
sax ഊ
saxm ഋ
sayd ഌ
sehz ഍
sey എ
shael ഏ
shiy ഐ
shiyz ഑
shuw ഒ
shuwz ഓ
siht ഔ
siy ക
siyn ഖ
siyz ഗ
skerz ഘ
skrae ങ
skraech ച
sliy ഛ
sliyp ജ
sliyps ഝ
smehl ഞ
sow ട
spuwn ഠ
staart ഡ
staend ഢ
stah ണ
stahk ത
staxng ഥ
ster ദ
stey ധ
stihl ന
strihngz ഩ
taa പ
tahng ഫ
taok ബ
