aa ஹ
aan ஺
aanz ஻
aar ஼
aarmz ஽
ae ா
aend ி
aernt ீ
aet ு
ah ூ
ahn ௃
ahp ௄
ahv ௅
aol ெ
aor ே
aw ை
awch ௉
awnd ொ
awt ோ
ax ௌ
axl ்
axm ௎
axn ௏
axng ௐ
axr ௑
axs ௒
axt ௓
axv ௔
axz ௕
ay ௖
ayl ௗ
aym ௘
ayz ௙
baa ௚
baab ௛
baaks ௜
bae ௝
baegz ௞
baek ௟
bah ௠
baht ௡
baw ௢
bawt ௣
bax ௤
baxt ௥
bay ௦
bayt ௧
beh ௨
behl ௩
behst ௪
beht ௫
ber ௬
bih ௭
bihg ௮
biy ௯
blaak ௰
blaaks ௱
blaek ௲
boy ௳
brahsh ௴
brax ௵
brehk ௶
brihng ௷
buhk ௸
buw ௹
chaxn ௺
chaxng ௻
chehr ௼
chehrz ௽
cher ௾
cherz ௿
chiy ఀ
chiyz ఁ
chuw ం
daa ః
daal ఄ
dae అ
dah ఆ
dahb ఇ
dahk ఈ
dahz ఉ
dao ఊ
daog ఋ
daor ఌ
dawn ఍
dax ఎ
daxm ఏ
daxng ఐ
der ఑
dey ఒ
deyn ఓ
dhaen ఔ
dhaet క
dhaets ఖ
dhax గ
dhaxs ఘ
dhaxt ఙ
dhehm చ
dhehn ఛ
dhehr జ
dher ఝ
dherz ఞ
dhey ట
dhiyz ఠ
dhowz డ
dih ఢ
dihd ణ
dihr త
diy థ
diyz ద
downt ధ
drae న
drehst ఩
duw ప
eh ఫ
ehf బ
ehls భ
ehn మ
ehs య
er ర
erd ఱ
erz ల
fahn ళ
faol ఴ
faor వ
fawnd శ
fax ష
faxl స
faxn హ
faxnt ఺
faxst ఻
faynd ఼
fayv ఽ
fer ా
ferst ి
feys ీ
fihks ు
fihng ూ
fiyl ృ
fiyt ౄ
flaw ౅
fown ె
frahm ే
frehnd ై
fuht ౉
gaa ొ
gaon ో
gaxn ౌ
geh ్
gehn ౎
gehs ౏
geht ౐
ger ౑
gerl ౒
geyl ౓
geylz ౔
gih ౕ
gihv ౖ
giy ౗
giyz ౘ
gow ౙ
grao ౚ
greyt ౛
griy ౜
griyn ౝ
grow ౞
guhd ౟
hhaard ౠ
hhae ౡ
hhaend ౢ
hhaendz ౣ
hhaet ౤
hhaev ౥
hhaez ౦
hhahg ౧
hhahm ౨
hhahng ౩
hhaor ౪
hhaw ౫
hhaws ౬
hhawz ౭
hhax ౮
hhay ౯
hhehd ౰
hhehlp ౱
hhehr ౲
hher ౳
hhert ౴
hhey ౵
hhihm ౶
hhihr ౷
hhihrz ౸
hhihz ౹
hhiy ౺
hhiyz ౻
hhowld ౼
hhowm ౽
hhowp ౾
hhuw ౿
hhuwm ಀ
hhuwz ಁ
ih ಂ
ihf ಃ
ihn ಄
ihrz ಅ
iht ಆ
ihts ಇ
ihz ಈ
ihznt ಉ
iy ಊ
iyt ಋ
iyv ಌ
jhaek ಍
jhahm ಎ
jhahst ಏ
jhaxz ಐ
jheh ಑
jher ಒ
jheyk ಓ
jhihl ಔ
jhiy ಕ
jhuw ಖ
kaen ಗ
kaent ಘ
kaet ಙ
kah ಚ
kahm ಛ
kahps ಜ
kaht ಝ
kao ಞ
kaol ಟ
kaold ಠ
kaors ಡ
kaoz ಢ
kaw ಣ
kawnt ತ
kax ಥ
kaxlt ದ
kaxng ಧ
kaynd ನ
kayz ಩
kehr ಪ
key ಫ
kih ಬ
kihs ಭ
kiyp ಮ
klaak ಯ
klaym ರ
kliy ಱ
klows ಲ
klowz ಳ
kow ಴
kowld ವ
kowm ಶ
krey ಷ
kuhd ಸ
kwih ಹ
laats ಺
laost ಻
lax ಼
laxng ಽ
layk ಾ
layv ಿ
layvz ೀ
leh ು
lehm ೂ
leht ೃ
lehts ೄ
ler ೅
lerz ೆ
ley ೇ
leyn ೈ
leyt ೉
lih ೊ
lihk ೋ
lihv ೌ
lihvz ್
liy ೎
liyz ೏
low ೐
luh ೑
luhk ೒
luwnz ೓
maa ೔
maen ೕ
maeth ೖ
mah ೗
mahch ೘
maor ೙
maws ೚
max ೛
maxl ೜
maxng ೝ
may ೞ
mayt ೟
mehm ೠ
mey ೡ
meyk ೢ
mih ೣ
mihng ೤
miy ೥
miyt ೦
miyz ೧
mowst ೨
muw ೩
muwn ೪
muwv ೫
myuw ೬
naak ೭
naat ೮
nae ೯
nah ೰
naor ೱ
naw ೲ
nax ೳ
naxng ೴
naxs ೵
naxz ೶
nays ೷
nayt ೸
neym ೹
niy ೺
niyd ೻
now ೼
ow ೽
owld ೾
own ೿
paar ഀ
paet ഁ
pah ം
paol ഃ
paxn ഄ
paxnd അ
paxng ആ
per ഇ
pey ഈ
peyjh ഉ
pihk ഊ
piy ഋ
piys ഌ
piyz ഍
pley എ
pliyz ഏ
prih ഐ
puhl ഑
puhld ഒ
puht ഓ
r ഔ
rae ക
rax ഖ
raxng ഗ
rayt ഘ
rehd ങ
rer ച
rih ഛ
rihng ജ
riy ഝ
row ഞ
saa ട
sah ഠ
sahch ഡ
sahm ഢ
sao ണ
saong ത
saxm ഥ
sayd ദ
seh ധ
sehlf ന
sehz ഩ
ser പ
serz ഫ
sey ബ
shael ഭ
shaort മ
shaxs യ
