	(u'aa',)	(u'ae',)	(u'ah',)	(u'ao',)	(u'aw',)	(u'ax',)	(u'ay',)	(u'b',)	(u'ch',)	(u'd',)	(u'dh',)	(u'eh',)	(u'er',)	(u'ey',)	(u'f',)	(u'g',)	(u'hh',)	(u'ih',)	(u'iy',)	(u'jh',)	(u'k',)	(u'l',)	(u'm',)	(u'n',)	(u'ng',)	(u'ow',)	(u'oy',)	(u'p',)	(u'r',)	(u's',)	(u'sh',)	(u't',)	(u'th',)	(u'uh',)	(u'uw',)	(u'v',)	(u'w',)	(u'y',)	(u'z',)	(u'zh',)
(u'aa',)	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0.0	0.0	0	0	0.0	0.0	0	0	0	0.0	0	0.0	0
(u'ae',)	0	0	0	0	0	1	0	0	0.2212	1	1	0	0	0	0	0.4424	0	1	0	0	0	0	0	0.1106	0	0	0	0.4424	0.8848	0	1	0.04424	0	0	0	0.0	0	1	0.0	0
(u'ah',)	0	0	0	0	0	0	0	0	0.008295	0	0.456225	0	0	0	0	0	0	0	0	0	0	0	0.0483875	0.0290325	0.0	0	0	0.00638076923077	0	0.124425	0	0.0148125	0	0	0	0.0	0	0	0.0	0
(u'ao',)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0.0	0	0	0.0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0
(u'aw',)	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0	0	0	0	0	0.0	0	0.0	0.0	0	0	0	0	0	0	0
(u'ax',)	0	0	0	0	0	0.1659	0	0.0191423076923	0.00307222222222	0.0368666666667	0	0	0	0	0.0553	0.02765	0.0553	0	0	0	0.069125	0.013825	0.0645166666667	0.00879772727273	0.0	0	0	0.013825	0.0368666666667	0.01036875	0.13825	0.0125681818182	0	0	0	0	0.11613	0.85715	0.0	0
(u'ay',)	0	0	0	0	0	0	0	0.373275	0.013825	0.09954	0	0.01036875	0	0	0	0	0	0	0	0	0.01728125	0.290325	0.290325	0	0	0	0	0.02765	0	0.124425	0.207375	0.0345625	0.041475	0	0	0	0	0	0.0	0
(u'b',)	0.0	0	0.0	0.0	0	0.0	0.0	0	0	0	0	0	0.0	0.0	0	0	0	0.0	0.0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0
(u'ch',)	0	0	0.02765	0	0	0	0	0	0	0	0.202766666667	0.00230416666667	0.0	0.0	0	0	0	0.1659	0	0	0	0	0	0	0	0.3871	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(u'd',)	0.02765	0.0	0.0096775	0.0	0.096775	0.58065	0.0322583333333	0	0.096775	1	1	0	0.0	0.0	0	0	0.58065	1	0.0	0	0.483875	0.3387125	0	0.3387125	0	0.3387125	0	0.19355	0.19355	0	0.483875	0.2419375	0.096775	0	0.0	0	0	1	0.0	0
(u'dh',)	0	0.0	0	0	0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0.0	0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(u'eh',)	0	0	0	0	0	0	0	0.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0.0	0	0.0	0	0	0	0.0	0	0	0.0	0
(u'er',)	0	0.0	0	0	0	0.1106	0	0.4977	0.0553	0.2212	0.405533333333	0	0	0	0.1106	0.0553	0	0	0.0	0	0	0	0	0.3871	0	0	0	0.0368666666667	0	0.3318	0	0.2765	0	0	0	0	0	1	0.0	0
(u'ey',)	0	0.0	0.124425	0.0	0	0.74655	0	0.1866375	0.124425	0	0	0	0	0	0.24885	0	0	1	0	0.041475	0.15553125	0.870975	0	0.21774375	0	0	0	0.24885	0	0.373275	0	0	0	0	0	0.0	0	0	0	0
(u'f',)	0.0	0	0.0	0.0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0.0	0	0
(u'g',)	0.0	0	0	0	0	0.0	0.0	0	0	0	0	0.0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0.0	0	0	0	0	0	0
(u'hh',)	0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0	0.0	0.0	0.0	0	0	0	0.0	0.0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(u'ih',)	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0	0	0.0	0.0	0.0	0	0.0	0	0	0	0	0	0	0.0	0
(u'iy',)	0.3318	0	0	0	0.1659	0.4977	0.1659	1	0.08295	0.39816	1	0	0	0.0	0.3318	0.041475	0.39816	1	0	0	0	0	0.58065	0.23226	0	0	0	0.1659	0	0.4977	0.207375	0	0.1659	0	0	0	0.69678	1	0.0	0
(u'jh',)	0	0	0.0207375	0	0	0	0	0	0	0.4977	0	0	0.0	0	0	0	0.4977	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
(u'k',)	0	0.0	0.01659	0.0	0	0.24885	0	0	0	0	0.6083	0	0	0.0	0.1659	0	0.4977	0.24885	0.0	0	0	0.58065	0.58065	0	0	0	0	0	0	0.0711	0.41475	0.08295	0	0	0	0	0.58065	1	0	0
(u'l',)	0.24885	0	0	0.0	0.124425	0.74655	0.00957115384615	0.5599125	0	1	0	0.024885	0	0.0	0	0	0	0.1866375	0.0	0	0	0	0	0	0	0.870975	0	0.24885	0.4977	0.74655	0.3110625	0	0	0.0	0.0	0	1	0	0.0	0
(u'm',)	0.0645166666667	0	0.0483875	0.0	0.02419375	0.08295	0.096775	0.108871875	0	0	0	0.096775	0.0	0.0	0.19355	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.096775	0	0.0	0	0	0	0.0	0
(u'n',)	0.0553	0.0	0	0.0	0.0553	0.06636	0.0553	0.9954	0	0.1659	0.202766666667	0	0	0	0	0	0.4424	0	0.0	0.02765	0.553	0.7742	0.7742	0	0	0.15484	0	0	0	0.1659	0.2765	0.0345625	0.1106	0	0	0	1	0.85715	0.0	0
(u'ng',)	0	0	0	0	0.041475	0	0	0	0	0	0.456225	0.041475	0	0.0	0	0	0	0.4977	0	0	0.05184375	0	0	0	0	0	0	0	0.1659	0	0.207375	0.207375	0	0	0	0	0	1	0	0
(u'ow',)	0	0	0	0	0	0.2765	0	0	0	0	1	0	0.0	0	0	0	1	0	0	0	0.0531730769231	0.96775	0.2419375	0.107527777778	0	0	0	0.0921666666667	0	0	0	0	0	0	0	0.0	0	1	0.0	0
(u'oy',)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.096775	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0
(u'p',)	0.24885	0.0	0.03110625	0	0	0.124425	0	0	0	0	0	0	0.0	0	0	0	0	0.373275	0	0	0	0	0	0.870975	0	0	0	0	0.124425	0.124425	0.622125	0.3110625	0	0.0	0.0	0	0	1	0	0
(u'r',)	0.317975	0.0	0	0	0	0.27255	0.063595	0.953925	0	1	1	0.105991666667	0	0	0	0	1	0.63595	0.0	0	0	1	1	1	0	1	0	0.317975	0	1	0	0.7949375	0	0	0.0	0	0	1	0.0	0
(u's',)	0	0.0	0.0898625	0.0	0	0.15405	0.035945	1	0	0	0.79079	0.0898625	0.0	0	0.35945	0	0.539175	0.2695875	0.0	0	0.898625	1	1	0.6290375	0	0.419358333333	0	0	0.7189	0.539175	0.898625	0.149770833333	0	0	0	0	0.94355625	1	0	0
(u'sh',)	0	0	0	0	0	0.041475	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0
(u't',)	0	0.0	0.019009375	0.0	0.101383333333	0.072996	0	1	0	0.5214	1	0.0506916666667	0.0	0.0	0.6083	0.202766666667	0.72996	0.280753846154	0.0	0	0.506916666667	0.709683333333	0.42581	0	0	0	0.0	0.30415	0.6083	0.0629275862069	1	0.253458333333	0.30415	0	0.0	0	1	1	0	0
(u'th',)	0	0	0	0	0	0.08295	0	0	0	0	0	0	0	0	0	0	0	0.03318	0	0	0	0	0	0	0	0	0	0	0.013825	0	0	0	0	0	0	0	0	0.428575	0	0
(u'uh',)	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0
(u'uw',)	0.096775	0	0	0	0	0.58065	0	0	0	1	1	0	0	0	0	0.19355	0.58065	0.3871	0	0.096775	0.12096875	0.135485	0.0677425	0	0	0	0	0.02765	0.3871	0	0	0	0.0483875	0	0	0.0	0.677425	0.375003125	0.0	0.0
(u'v',)	0	0	0.013825	0	0	0	0	0	0	0	0.0760375	0	0.0	0	0	0	0.08295	0	0	0	0	0.096775	0	0	0	0	0	0.02765	0	0	0	0.069125	0	0	0	0	0	0.428575	0	0
(u'w',)	0.0	0	0.0	0.0	0	0.0	0.0	0	0	0	0	0.0	0	0.0	0	0	0	0.0	0.0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0
(u'y',)	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0
(u'z',)	0.4977	0.0	0	0	0.24885	0.2133	0.124425	0	0.24885	1	1	0	0	0	0.24885	0.4977	0.4977	0.29862	0	0.24885	1	0.870975	0	0.34839	0	1	0	0	0.4977	0.74655	0.24885	0.207375	0	0	0	0	0	0	0.0	0
(u'zh',)	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
