corpus speaker algo token_f-score token_precision token_recall boundary_f-score boundary_precision boundary_recall
Bernstein alice1 AGc3sf_1 0.8908 0.8861 0.8955 0.9357 0.9285 0.943
Bernstein alice1 AGc3sf_2 0.901 0.8942 0.908 0.9423 0.9318 0.953
Bernstein alice1 AGc3sf_3 0.8988 0.8953 0.9022 0.9405 0.9352 0.9459
Bernstein alice1 AGc3sf_4 0.8912 0.887 0.8955 0.9349 0.9284 0.9416
Bernstein alice1 AGc3sf_5 0.9068 0.8999 0.9137 0.9451 0.9345 0.9558
Bernstein alice1 AGu_1 0.7517 0.7488 0.7546 0.8414 0.8366 0.8462
Bernstein alice1 AGu_2 0.7624 0.7559 0.7689 0.8439 0.8333 0.8547
Bernstein alice1 AGu_3 0.7901 0.7863 0.7939 0.8656 0.8596 0.8718
Bernstein alice1 AGu_4 0.7985 0.7936 0.8035 0.8765 0.8685 0.8846
Bernstein alice1 AGu_5 0.773 0.7612 0.7852 0.8629 0.8435 0.8832
Bernstein alice1 TPs 0.3297 0.4481 0.2608 0.5103 0.9286 0.3519
Bernstein alice1 dibs 0.336 0.4158 0.2819 0.4569 0.6667 0.3476
Bernstein alice1 dmcmc 0.7756 0.7204 0.8399 0.8904 0.8025 1
Bernstein alice1 puddle 0.4422 0.5948 0.3519 0.544 0.9638 0.3789
Bernstein alice2 AGc3sf_1 0.8422 0.8055 0.8824 0.9163 0.866 0.9727
Bernstein alice2 AGc3sf_2 0.8437 0.8051 0.8862 0.9174 0.8647 0.9769
Bernstein alice2 AGc3sf_3 0.8481 0.8108 0.889 0.9197 0.8689 0.9769
Bernstein alice2 AGc3sf_4 0.8494 0.8124 0.8899 0.9203 0.8698 0.9769
Bernstein alice2 AGc3sf_5 0.8524 0.8171 0.8909 0.9214 0.8734 0.9751
Bernstein alice2 AGu_1 0.7793 0.757 0.8029 0.8853 0.8531 0.9199
Bernstein alice2 AGu_2 0.769 0.7527 0.786 0.8779 0.8542 0.9029
Bernstein alice2 AGu_3 0.784 0.7681 0.8006 0.8878 0.8648 0.912
Bernstein alice2 AGu_4 0.7765 0.7619 0.7916 0.8843 0.8631 0.9066
Bernstein alice2 AGu_5 0.7595 0.7428 0.777 0.8745 0.8499 0.9005
Bernstein alice2 TPs 0.242 0.3519 0.1844 0.5193 0.9324 0.3598
Bernstein alice2 dibs 0.3367 0.3991 0.2912 0.5388 0.6831 0.4448
